Date,KOKUSAI INDEX (WORLD ex JP) MID GROWTH Mid Cap
1994-05-31,269.012
1994-06-30,260.447
1994-07-29,269.393
1994-08-31,282.676
1994-09-30,277.704
1994-10-31,282.213
1994-11-30,269.214
1994-12-30,272.63
1995-01-31,271.062
1995-02-28,279.719
1995-03-31,287.83
1995-04-28,294.256
1995-05-31,299.321
1995-06-30,310.385
1995-07-31,328.467
1995-08-31,326.22
1995-09-29,335.287
1995-10-31,327.525
1995-11-30,333.431
1995-12-29,337.529
1996-01-31,344.772
1996-02-29,357.944
1996-03-29,364.166
1996-04-30,379.628
1996-05-31,388.055
1996-06-28,377.094
1996-07-31,355.972
1996-08-30,374.385
1996-09-30,387.906
1996-10-31,387.934
1996-11-29,404.95
1996-12-31,404.878
1997-01-31,415.94
1997-02-28,411.352
1997-03-31,396.819
1997-04-30,396.641
1997-05-30,426.879
1997-06-30,439.477
1997-07-31,464.265
1997-08-29,458.703
1997-09-30,483.644
1997-10-31,452.694
1997-11-28,448.738
1997-12-31,450.383
1998-01-30,449.916
1998-02-27,491.199
1998-03-31,519.343
1998-04-30,531.834
1998-05-29,519.331
1998-06-30,524.841
1998-07-31,513.071
1998-08-31,417.409
1998-09-30,428.486
1998-10-30,463.889
1998-11-30,489.682
1998-12-31,531.218
1999-01-29,555.748
1999-02-26,522.82
1999-03-31,535.872
1999-04-30,561.734
1999-05-31,559.879
1999-06-30,588.137
1999-07-30,585.215
1999-08-31,590.437
1999-09-30,585.428
1999-10-29,616.056
1999-11-30,690.494
1999-12-31,826.607
2000-01-31,808.611
2000-02-29,1011.429
2000-03-31,950.179
2000-04-28,824.983
2000-05-31,761.134
2000-06-30,835.598
2000-07-31,807.112
2000-08-31,871.389
2000-09-29,819.565
2000-10-31,746.203
2000-11-30,602.701
2000-12-29,631.591
2001-01-31,661.884
2001-02-28,570.173
2001-03-30,494.642
2001-04-30,562.511
2001-05-31,553.643
2001-06-29,541.003
2001-07-31,513.277
2001-08-31,477.385
2001-09-28,399.22
2001-10-31,434.707
2001-11-30,471.775
2001-12-31,485.498
2002-01-31,471.144
2002-02-28,451.631
2002-03-29,482.988
2002-04-30,464.39
2002-05-31,457.939
2002-06-28,421.798
2002-07-31,375.425
2002-08-30,373.264
2002-09-30,340.409
2002-10-31,368.48
2002-11-29,394.53
2002-12-31,369.196
2003-01-31,362.556
2003-02-28,354.715
2003-03-31,360.493
2003-04-30,390.116
2003-05-30,427.9
