Date,NEW ZEALAND SMALL VALUE Small Cap
2001-01-01,236.87
2001-01-02,236.496
2001-01-03,237.375
2001-01-04,240.096
2001-01-05,245.591
2001-01-08,245.215
2001-01-09,241.891
2001-01-10,240.553
2001-01-11,243.284
2001-01-12,241.571
2001-01-15,240.32
2001-01-16,241.174
2001-01-17,240.619
2001-01-18,242.742
2001-01-19,244.961
2001-01-22,246.819
2001-01-23,244.866
2001-01-24,240.17
2001-01-25,236.23
2001-01-26,237.084
2001-01-29,236.616
2001-01-30,239.961
2001-01-31,242.635
2001-02-01,247.623
2001-02-02,245.958
2001-02-05,245.064
2001-02-06,245.091
2001-02-07,249.337
2001-02-08,245.787
2001-02-09,246.709
2001-02-12,248.964
2001-02-13,246.518
2001-02-14,240.37
2001-02-15,238.776
2001-02-16,242.609
2001-02-19,243.632
2001-02-20,243.031
2001-02-21,242.376
2001-02-22,242.568
2001-02-23,243.198
2001-02-26,241.911
2001-02-27,244.004
2001-02-28,240.11
2001-03-01,243.632
2001-03-02,245.315
2001-03-05,242.947
2001-03-06,245.805
2001-03-07,244.692
2001-03-08,243.841
2001-03-09,242.564
2001-03-12,242.172
2001-03-13,237.843
2001-03-14,236.563
2001-03-15,234.283
2001-03-16,234.93
2001-03-19,236.86
2001-03-20,239.614
2001-03-21,233.969
2001-03-22,229.218
2001-03-23,233.575
2001-03-26,231.082
2001-03-27,229.227
2001-03-28,223.341
2001-03-29,220.673
2001-03-30,222.322
2001-04-02,221.976
2001-04-03,221.903
2001-04-04,220.504
2001-04-05,220.654
2001-04-06,221.23
2001-04-09,220.553
2001-04-10,219.714
2001-04-11,220.426
2001-04-12,222.528
2001-04-13,222.528
2001-04-16,222.965
2001-04-17,218.683
2001-04-18,217.466
2001-04-19,222.623
2001-04-20,228.83
2001-04-23,226.173
2001-04-24,223.6
2001-04-25,224.971
2001-04-26,226.075
2001-04-27,226.295
2001-04-30,227.052
2001-05-01,230.891
2001-05-02,233.681
2001-05-03,236.082
2001-05-04,232.518
2001-05-07,232.988
2001-05-08,230.654
2001-05-09,232.898
2001-05-10,235.321
2001-05-11,233.598
2001-05-14,232.408
2001-05-15,232.373
2001-05-16,234.667
2001-05-17,237.49
2001-05-18,237.883
2001-05-21,240.201
2001-05-22,241.407
2001-05-23,236.64
2001-05-24,237.7
2001-05-25,237.073
2001-05-28,236.343
2001-05-29,237.94
2001-05-30,234.575
2001-05-31,230.237
2001-06-01,229.027
2001-06-04,228.441
2001-06-05,232.125
2001-06-06,237.122
2001-06-07,240.081
2001-06-08,238.464
2001-06-11,236.783
2001-06-12,239.151
2001-06-13,241.209
2001-06-14,236.062
2001-06-15,237.209
2001-06-18,236.84
2001-06-19,237.762
2001-06-20,230.878
2001-06-21,234.432
2001-06-22,235.111
2001-06-25,235.745
2001-06-26,238.148
2001-06-27,237.441
2001-06-28,236.559
2001-06-29,231.504
2001-07-02,233.573
2001-07-03,234.542
2001-07-04,234.337
2001-07-05,235.432
2001-07-06,234.093
2001-07-09,235.036
2001-07-10,237.92
2001-07-11,238.138
2001-07-12,238.852
2001-07-13,241.765
2001-07-16,240.723
2001-07-17,238.887
2001-07-18,241.499
2001-07-19,244.711
2001-07-20,241.991
2001-07-23,243.624
2001-07-24,243.518
2001-07-25,243.885
2001-07-26,246.548
2001-07-27,245.687
2001-07-30,246.566
2001-07-31,245.657
2001-08-01,246.044
2001-08-02,247.357
2001-08-03,246.892
2001-08-06,243.458
2001-08-07,245.125
