Date,NEW ZEALAND SMALL VALUE Small Cap
2001-01-01,217.573
2001-01-02,217.229
2001-01-03,218.036
2001-01-04,220.536
2001-01-05,225.583
2001-01-08,225.238
2001-01-09,222.184
2001-01-10,220.956
2001-01-11,223.464
2001-01-12,221.89
2001-01-15,220.814
2001-01-16,221.598
2001-01-17,221.088
2001-01-18,223.038
2001-01-19,225.077
2001-01-22,226.785
2001-01-23,224.99
2001-01-24,220.675
2001-01-25,217.055
2001-01-26,217.84
2001-01-29,217.41
2001-01-30,220.484
2001-01-31,222.941
2001-02-01,227.524
2001-02-02,225.993
2001-02-05,225.172
2001-02-06,225.197
2001-02-07,229.099
2001-02-08,225.837
2001-02-09,226.683
2001-02-12,228.756
2001-02-13,226.508
2001-02-14,220.859
2001-02-15,219.394
2001-02-16,222.917
2001-02-19,223.857
2001-02-20,223.304
2001-02-21,222.702
2001-02-22,222.878
2001-02-23,223.458
2001-02-26,222.275
2001-02-27,224.199
2001-02-28,220.661
2001-03-01,223.899
2001-03-02,225.445
2001-03-05,223.269
2001-03-06,225.895
2001-03-07,224.872
2001-03-08,224.09
2001-03-09,222.933
2001-03-12,222.654
2001-03-13,218.673
2001-03-14,217.496
2001-03-15,215.4
2001-03-16,216.016
2001-03-19,218.019
2001-03-20,220.554
2001-03-21,215.359
2001-03-22,210.986
2001-03-23,214.996
2001-03-26,212.701
2001-03-27,210.994
2001-03-28,205.576
2001-03-29,203.12
2001-03-30,204.811
2001-04-02,204.492
2001-04-03,204.425
2001-04-04,203.136
2001-04-05,203.274
2001-04-06,203.805
2001-04-09,203.181
2001-04-10,202.408
2001-04-11,203.064
2001-04-12,205.001
2001-04-13,205.001
2001-04-16,205.403
2001-04-17,201.458
2001-04-18,200.337
2001-04-19,205.088
2001-04-20,210.806
2001-04-23,208.359
2001-04-24,205.988
2001-04-25,207.252
2001-04-26,208.268
2001-04-27,208.47
2001-04-30,209.168
2001-05-01,212.705
2001-05-02,215.275
2001-05-03,217.487
2001-05-04,214.204
2001-05-07,214.637
2001-05-08,212.487
2001-05-09,214.553
2001-05-10,216.786
2001-05-11,215.198
2001-05-14,214.103
2001-05-15,214.07
2001-05-16,216.183
2001-05-17,218.784
2001-05-18,219.146
2001-05-21,221.282
2001-05-22,222.393
2001-05-23,218.001
2001-05-24,218.977
2001-05-25,218.4
2001-05-28,217.728
2001-05-29,219.199
2001-05-30,216.099
2001-05-31,212.102
2001-06-01,210.987
2001-06-04,210.448
2001-06-05,213.842
2001-06-06,218.445
2001-06-07,221.171
2001-06-08,219.682
2001-06-11,218.133
2001-06-12,220.314
2001-06-13,222.21
2001-06-14,217.468
2001-06-15,218.525
2001-06-18,218.185
2001-06-19,219.035
2001-06-20,212.693
2001-06-21,215.967
2001-06-22,216.593
2001-06-25,217.307
2001-06-26,219.523
2001-06-27,218.87
2001-06-28,218.058
2001-06-29,213.398
2001-07-02,215.305
2001-07-03,216.198
2001-07-04,216.009
2001-07-05,217.018
2001-07-06,215.784
2001-07-09,216.653
2001-07-10,219.312
2001-07-11,219.513
2001-07-12,220.171
2001-07-13,222.857
2001-07-16,222.022
2001-07-17,220.329
2001-07-18,222.738
2001-07-19,225.701
2001-07-20,223.192
2001-07-23,224.698
2001-07-24,224.6
2001-07-25,224.938
2001-07-26,227.395
2001-07-27,226.601
2001-07-30,227.434
2001-07-31,226.596
2001-08-01,226.953
2001-08-02,228.164
2001-08-03,227.735
2001-08-06,224.567
2001-08-07,226.106
2001-08-08,227.054
2001-08-09,230.671
2001-08-10,231.581
2001-08-13,232.303
2001-08-14,232.118
2001-08-15,234.686
2001-08-16,236.264
2001-08-17,239.259
2001-08-20,234.364
2001-08-21,233.908
2001-08-22,236.733
2001-08-23,236.591
2001-08-24,239.246
2001-08-27,241.934
2001-08-28,241.496
2001-08-29,243.741
2001-08-30,241.302
2001-08-31,237.358
2001-09-03,234.421
2001-09-04,231.46
2001-09-05,230.852
2001-09-06,229.076
2001-09-07,226.855
2001-09-10,223.162
2001-09-11,225.479
2001-09-12,210.854
2001-09-13,211.938
2001-09-14,204.379
2001-09-17,183.18
2001-09-18,187.779
2001-09-19,189.309
2001-09-20,187.982
2001-09-21,180.766
2001-09-24,176.807
2001-09-25,183.258
2001-09-26,185.159
2001-09-27,185.696
2001-09-28,195.146
2001-10-01,195.654
2001-10-02,199.426
2001-10-03,203.628
2001-10-04,202.469
2001-10-05,204.45
2001-10-08,203.707
2001-10-09,202.119
2001-10-10,203.731
2001-10-11,204.063
2001-10-12,207.302
2001-10-15,211.174
2001-10-16,211.533
2001-10-17,212.03
2001-10-18,208.744
2001-10-19,206.277
2001-10-22,206.476
2001-10-23,210.068
2001-10-24,210.416
2001-10-25,211.828
2001-10-26,210.987
2001-10-29,213.285
2001-10-30,212.872
2001-10-31,211.79
2001-11-01,213.287
2001-11-02,214.72
2001-11-05,216.888
2001-11-06,218.469
2001-11-07,216.911
2001-11-08,213.175
2001-11-09,213.046
2001-11-12,214.427
2001-11-13,215.914
2001-11-14,216.759
2001-11-15,213.002
2001-11-16,212.65
2001-11-19,213.797
2001-11-20,214.66
2001-11-21,212.335
2001-11-22,211.515
2001-11-23,211.398
2001-11-26,212.401
2001-11-27,217.049
2001-11-28,217.384
2001-11-29,215.534
2001-11-30,214.829
2001-12-03,210.594
2001-12-04,209.863
2001-12-05,214.857
2001-12-06,216.34
2001-12-07,215.622
2001-12-10,213.695
2001-12-11,213.967
2001-12-12,215.151
2001-12-13,215.442
2001-12-14,214.849
2001-12-17,214.994
2001-12-18,214.071
2001-12-19,214.463
2001-12-20,211.84
2001-12-21,212.703
2001-12-24,214.165
2001-12-25,214.165
2001-12-26,214.32
2001-12-27,214.402
2001-12-28,214.84
2001-12-31,217.86
2002-01-01,217.86
2002-01-02,220.058
2002-01-03,222.51
2002-01-04,224.116
2002-01-07,224.833
2002-01-08,226.067
2002-01-09,224.098
2002-01-10,224.284
2002-01-11,223.115
2002-01-14,222.571
2002-01-15,223.098
2002-01-16,221.595
2002-01-17,221.017
2002-01-18,223.037
2002-01-21,224.669
2002-01-22,226.084
2002-01-23,224.841
2002-01-24,223.052
2002-01-25,221.432
2002-01-28,220.102
2002-01-29,222.107
2002-01-30,217.879
2002-01-31,219.486
2002-02-01,219.612
2002-02-04,220.61
2002-02-05,220.146
2002-02-06,220.331
2002-02-07,218.35
2002-02-08,219.946
2002-02-11,221.595
2002-02-12,220.293
2002-02-13,220.212
2002-02-14,221.615
2002-02-15,222.131
2002-02-18,222.626
2002-02-19,222.713
2002-02-20,223.117
2002-02-21,221.984
2002-02-22,223.031
2002-02-25,221.944
2002-02-26,222.388
2002-02-27,222.408
2002-02-28,223.481
2002-03-01,224.616
2002-03-04,226.483
2002-03-05,226.027
2002-03-06,226.518
2002-03-07,229.379
2002-03-08,227.533
2002-03-11,226.455
2002-03-12,227.578
2002-03-13,225.613
2002-03-14,225.895
2002-03-15,230.083
2002-03-18,230.084
2002-03-19,228.505
2002-03-20,232.351
2002-03-21,231.1
2002-03-22,231.803
2002-03-25,230.193
2002-03-26,229.198
2002-03-27,228.468
2002-03-28,232.948
2002-03-29,232.948
2002-04-01,234.007
2002-04-02,233.867
2002-04-03,230.055
2002-04-04,230.563
2002-04-05,230.567
2002-04-08,228.316
2002-04-09,229.21
2002-04-10,230.608
2002-04-11,233.898
2002-04-12,233.259
2002-04-15,233.77
2002-04-16,232.431
2002-04-17,235.231
2002-04-18,235.297
2002-04-19,235.485
2002-04-22,235.018
2002-04-23,236.419
2002-04-24,236.233
2002-04-25,238.187
2002-04-26,237.728
2002-04-29,237.653
2002-04-30,238.173
2002-05-01,240.888
2002-05-02,238.981
2002-05-03,240.539
2002-05-06,237.799
2002-05-07,237.455
2002-05-08,238.168
2002-05-09,237.743
2002-05-10,239.832
2002-05-13,241.178
2002-05-14,241.798
2002-05-15,246.2
2002-05-16,246.729
2002-05-17,248.751
2002-05-20,250.099
2002-05-21,250.105
2002-05-22,254.137
2002-05-23,255.834
2002-05-24,255.542
2002-05-27,257.586
2002-05-28,260.25
2002-05-29,262.748
2002-05-30,265.458
2002-05-31,266.767
2002-06-03,270.555
2002-06-04,274.402
2002-06-05,269.787
2002-06-06,270.315
2002-06-07,270.615
2002-06-10,266.592
2002-06-11,266.575
2002-06-12,267.369
2002-06-13,266.252
2002-06-14,263.72
2002-06-17,264.524
2002-06-18,267.944
2002-06-19,268.13
2002-06-20,267.808
2002-06-21,268.365
2002-06-24,263.612
2002-06-25,260.0
2002-06-26,255.191
2002-06-27,259.28
2002-06-28,258.713
2002-07-01,256.747
2002-07-02,255.406
2002-07-03,256.648
2002-07-04,251.822
2002-07-05,254.577
2002-07-08,256.638
2002-07-09,256.51
2002-07-10,255.778
2002-07-11,249.228
2002-07-12,252.381
2002-07-15,250.093
2002-07-16,253.606
2002-07-17,250.326
2002-07-18,251.621
2002-07-19,257.816
2002-07-22,248.091
2002-07-23,242.792
2002-07-24,235.531
2002-07-25,236.979
2002-07-26,233.672
2002-07-29,235.559
2002-07-30,239.572
2002-07-31,239.047
2002-08-01,236.711
2002-08-02,235.97
2002-08-05,235.872
2002-08-06,230.033
2002-08-07,234.62
