Date,NEW ZEALAND SMALL VALUE Small Cap
1994-05-31,197.591
1994-06-30,185.102
1994-07-29,182.667
1994-08-31,184.114
1994-09-30,175.149
1994-10-31,174.075
1994-11-30,177.569
1994-12-30,183.377
1995-01-31,176.576
1995-02-28,183.707
1995-03-31,197.336
1995-04-28,217.877
1995-05-31,205.967
1995-06-30,201.532
1995-07-31,210.551
1995-08-31,205.558
1995-09-29,206.155
1995-10-31,221.394
1995-11-30,217.144
1995-12-29,219.507
1996-01-31,229.267
1996-02-29,233.157
1996-03-29,240.583
1996-04-30,245.346
1996-05-31,228.991
1996-06-28,236.743
1996-07-31,246.901
1996-08-30,270.736
1996-09-30,271.587
1996-10-31,297.462
1996-11-29,304.146
1996-12-31,310.509
1997-01-31,299.522
1997-02-28,300.686
1997-03-31,291.755
1997-04-30,288.853
1997-05-30,292.252
1997-06-30,306.115
1997-07-31,295.982
1997-08-29,283.755
1997-09-30,293.808
1997-10-31,263.094
1997-11-28,254.177
1997-12-31,238.185
1998-01-30,233.012
1998-02-27,239.947
1998-03-31,218.303
1998-04-30,215.893
1998-05-29,201.789
1998-06-30,184.38
1998-07-31,190.644
1998-08-31,171.469
1998-09-30,173.706
1998-10-30,214.317
1998-11-30,231.05
1998-12-31,247.175
1999-01-29,253.089
1999-02-26,243.999
1999-03-31,247.729
1999-04-30,272.817
1999-05-31,252.1
1999-06-30,258.875
1999-07-30,264.885
1999-08-31,250.492
1999-09-30,244.585
1999-10-29,247.029
1999-11-30,255.873
1999-12-31,259.4
2000-01-31,237.719
2000-02-29,227.103
2000-03-31,254.161
2000-04-28,231.481
2000-05-31,218.445
2000-06-30,234.24
2000-07-31,235.147
2000-08-31,223.015
2000-09-29,205.674
2000-10-31,197.546
2000-11-30,196.499
2000-12-29,217.573
2001-01-31,222.941
2001-02-28,220.661
2001-03-30,204.811
2001-04-30,209.168
2001-05-31,212.102
2001-06-29,213.398
2001-07-31,226.596
2001-08-31,237.358
2001-09-28,195.146
2001-10-31,211.79
2001-11-30,214.829
2001-12-31,217.86
2002-01-31,219.486
2002-02-28,223.481
2002-03-29,232.948
2002-04-30,238.173
2002-05-31,266.767
2002-06-28,258.713
2002-07-31,239.047
2002-08-30,248.408
2002-09-30,248.486
2002-10-31,263.138
2002-11-29,254.64
2002-12-31,273.348
2003-01-31,297.375
2003-02-28,292.972
2003-03-31,295.323
2003-04-30,300.638
2003-05-30,323.381
2003-06-30,339.001
2003-07-31,343.529
2003-08-29,353.787
2003-09-30,373.251
2003-10-31,399.575
2003-11-28,405.441
2003-12-31,436.545
2004-01-30,438.019
2004-02-27,453.576
2004-03-31,471.428
2004-04-30,462.229
2004-05-31,456.622
2004-06-30,473.862
2004-07-30,490.627
2004-08-31,512.968
2004-09-30,568.288
2004-10-29,573.743
2004-11-30,638.099
2004-12-31,658.153
2005-01-31,650.66
2005-02-28,672.015
2005-03-31,630.789
2005-04-29,620.07
2005-05-31,623.818
2005-06-30,657.811
2005-07-29,665.243
2005-08-31,671.491
2005-09-30,698.291
2005-10-31,678.706
2005-11-30,685.725
2005-12-30,666.718
2006-01-31,672.524
2006-02-28,667.355
2006-03-31,672.637
2006-04-28,710.973
2006-05-31,718.339
2006-06-30,718.516
2006-07-31,720.439
2006-08-31,742.746
2006-09-29,775.211
2006-10-31,815.993
