Date,NEW ZEALAND SMALL VALUE Small Cap
1994-05-31,232.872
1994-06-30,218.154
1994-07-29,215.284
1994-08-31,216.989
1994-09-30,206.423
1994-10-31,204.725
1994-11-30,208.159
1994-12-30,214.774
1995-01-31,206.809
1995-02-28,215.064
1995-03-31,230.504
1995-04-28,253.429
1995-05-31,239.339
1995-06-30,234.152
1995-07-31,244.567
1995-08-31,238.766
1995-09-29,239.283
1995-10-31,255.958
1995-11-30,250.997
1995-12-29,253.142
1996-01-31,264.398
1996-02-29,268.744
1996-03-29,276.588
1996-04-30,281.69
1996-05-31,262.566
1996-06-28,271.095
1996-07-31,282.476
1996-08-30,309.727
1996-09-30,310.259
1996-10-31,339.283
1996-11-29,346.557
1996-12-31,353.413
1997-01-31,340.745
1997-02-28,341.837
1997-03-31,330.854
1997-04-30,327.224
1997-05-30,330.537
1997-06-30,345.845
1997-07-31,333.98
1997-08-29,319.858
1997-09-30,330.633
1997-10-31,295.857
1997-11-28,285.223
1997-12-31,266.865
1998-01-30,260.915
1998-02-27,268.531
1998-03-31,243.364
1998-04-30,240.648
1998-05-29,224.835
1998-06-30,204.731
1998-07-31,211.653
1998-08-31,190.28
1998-09-30,192.333
1998-10-30,237.073
1998-11-30,254.794
1998-12-31,272.538
1999-01-29,279.01
1999-02-26,268.989
1999-03-31,272.7
1999-04-30,300.169
1999-05-31,277.258
1999-06-30,284.674
1999-07-30,291.283
1999-08-31,275.318
1999-09-30,268.494
1999-10-29,271.103
1999-11-30,280.625
1999-12-31,284.098
2000-01-31,259.994
2000-02-29,248.384
2000-03-31,277.716
2000-04-28,252.934
2000-05-31,238.689
2000-06-30,255.933
2000-07-31,256.924
2000-08-31,243.556
2000-09-29,224.292
2000-10-31,215.173
2000-11-30,213.986
2000-12-29,236.87
2001-01-31,242.635
2001-02-28,240.11
2001-03-30,222.322
2001-04-30,227.052
2001-05-31,230.237
2001-06-29,231.504
2001-07-31,245.657
2001-08-31,257.221
2001-09-28,210.471
2001-10-31,228.422
2001-11-30,231.453
2001-12-31,234.238
2002-01-31,235.795
2002-02-28,240.023
2002-03-29,249.533
2002-04-30,255.13
2002-05-31,285.68
2002-06-28,276.343
2002-07-31,255.025
2002-08-30,265.011
2002-09-30,264.877
2002-10-31,279.841
2002-11-29,270.427
2002-12-31,289.872
2003-01-31,315.351
2003-02-28,310.682
2003-03-31,311.328
2003-04-30,316.93
2003-05-30,340.906
2003-06-30,356.063
2003-07-31,360.819
2003-08-29,371.593
2003-09-30,391.26
2003-10-31,417.384
2003-11-28,423.511
2003-12-31,454.741
2004-01-30,456.276
2004-02-27,472.482
2004-03-31,488.321
2004-04-30,478.698
2004-05-31,472.765
2004-06-30,488.772
2004-07-30,506.065
2004-08-31,528.926
2004-09-30,585.324
2004-10-29,588.658
2004-11-30,653.916
2004-12-31,673.216
2005-01-31,665.552
2005-02-28,687.215
2005-03-31,643.029
2005-04-29,631.472
2005-05-31,634.908
2005-06-30,667.127
2005-07-29,674.665
2005-08-31,680.883
2005-09-30,706.976
2005-10-31,686.772
2005-11-30,693.291
2005-12-30,673.559
2006-01-31,679.424
2006-02-28,674.101
2006-03-31,678.372
2006-04-28,716.731
2006-05-31,724.129
2006-06-30,723.363
2006-07-31,725.299
2006-08-31,747.476
2006-09-29,778.563
2006-10-31,819.392
2006-11-30,849.443
2006-12-29,918.949
2007-01-31,911.153
2007-02-28,911.319
2007-03-30,960.894
2007-04-30,988.065
2007-05-31,1000.0
2007-06-29,1037.558
2007-07-31,1006.298
2007-08-31,903.103
2007-09-28,998.564
2007-10-31,1029.211
2007-11-30,990.127
2007-12-31,982.914
2008-01-31,918.127
2008-02-29,912.36
2008-03-31,864.894
2008-04-30,891.5
2008-05-30,877.853
2008-06-30,810.223
2008-07-31,788.825
2008-08-29,757.883
2008-09-30,687.649
2008-10-31,554.168
2008-11-28,497.55
