Date,EM (EMERGING MARKETS) IMI IMI (Large+Mid+Small Cap)
2001-01-01,280.661
2001-01-02,281.044
2001-01-03,282.435
2001-01-04,292.911
2001-01-05,294.507
2001-01-08,294.681
2001-01-09,298.241
2001-01-10,296.827
2001-01-11,296.144
2001-01-12,298.366
2001-01-15,300.062
2001-01-16,301.772
2001-01-17,304.381
2001-01-18,308.338
2001-01-19,313.495
2001-01-22,314.25
2001-01-23,315.501
2001-01-24,315.461
2001-01-25,315.681
2001-01-26,314.188
2001-01-29,313.255
2001-01-30,315.357
2001-01-31,319.016
2001-02-01,317.772
2001-02-02,318.899
2001-02-05,313.786
2001-02-06,314.343
2001-02-07,309.127
2001-02-08,311.137
2001-02-09,311.459
2001-02-12,312.093
2001-02-13,314.254
2001-02-14,313.392
2001-02-15,316.547
2001-02-16,313.656
2001-02-19,309.768
2001-02-20,310.379
2001-02-21,302.872
2001-02-22,296.693
2001-02-23,294.853
2001-02-26,297.731
2001-02-27,296.563
2001-02-28,295.285
2001-03-01,293.543
2001-03-02,290.523
2001-03-05,292.343
2001-03-06,294.363
2001-03-07,295.69
2001-03-08,295.698
2001-03-09,292.208
2001-03-12,283.328
2001-03-13,280.629
2001-03-14,278.554
2001-03-15,278.766
2001-03-16,276.759
2001-03-19,273.884
2001-03-20,274.062
2001-03-21,273.822
2001-03-22,268.331
2001-03-23,270.013
2001-03-26,274.787
2001-03-27,274.125
2001-03-28,272.537
2001-03-29,268.183
2001-03-30,267.554
2001-04-02,262.647
2001-04-03,257.022
2001-04-04,253.961
2001-04-05,257.874
2001-04-06,260.486
2001-04-09,259.209
2001-04-10,261.4
2001-04-11,265.006
2001-04-12,266.213
2001-04-13,266.421
2001-04-16,264.756
2001-04-17,264.114
2001-04-18,271.63
2001-04-19,275.239
2001-04-20,271.341
2001-04-23,270.635
2001-04-24,271.717
2001-04-25,271.863
2001-04-26,274.303
2001-04-27,275.827
2001-04-30,278.632
2001-05-01,278.461
2001-05-02,280.781
2001-05-03,281.66
2001-05-04,280.329
2001-05-07,281.168
2001-05-08,279.7
2001-05-09,279.418
2001-05-10,279.316
2001-05-11,278.408
2001-05-14,275.954
2001-05-15,275.221
2001-05-16,276.752
2001-05-17,283.204
2001-05-18,283.757
2001-05-21,284.511
2001-05-22,286.015
2001-05-23,287.465
2001-05-24,286.973
2001-05-25,285.691
2001-05-28,285.261
2001-05-29,284.683
2001-05-30,281.862
2001-05-31,281.597
2001-06-01,280.382
2001-06-04,281.282
2001-06-05,280.789
2001-06-06,282.643
2001-06-07,282.65
2001-06-08,285.557
2001-06-11,283.985
2001-06-12,283.39
2001-06-13,283.061
2001-06-14,281.552
2001-06-15,280.416
2001-06-18,274.977
2001-06-19,274.781
2001-06-20,273.799
2001-06-21,275.689
2001-06-22,276.548
2001-06-25,276.099
2001-06-26,274.896
2001-06-27,275.068
2001-06-28,273.719
2001-06-29,276.488
2001-07-02,276.826
2001-07-03,275.031
2001-07-04,272.559
2001-07-05,270.849
2001-07-06,266.839
2001-07-09,265.107
2001-07-10,263.327
2001-07-11,257.82
2001-07-12,260.59
2001-07-13,258.646
2001-07-16,256.562
2001-07-17,256.534
2001-07-18,255.457
2001-07-19,255.425
2001-07-20,255.606
2001-07-23,255.579
2001-07-24,254.156
2001-07-25,253.762
2001-07-26,256.451
2001-07-27,257.356
2001-07-30,258.098
2001-07-31,258.623
2001-08-01,259.894
2001-08-02,262.745
2001-08-03,262.859
2001-08-06,261.047
2001-08-07,259.584
2001-08-08,259.728
2001-08-09,257.534
2001-08-10,258.262
