Date,EM (EMERGING MARKETS) IMI IMI (Large+Mid+Small Cap)
2013-01-31,1229.567
2013-02-28,1217.717
2013-03-29,1199.912
2013-04-30,1211.236
2013-05-31,1183.593
2013-06-28,1105.193
2013-07-31,1116.721
2013-08-30,1095.763
2013-09-30,1167.309
2013-10-31,1222.457
2013-11-29,1204.251
2013-12-31,1188.26
2014-01-31,1116.878
2014-02-28,1155.357
2014-03-31,1189.706
2014-04-30,1194.183
2014-05-30,1235.388
2014-06-30,1267.366
2014-07-31,1290.915
2014-08-29,1320.767
2014-09-30,1228.293
2014-10-31,1238.174
2014-11-28,1224.392
2014-12-31,1171.334
2015-01-30,1179.749
2015-02-27,1215.099
2015-03-31,1200.119
2015-04-30,1294.899
2015-05-29,1250.973
2015-06-30,1215.812
2015-07-31,1130.877
2015-08-31,1028.053
2015-09-30,1001.665
2015-10-30,1071.48
2015-11-30,1031.706
2015-12-31,1012.628
2016-01-29,944.966
2016-02-29,943.257
2016-03-31,1064.01
2016-04-29,1071.377
2016-05-31,1031.936
2016-06-30,1071.958
2016-07-29,1125.408
2016-08-31,1152.764
2016-09-30,1167.948
2016-10-31,1168.076
2016-11-30,1114.277
2016-12-30,1116.9
2017-01-31,1176.908
2017-02-28,1216.338
2017-03-31,1247.5
2017-04-28,1273.284
2017-05-31,1307.375
2017-06-30,1320.971
2017-07-31,1396.599
2017-08-31,1427.783
2017-09-29,1423.221
2017-10-31,1473.218
2017-11-30,1479.249
2017-12-29,1533.317
2018-01-31,1656.157
2018-02-28,1581.077
2018-03-30,1553.26
2018-04-30,1547.337
2018-05-31,1495.805
2018-06-29,1430.301
2018-07-31,1461.365
2018-08-31,1423.321
2018-09-28,1411.662
2018-10-31,1285.961
2018-11-30,1340.943
2018-12-31,1307.795
2019-01-31,1417.434
2019-02-28,1422.407
2019-03-29,1434.782
2019-04-30,1462.277
2019-05-31,1360.295
2019-06-28,1442.685
2019-07-31,1425.842
2019-08-30,1356.577
2019-09-30,1382.985
2019-10-31,1440.854
2019-11-29,1438.251
2019-12-31,1544.441
2020-01-31,1473.594
2020-02-28,1393.207
2020-03-31,1168.006
2020-04-30,1280.444
2020-05-29,1292.529
2020-06-30,1390.312
2020-07-31,1516.245
2020-08-31,1553.041
2020-09-30,1528.431
2020-10-30,1556.216
2020-11-30,1707.483
2020-12-31,1834.492
2021-01-29,1885.381
2021-02-26,1910.116
2021-03-31,1887.903
2021-04-30,1942.488
2021-05-31,1988.381
2021-06-30,1997.536
2021-07-30,1877.085
2021-08-31,1923.501
2021-09-30,1852.411
2021-10-29,1869.217
2021-11-30,1795.834
2021-12-31,1835.64
2022-01-31,1795.153
2022-02-28,1742.817
2022-03-31,1714.63
2022-04-29,1620.767
2022-05-31,1623.949
2022-06-30,1509.205
2022-07-29,1512.525
2022-08-31,1523.438
2022-09-30,1348.926
2022-10-31,1312.625
2022-11-30,1497.877
2022-12-30,1478.408
2023-01-31,1591.477
2023-02-28,1495.875
2023-03-31,1537.628
2023-04-28,1524.157
2023-05-31,1504.684
2023-06-30,1564.694
2023-07-31,1663.903
2023-08-31,1572.913
2023-09-29,1533.607
2023-10-31,1472.124
2023-11-30,1593.577
2023-12-29,1657.674
2024-01-31,1587.737
2024-02-29,1658.89
2024-03-29,1694.751
2024-04-30,1706.524
2024-05-31,1716.915
2024-06-28,1783.799
2024-07-31,1789.429
2024-08-30,1819.411
2024-09-30,1933.558
2024-10-31,1850.643
2024-11-29,1788.033
2024-12-31,1784.031
2025-01-31,1804.413
2025-02-28,1805.593
2025-03-31,1815.731
2025-04-30,1843.68
2025-05-30,1932.506
2025-06-30,2050.171
2025-07-31,2087.643
2025-08-29,2121.903
2025-09-30,2258.516
2025-10-31,2347.203
2025-11-28,2294.295
