Date,EM (EMERGING MARKETS) IMI IMI (Large+Mid+Small Cap)
1994-05-31,436.623
1994-06-30,431.175
1994-07-29,455.401
1994-08-31,519.444
1994-09-30,529.098
1994-10-31,527.145
1994-11-30,496.577
1994-12-30,476.593
1995-01-31,435.795
1995-02-28,435.905
1995-03-31,437.196
1995-04-28,447.147
1995-05-31,474.149
1995-06-30,472.65
1995-07-31,481.295
1995-08-31,468.143
1995-09-29,465.549
1995-10-31,451.465
1995-11-30,438.763
1995-12-29,458.45
1996-01-31,494.168
1996-02-29,487.265
1996-03-29,487.538
1996-04-30,504.411
1996-05-31,497.541
1996-06-28,499.143
1996-07-31,465.06
1996-08-30,476.678
1996-09-30,480.049
1996-10-31,466.564
1996-11-29,472.929
1996-12-31,473.074
1997-01-31,504.825
1997-02-28,529.011
1997-03-31,515.715
1997-04-30,506.068
1997-05-30,513.197
1997-06-30,538.628
1997-07-31,543.624
1997-08-29,473.862
1997-09-30,479.397
1997-10-31,398.29
1997-11-28,378.064
1997-12-31,379.688
1998-01-30,352.974
1998-02-27,390.384
1998-03-31,403.668
1998-04-30,400.963
1998-05-29,347.935
1998-06-30,308.206
1998-07-31,313.845
1998-08-31,225.831
1998-09-30,233.633
1998-10-30,256.801
1998-11-30,275.473
1998-12-31,267.04
1999-01-29,253.564
1999-02-26,256.834
1999-03-31,291.376
1999-04-30,328.052
1999-05-31,324.577
1999-06-30,357.898
1999-07-30,349.352
1999-08-31,347.394
1999-09-30,333.478
1999-10-29,341.009
1999-11-30,374.805
1999-12-31,434.277
2000-01-31,436.082
2000-02-29,435.189
2000-03-31,435.008
2000-04-28,389.091
2000-05-31,368.246
2000-06-30,379.985
2000-07-31,361.411
2000-08-31,365.145
2000-09-29,328.858
2000-10-31,302.463
2000-11-30,277.543
2000-12-29,280.926
2001-01-31,319.016
2001-02-28,295.285
2001-03-30,267.554
2001-04-30,278.632
2001-05-31,281.597
2001-06-29,276.488
2001-07-31,258.623
2001-08-31,255.842
2001-09-28,216.465
2001-10-31,228.309
2001-11-30,253.595
2001-12-31,275.25
2002-01-31,284.367
2002-02-28,288.454
2002-03-29,307.205
2002-04-30,309.273
2002-05-31,302.702
2002-06-28,279.669
2002-07-31,259.55
2002-08-30,263.427
2002-09-30,234.892
2002-10-31,249.347
2002-11-29,266.026
2002-12-31,257.388
2003-01-31,257.6
2003-02-28,250.107
2003-03-31,241.926
2003-04-30,262.309
2003-05-30,281.414
2003-06-30,298.066
2003-07-31,315.747
2003-08-29,336.501
2003-09-30,338.075
2003-10-31,365.312
2003-11-28,371.152
2003-12-31,396.298
2004-01-30,410.893
2004-02-27,430.951
2004-03-31,436.623
2004-04-30,402.54
2004-05-31,394.39
2004-06-30,395.298
2004-07-30,386.419
2004-08-31,402.672
2004-09-30,425.862
2004-10-29,436.754
2004-11-30,477.14
2004-12-31,501.775
2005-01-31,502.829
2005-02-28,546.586
2005-03-31,511.643
2005-04-29,497.619
2005-05-31,514.658
2005-06-30,532.624
2005-07-29,568.384
2005-08-31,571.792
2005-09-30,621.679
2005-10-31,581.415
2005-11-30,629.942
2005-12-30,669.713
2006-01-31,740.677
2006-02-28,740.246
2006-03-31,746.14
2006-04-28,800.269
2006-05-31,720.135
2006-06-30,712.668
2006-07-31,722.363
2006-08-31,741.196
2006-09-29,748.71
2006-10-31,784.017
2006-11-30,844.017
2006-12-29,882.038
2007-01-31,872.714
2007-02-28,871.13
2007-03-30,905.873
2007-04-30,950.475
