Date,EM (EMERGING MARKETS) IMI IMI (Large+Mid+Small Cap)
2001-01-01,275.726
2001-01-02,276.107
2001-01-03,277.475
2001-01-04,287.767
2001-01-05,289.335
2001-01-08,289.513
2001-01-09,293.011
2001-01-10,291.622
2001-01-11,290.953
2001-01-12,293.136
2001-01-15,294.803
2001-01-16,296.483
2001-01-17,299.047
2001-01-18,302.934
2001-01-19,308.012
2001-01-22,308.756
2001-01-23,309.984
2001-01-24,309.945
2001-01-25,310.162
2001-01-26,308.695
2001-01-29,307.779
2001-01-30,309.844
2001-01-31,313.44
2001-02-01,312.217
2001-02-02,313.325
2001-02-05,308.301
2001-02-06,308.849
2001-02-07,303.724
2001-02-08,305.698
2001-02-09,306.015
2001-02-12,306.638
2001-02-13,308.762
2001-02-14,307.93
2001-02-15,311.031
2001-02-16,308.191
2001-02-19,304.37
2001-02-20,304.97
2001-02-21,297.595
2001-02-22,291.524
2001-02-23,289.716
2001-02-26,292.545
2001-02-27,291.397
2001-02-28,290.139
2001-03-01,288.426
2001-03-02,285.46
2001-03-05,287.248
2001-03-06,289.233
2001-03-07,290.541
2001-03-08,290.553
2001-03-09,287.13
2001-03-12,278.407
2001-03-13,275.761
2001-03-14,273.723
2001-03-15,273.932
2001-03-16,271.96
2001-03-19,269.147
2001-03-20,269.329
2001-03-21,269.12
2001-03-22,263.723
2001-03-23,265.379
2001-03-26,270.086
2001-03-27,269.436
2001-03-28,267.88
2001-03-29,263.601
2001-03-30,262.986
2001-04-02,258.163
2001-04-03,252.636
2001-04-04,249.628
2001-04-05,253.476
2001-04-06,256.044
2001-04-09,254.789
2001-04-10,256.942
2001-04-11,260.488
2001-04-12,261.675
2001-04-13,261.88
2001-04-16,260.244
2001-04-17,259.614
2001-04-18,267.003
2001-04-19,270.555
2001-04-20,266.724
2001-04-23,266.031
2001-04-24,267.096
2001-04-25,267.24
2001-04-26,269.641
2001-04-27,271.142
2001-04-30,273.901
2001-05-01,273.739
2001-05-02,276.025
2001-05-03,276.89
2001-05-04,275.588
2001-05-07,276.422
2001-05-08,274.98
2001-05-09,274.707
2001-05-10,274.609
2001-05-11,273.717
2001-05-14,271.306
2001-05-15,270.592
2001-05-16,272.098
2001-05-17,278.445
2001-05-18,278.993
2001-05-21,279.739
2001-05-22,281.225
2001-05-23,282.652
2001-05-24,282.169
2001-05-25,280.909
2001-05-28,280.492
2001-05-29,279.925
2001-05-30,277.154
2001-05-31,276.898
2001-06-01,275.704
2001-06-04,276.591
2001-06-05,276.111
2001-06-06,277.937
2001-06-07,277.951
2001-06-08,280.81
2001-06-11,279.267
2001-06-12,278.686
2001-06-13,278.373
2001-06-14,276.902
2001-06-15,275.786
2001-06-18,270.441
2001-06-19,270.256
2001-06-20,269.299
2001-06-21,271.159
2001-06-22,272.004
2001-06-25,271.563
2001-06-26,270.381
2001-06-27,270.55
2001-06-28,269.227
2001-06-29,271.954
2001-07-02,272.301
2001-07-03,270.54
2001-07-04,268.11
2001-07-05,266.429
2001-07-06,262.486
2001-07-09,260.784
2001-07-10,259.059
2001-07-11,253.645
2001-07-12,256.372
2001-07-13,254.461
2001-07-16,252.415
2001-07-17,252.393
2001-07-18,251.339
2001-07-19,251.307
2001-07-20,251.486
2001-07-23,251.461
2001-07-24,250.068
2001-07-25,249.689
2001-07-26,252.336
2001-07-27,253.229
2001-07-30,253.959
2001-07-31,254.478
2001-08-01,255.729
2001-08-02,258.545
2001-08-03,258.658
2001-08-06,256.879
2001-08-07,255.442
2001-08-08,255.583
2001-08-09,253.425
2001-08-10,254.142
2001-08-13,254.908
2001-08-14,257.481
2001-08-15,257.74
2001-08-16,257.497
2001-08-17,254.514
2001-08-20,252.264
2001-08-21,252.485
2001-08-22,252.81
2001-08-23,252.6
2001-08-24,252.56
2001-08-27,254.96
2001-08-28,254.162
2001-08-29,254.467
2001-08-30,253.147
2001-08-31,251.793
2001-09-03,249.467
2001-09-04,250.679
2001-09-05,249.112
2001-09-06,246.445
