Date,IRELAND SMALL GROWTH Small Cap
2001-01-01,153.115
2001-01-02,156.546
2001-01-03,145.987
2001-01-04,149.369
2001-01-05,145.023
2001-01-08,137.664
2001-01-09,138.725
2001-01-10,139.524
2001-01-11,144.908
2001-01-12,151.538
2001-01-15,148.867
2001-01-16,150.327
2001-01-17,151.542
2001-01-18,158.002
2001-01-19,155.614
2001-01-22,156.799
2001-01-23,156.141
2001-01-24,153.038
2001-01-25,157.014
2001-01-26,153.223
2001-01-29,155.618
2001-01-30,155.065
2001-01-31,154.838
2001-02-01,151.17
2001-02-02,150.265
2001-02-05,153.821
2001-02-06,153.28
2001-02-07,151.663
2001-02-08,149.761
2001-02-09,151.595
2001-02-12,151.601
2001-02-13,153.169
2001-02-14,151.349
2001-02-15,150.369
2001-02-16,154.851
2001-02-19,156.777
2001-02-20,155.768
2001-02-21,154.079
2001-02-22,153.876
2001-02-23,152.972
2001-02-26,150.274
2001-02-27,155.869
2001-02-28,148.217
2001-03-01,144.835
2001-03-02,141.177
2001-03-05,141.151
2001-03-06,143.617
2001-03-07,142.566
2001-03-08,141.142
2001-03-09,138.162
2001-03-12,136.137
2001-03-13,133.147
2001-03-14,131.102
2001-03-15,132.18
2001-03-16,128.945
2001-03-19,126.916
2001-03-20,127.694
2001-03-21,118.29
2001-03-22,106.042
2001-03-23,118.354
2001-03-26,122.808
2001-03-27,121.001
2001-03-28,125.178
2001-03-29,120.124
2001-03-30,120.884
2001-04-02,116.305
2001-04-03,109.879
2001-04-04,110.043
2001-04-05,111.426
2001-04-06,113.094
2001-04-09,111.674
2001-04-10,111.616
2001-04-11,112.096
2001-04-12,114.912
2001-04-13,114.912
2001-04-16,113.735
2001-04-17,116.233
2001-04-18,118.207
2001-04-19,125.103
2001-04-20,132.596
2001-04-23,126.245
2001-04-24,126.144
2001-04-25,122.824
2001-04-26,124.131
2001-04-27,124.024
2001-04-30,127.409
2001-05-01,128.873
2001-05-02,132.074
2001-05-03,130.596
2001-05-04,130.912
2001-05-07,130.378
2001-05-08,130.276
2001-05-09,131.49
2001-05-10,132.918
2001-05-11,127.262
2001-05-14,129.976
2001-05-15,123.936
2001-05-16,124.829
2001-05-17,123.498
2001-05-18,123.88
2001-05-21,124.369
2001-05-22,123.231
2001-05-23,129.494
2001-05-24,127.568
2001-05-25,123.094
2001-05-28,122.415
2001-05-29,123.946
2001-05-30,123.466
2001-05-31,121.427
2001-06-01,122.199
2001-06-04,122.365
2001-06-05,124.602
2001-06-06,125.109
2001-06-07,127.42
2001-06-08,129.07
2001-06-11,127.396
2001-06-12,125.683
2001-06-13,128.13
2001-06-14,126.275
2001-06-15,125.76
2001-06-18,126.66
2001-06-19,126.199
2001-06-20,125.518
2001-06-21,125.791
2001-06-22,125.236
2001-06-25,126.788
2001-06-26,124.559
2001-06-27,125.989
2001-06-28,125.169
2001-06-29,126.603
2001-07-02,123.688
2001-07-03,124.525
2001-07-04,123.203
2001-07-05,120.711
2001-07-06,117.389
2001-07-09,120.195
2001-07-10,121.688
2001-07-11,119.939
2001-07-12,119.564
2001-07-13,120.752
2001-07-16,122.125
2001-07-17,121.21
2001-07-18,122.141
2001-07-19,122.948
2001-07-20,122.86
2001-07-23,120.86
2001-07-24,121.551
2001-07-25,117.681
2001-07-26,113.825
2001-07-27,113.467
2001-07-30,113.414
2001-07-31,112.711
2001-08-01,113.031
2001-08-02,114.572
2001-08-03,114.159
2001-08-06,114.3
2001-08-07,111.853
2001-08-08,110.305
2001-08-09,108.567
2001-08-10,106.546
2001-08-13,108.37
2001-08-14,109.026
2001-08-15,111.33
2001-08-16,111.297
2001-08-17,109.988
2001-08-20,108.895
2001-08-21,110.909
2001-08-22,111.04
2001-08-23,111.069
2001-08-24,111.875
2001-08-27,111.605
2001-08-28,112.772
2001-08-29,113.876
2001-08-30,113.58
2001-08-31,113.511
2001-09-03,114.151
2001-09-04,113.453
