Date,IRELAND SMALL GROWTH Small Cap
2001-01-01,154.428
2001-01-02,157.888
2001-01-03,147.238
2001-01-04,150.649
2001-01-05,146.266
2001-01-08,138.844
2001-01-09,139.914
2001-01-10,140.72
2001-01-11,146.15
2001-01-12,152.837
2001-01-15,150.144
2001-01-16,151.615
2001-01-17,152.841
2001-01-18,159.356
2001-01-19,156.948
2001-01-22,158.143
2001-01-23,157.479
2001-01-24,154.35
2001-01-25,158.36
2001-01-26,154.537
2001-01-29,156.952
2001-01-30,156.394
2001-01-31,156.165
2001-02-01,152.466
2001-02-02,151.553
2001-02-05,155.14
2001-02-06,154.593
2001-02-07,152.963
2001-02-08,151.045
2001-02-09,152.894
2001-02-12,152.901
2001-02-13,154.482
2001-02-14,152.646
2001-02-15,151.658
2001-02-16,156.178
2001-02-19,158.121
2001-02-20,157.104
2001-02-21,155.4
2001-02-22,155.195
2001-02-23,154.283
2001-02-26,151.562
2001-02-27,157.205
2001-02-28,149.487
2001-03-01,146.076
2001-03-02,142.387
2001-03-05,142.361
2001-03-06,144.848
2001-03-07,143.788
2001-03-08,142.352
2001-03-09,139.346
2001-03-12,137.304
2001-03-13,134.289
2001-03-14,132.226
2001-03-15,133.313
2001-03-16,130.05
2001-03-19,128.004
2001-03-20,128.789
2001-03-21,119.304
2001-03-22,106.951
2001-03-23,119.369
2001-03-26,123.861
2001-03-27,122.038
2001-03-28,126.251
2001-03-29,121.154
2001-03-30,121.92
2001-04-02,117.302
2001-04-03,110.821
2001-04-04,110.986
2001-04-05,112.381
2001-04-06,114.064
2001-04-09,112.631
2001-04-10,112.573
2001-04-11,113.008
2001-04-12,115.847
2001-04-13,115.847
2001-04-16,114.66
2001-04-17,117.179
2001-04-18,119.168
2001-04-19,126.12
2001-04-20,133.674
2001-04-23,127.271
2001-04-24,127.169
2001-04-25,123.823
2001-04-26,125.14
2001-04-27,125.033
2001-04-30,128.446
2001-05-01,129.921
2001-05-02,133.148
2001-05-03,131.659
2001-05-04,131.977
2001-05-07,131.438
2001-05-08,131.335
2001-05-09,132.537
2001-05-10,133.976
2001-05-11,128.275
2001-05-14,131.011
2001-05-15,124.922
2001-05-16,125.823
2001-05-17,124.481
2001-05-18,124.866
2001-05-21,125.359
2001-05-22,124.213
2001-05-23,130.524
2001-05-24,128.584
2001-05-25,124.074
2001-05-28,123.39
2001-05-29,124.933
2001-05-30,124.449
2001-05-31,122.394
2001-06-01,123.172
2001-06-04,123.339
2001-06-05,125.594
2001-06-06,126.105
2001-06-07,128.435
2001-06-08,130.098
2001-06-11,128.41
2001-06-12,126.683
2001-06-13,129.143
2001-06-14,127.274
2001-06-15,126.754
2001-06-18,127.661
2001-06-19,127.196
2001-06-20,126.505
