Date,IRELAND SMALL GROWTH Small Cap
1994-05-31,57.266
1994-06-30,52.855
1994-07-29,55.787
1994-08-31,58.841
1994-09-30,57.599
1994-10-31,60.562
1994-11-30,58.827
1994-12-30,58.971
1995-01-31,61.263
1995-02-28,62.44
1995-03-31,61.516
1995-04-28,62.109
1995-05-31,62.881
1995-06-30,65.202
1995-07-31,66.68
1995-08-31,71.613
1995-09-29,72.402
1995-10-31,70.964
1995-11-30,69.97
1995-12-29,73.461
1996-01-31,72.434
1996-02-29,74.865
1996-03-29,81.742
1996-04-30,84.552
1996-05-31,87.643
1996-06-28,90.873
1996-07-31,87.316
1996-08-30,89.701
1996-09-30,93.951
1996-10-31,92.986
1996-11-29,95.482
1996-12-31,98.11
1997-01-31,97.576
1997-02-28,104.228
1997-03-31,102.68
1997-04-30,96.149
1997-05-30,100.959
1997-06-30,102.555
1997-07-31,101.817
1997-08-29,102.522
1997-09-30,98.696
1997-10-31,100.942
1997-11-28,100.886
1997-12-31,101.277
1998-01-30,108.929
1998-02-27,126.574
1998-03-31,128.5
1998-04-30,133.35
1998-05-29,130.41
1998-06-30,118.449
1998-07-31,117.598
1998-08-31,97.228
1998-09-30,89.639
1998-10-30,88.3
1998-11-30,93.797
1998-12-31,100.425
1999-01-29,97.305
1999-02-26,97.952
1999-03-31,93.996
1999-04-30,94.572
1999-05-31,91.061
1999-06-30,93.272
1999-07-30,92.504
1999-08-31,91.194
1999-09-30,92.624
1999-10-29,89.472
1999-11-30,100.977
1999-12-31,114.879
2000-01-31,127.568
2000-02-29,139.319
2000-03-31,150.796
2000-04-28,135.453
2000-05-31,127.547
2000-06-30,145.651
2000-07-31,152.899
2000-08-31,154.117
2000-09-29,155.842
2000-10-31,146.303
2000-11-30,135.043
2000-12-29,154.428
2001-01-31,156.165
2001-02-28,149.487
2001-03-30,121.92
2001-04-30,128.446
2001-05-31,122.394
2001-06-29,127.599
2001-07-31,113.597
2001-08-31,114.404
2001-09-28,98.655
2001-10-31,100.663
2001-11-30,111.741
2001-12-31,115.998
2002-01-31,115.014
2002-02-28,112.106
2002-03-29,119.654
2002-04-30,125.906
2002-05-31,134.784
2002-06-28,133.434
2002-07-31,122.463
2002-08-30,127.968
2002-09-30,112.916
2002-10-31,114.73
2002-11-29,121.868
2002-12-31,121.04
2003-01-31,142.795
2003-02-28,128.164
2003-03-31,130.11
2003-04-30,142.681
2003-05-30,175.619
2003-06-30,172.596
2003-07-31,173.072
2003-08-29,179.996
2003-09-30,194.994
2003-10-31,209.28
2003-11-28,223.971
2003-12-31,245.872
2004-01-30,256.377
2004-02-27,292.692
2004-03-31,324.701
2004-04-30,341.208
2004-05-31,347.114
2004-06-30,374.439
2004-07-30,369.153
2004-08-31,378.915
2004-09-30,401.393
2004-10-29,417.391
2004-11-30,462.707
2004-12-31,494.796
2005-01-31,508.516
2005-02-28,539.378
2005-03-31,517.715
2005-04-29,500.705
2005-05-31,494.745
2005-06-30,495.786
2005-07-29,518.662
2005-08-31,514.479
2005-09-30,505.561
2005-10-31,479.003
2005-11-30,473.243
2005-12-30,507.019
2006-01-31,545.787
2006-02-28,566.868
2006-03-31,584.43
2006-04-28,625.884
2006-05-31,638.08
2006-06-30,622.225
2006-07-31,650.975
2006-08-31,700.552
2006-09-29,732.393
2006-10-31,824.451
2006-11-30,836.957
2006-12-29,914.028
2007-01-31,880.233
2007-02-28,914.608
2007-03-30,923.007
2007-04-30,960.953
2007-05-31,1000.0
2007-06-29,936.921
2007-07-31,897.47
2007-08-31,829.739
2007-09-28,907.962
2007-10-31,963.124
2007-11-30,856.405
2007-12-31,908.027
2008-01-31,863.396
2008-02-29,901.982
2008-03-31,962.298
2008-04-30,963.202
2008-05-30,966.657
2008-06-30,934.999
2008-07-31,884.631
2008-08-29,894.663
2008-09-30,728.393
2008-10-31,560.869
2008-11-28,431.591
2008-12-31,480.24
2009-01-30,446.06
2009-02-27,383.422
2009-03-31,414.529
2009-04-30,492.475
2009-05-29,574.579
2009-06-30,559.567
2009-07-31,587.604
2009-08-31,682.689
2009-09-30,729.331
2009-10-30,732.871
2009-11-30,762.17
2009-12-31,730.04
2010-01-29,703.661
2010-02-26,625.472
2010-03-31,715.485
2010-04-30,773.962
2010-05-31,644.875
2010-06-30,623.761
2010-07-30,696.698
2010-08-31,657.647
2010-09-30,728.381
2010-10-29,779.205
2010-11-30,695.344
2010-12-31,810.952
2011-01-31,785.911
2011-02-28,829.614
2011-03-31,853.374
2011-04-29,926.844
2011-05-31,954.734
2011-06-30,956.055
2011-07-29,883.549
2011-08-31,897.082
2011-09-30,877.98
2011-10-31,957.127
2011-11-30,903.809
2011-12-30,914.815
2012-01-31,916.337
2012-02-29,1009.964
2012-03-30,1029.278
2012-04-30,1060.204
2012-05-31,1013.88
2012-06-29,1022.396
2012-07-31,1056.416
2012-08-31,1121.983
2012-09-28,1203.867
2012-10-31,1214.651
2012-11-30,1274.953
2012-12-31,1384.431
2013-01-31,1407.408
2013-02-28,1437.113
2013-03-29,1516.325
2013-04-30,1510.99
2013-05-31,1532.044
2013-06-28,1533.054
2013-07-31,1490.19
2013-08-30,1510.199
2013-09-30,1515.269
2013-10-31,1565.389
2013-11-29,1550.819
2013-12-31,1655.233
2014-01-31,1612.354
2014-02-28,1718.574
2014-03-31,1669.465
2014-04-30,1623.425
2014-05-30,1569.726
2014-06-30,1490.786
2014-07-31,1500.957
2014-08-29,1492.189
2014-09-30,1469.088
2014-10-31,1430.263
2014-11-28,1536.873
2014-12-31,1583.607
2015-01-30,1603.452
2015-02-27,1723.951
2015-03-31,1778.995
2015-04-30,1863.407
2015-05-29,1922.602
2015-06-30,1897.379
2015-07-31,2010.88
2015-08-31,2071.04
2015-09-30,2000.504
2015-10-30,2077.177
2015-11-30,2126.518
2015-12-31,2141.507
2016-01-29,2126.157
2016-02-29,2193.255
2016-03-31,2358.479
2016-04-29,2320.374
2016-05-31,2382.461
2016-06-30,2068.844
2016-07-29,2177.941
2016-08-31,2309.488
2016-09-30,2247.653
2016-10-31,2056.275
2016-11-30,2117.265
2016-12-30,2145.29
2017-01-31,2229.449
2017-02-28,2390.315
2017-03-31,2439.918
2017-04-28,2590.983
2017-05-31,2671.517
2017-06-30,2605.729
2017-07-31,2652.415
2017-08-31,2785.914
2017-09-29,2967.477
2017-10-31,2937.908
2017-11-30,2918.964
2017-12-29,3029.728
2018-01-31,3111.897
2018-02-28,2947.887
2018-03-30,2968.113
2018-04-30,3048.916
2018-05-31,3104.261
2018-06-29,3219.01
2018-07-31,3048.9
2018-08-31,3132.514
2018-09-28,3012.644
2018-10-31,2798.981
2018-11-30,2718.251
2018-12-31,2589.975
2019-01-31,2863.944
2019-02-28,2959.145
2019-03-29,2962.004
2019-04-30,2927.308
2019-05-31,2736.544
2019-06-28,2735.147
2019-07-31,2450.23
2019-08-30,2253.963
2019-09-30,2435.154
2019-10-31,2417.515
2019-11-29,2461.206
2019-12-31,2454.388
2020-01-31,2426.991
2020-02-28,2284.699
2020-03-31,1923.263
2020-04-30,1983.11
2020-05-29,2098.895
2020-06-30,2122.233
2020-07-31,2312.123
2020-08-31,2265.265
2020-09-30,2138.287
2020-10-30,2037.811
2020-11-30,2477.236
2020-12-31,2638.938
2021-01-29,2630.532
2021-02-26,2550.253
2021-03-31,2714.839
2021-04-30,2935.254
2021-05-31,3243.106
2021-06-30,3100.615
2021-07-30,3305.042
2021-08-31,3459.048
2021-09-30,3498.763
2021-10-29,3538.514
2021-11-30,3487.851
2021-12-31,3829.707
2022-01-31,3548.008
2022-02-28,3383.605
2022-03-31,3407.795
2022-04-29,3247.005
2022-05-31,3016.575
2022-06-30,2508.959
2022-07-29,2729.871
2022-08-31,2665.732
2022-09-30,2301.633
2022-10-31,2596.527
2022-11-30,2697.212
2022-12-30,2481.305
2023-01-31,2771.666
2023-02-28,2731.077
2023-03-31,2657.727
2023-04-28,2663.527
2023-05-31,2812.78
2023-06-30,2851.532
2023-07-31,2763.643
2023-08-31,2636.149
2023-09-29,2319.59
2023-10-31,2175.225
2023-11-30,2535.628
2023-12-29,2890.982
2024-01-31,2925.814
2024-02-29,2796.909
2024-03-29,2973.249
2024-04-30,2972.226
2024-05-31,3209.775
2024-06-28,2949.307
2024-07-31,3364.775
2024-08-30,3516.288
2024-09-30,3697.04
2024-10-31,3665.363
2024-11-29,3423.926
2024-12-31,3626.857
2025-01-31,3746.346
2025-02-28,3519.298
2025-03-31,3435.771
2025-04-30,3847.466
2025-05-30,4328.427
2025-06-30,4569.787
2025-07-31,4614.601
2025-08-29,4791.642
2025-09-30,4605.469
