Date,IRELAND SMALL GROWTH Small Cap
1994-05-31,56.779
1994-06-30,52.406
1994-07-29,55.313
1994-08-31,58.341
1994-09-30,57.11
1994-10-31,60.047
1994-11-30,58.327
1994-12-30,58.47
1995-01-31,60.742
1995-02-28,61.909
1995-03-31,60.993
1995-04-28,61.581
1995-05-31,62.347
1995-06-30,64.648
1995-07-31,66.113
1995-08-31,71.005
1995-09-29,71.787
1995-10-31,70.361
1995-11-30,69.375
1995-12-29,72.836
1996-01-31,71.818
1996-02-29,74.229
1996-03-29,81.047
1996-04-30,83.834
1996-05-31,86.898
1996-06-28,90.101
1996-07-31,86.574
1996-08-30,88.939
1996-09-30,93.152
1996-10-31,92.196
1996-11-29,94.671
1996-12-31,97.276
1997-01-31,96.747
1997-02-28,103.342
1997-03-31,101.807
1997-04-30,95.332
1997-05-30,100.101
1997-06-30,101.683
1997-07-31,100.952
1997-08-29,101.651
1997-09-30,97.858
1997-10-31,100.084
1997-11-28,100.028
1997-12-31,100.416
1998-01-30,108.004
1998-02-27,125.498
1998-03-31,127.408
1998-04-30,132.217
1998-05-29,129.302
1998-06-30,117.442
1998-07-31,116.599
1998-08-31,96.402
1998-09-30,88.877
1998-10-30,87.549
1998-11-30,93.0
1998-12-31,99.572
1999-01-29,96.478
1999-02-26,97.12
1999-03-31,93.198
1999-04-30,93.768
1999-05-31,90.287
1999-06-30,92.479
1999-07-30,91.718
1999-08-31,90.419
1999-09-30,91.837
1999-10-29,88.712
1999-11-30,100.119
1999-12-31,113.903
2000-01-31,126.484
2000-02-29,138.134
2000-03-31,149.514
2000-04-28,134.302
2000-05-31,126.463
2000-06-30,144.413
2000-07-31,151.6
2000-08-31,152.807
2000-09-29,154.517
2000-10-31,145.06
2000-11-30,133.896
2000-12-29,153.115
2001-01-31,154.838
2001-02-28,148.217
2001-03-30,120.884
2001-04-30,127.409
2001-05-31,121.427
2001-06-29,126.603
2001-07-31,112.711
2001-08-31,113.511
2001-09-28,97.885
2001-10-31,99.877
2001-11-30,110.869
2001-12-31,115.093
2002-01-31,114.116
2002-02-28,111.23
2002-03-29,118.72
2002-04-30,124.923
2002-05-31,133.732
2002-06-28,132.392
2002-07-31,121.507
2002-08-30,126.969
2002-09-30,112.035
2002-10-31,113.834
2002-11-29,120.917
2002-12-31,120.095
2003-01-31,141.68
2003-02-28,127.163
2003-03-31,129.095
2003-04-30,141.567
2003-05-30,174.248
2003-06-30,171.249
2003-07-31,171.721
2003-08-29,178.591
2003-09-30,193.472
2003-10-31,207.646
2003-11-28,222.222
2003-12-31,243.952
2004-01-30,254.375
2004-02-27,290.407
2004-03-31,322.166
2004-04-30,338.544
2004-05-31,344.405
2004-06-30,371.516
2004-07-30,366.271
2004-08-31,375.957
2004-09-30,398.26
2004-10-29,414.133
2004-11-30,459.095
2004-12-31,490.934
2005-01-31,504.547
2005-02-28,535.168
2005-03-31,513.674
2005-04-29,496.796
2005-05-31,490.883
2005-06-30,491.916
2005-07-29,514.793
2005-08-31,510.642
2005-09-30,501.919
2005-10-31,475.712
2005-11-30,470.413
2005-12-30,503.987
2006-01-31,542.597
2006-02-28,563.555
2006-03-31,581.529
2006-04-28,622.926
2006-05-31,635.397
2006-06-30,619.608
2006-07-31,648.682
2006-08-31,698.085
2006-09-29,730.158
2006-10-31,822.615
2006-11-30,835.213
2006-12-29,912.124
2007-01-31,878.499
2007-02-28,912.807
2007-03-30,922.148
2007-04-30,960.889
2007-05-31,1000.0
2007-06-29,936.921
2007-07-31,897.47
2007-08-31,829.739
2007-09-28,908.341
2007-10-31,963.527
2007-11-30,857.421
2007-12-31,909.104
2008-01-31,864.68
2008-02-29,903.324
2008-03-31,964.279
2008-04-30,965.696
2008-05-30,969.974
2008-06-30,938.207
2008-07-31,887.666
2008-08-29,897.733
2008-09-30,731.484
2008-10-31,563.288
2008-11-28,433.894
2008-12-31,483.275
2009-01-30,448.88
2009-02-27,385.846
2009-03-31,417.738
2009-04-30,496.537
2009-05-29,580.668
2009-06-30,565.497
2009-07-31,593.831
2009-08-31,689.924
2009-09-30,737.605
2009-10-30,741.185
2009-11-30,772.135
2009-12-31,739.585
2010-01-29,712.861
2010-02-26,633.65
2010-03-31,725.458
2010-04-30,784.872
2010-05-31,654.488
2010-06-30,633.059
2010-07-30,707.084
2010-08-31,667.451
2010-09-30,739.955
2010-10-29,791.586
2010-11-30,706.738
2010-12-31,824.24
2011-01-31,798.789
2011-02-28,843.208
2011-03-31,868.887
2011-04-29,943.921
2011-05-31,974.026
2011-06-30,975.373
2011-07-29,901.402
2011-08-31,915.387
2011-09-30,896.983
2011-10-31,977.843
2011-11-30,924.027
2011-12-30,935.279
2012-01-31,936.836
2012-02-29,1032.558
2012-03-30,1054.243
2012-04-30,1086.086
2012-05-31,1039.695
2012-06-29,1048.427
2012-07-31,1083.314
2012-08-31,1150.655
2012-09-28,1235.654
2012-10-31,1246.939
2012-11-30,1309.606
2012-12-31,1422.059
2013-01-31,1445.661
2013-02-28,1476.173
2013-03-29,1559.241
2013-04-30,1554.247
2013-05-31,1577.55
2013-06-28,1578.59
2013-07-31,1534.453
2013-08-30,1555.541
2013-09-30,1561.95
2013-10-31,1613.613
2013-11-29,1598.903
2013-12-31,1706.554
2014-01-31,1662.346
2014-02-28,1771.859
2014-03-31,1723.251
2014-04-30,1676.689
2014-05-30,1621.558
2014-06-30,1540.355
2014-07-31,1550.863
2014-08-29,1542.064
2014-09-30,1519.421
2014-10-31,1479.821
2014-11-28,1590.511
2014-12-31,1638.876
2015-01-30,1659.414
2015-02-27,1784.118
2015-03-31,1842.46
2015-04-30,1931.918
2015-05-29,1993.29
2015-06-30,1967.445
2015-07-31,2085.138
2015-08-31,2147.519
2015-09-30,2075.769
2015-10-30,2156.034
2015-11-30,2207.247
2015-12-31,2223.147
2016-01-29,2207.213
2016-02-29,2276.868
2016-03-31,2449.024
2016-04-29,2413.569
2016-05-31,2478.638
2016-06-30,2152.361
2016-07-29,2266.068
2016-08-31,2403.305
2016-09-30,2340.91
2016-10-31,2142.579
2016-11-30,2206.128
2016-12-30,2235.831
2017-01-31,2323.768
2017-02-28,2491.44
2017-03-31,2545.775
2017-04-28,2703.394
2017-05-31,2788.0
2017-06-30,2719.342
2017-07-31,2768.589
2017-08-31,2909.447
2017-09-29,3099.417
2017-10-31,3068.534
