Date,KOKUSAI INDEX (WORLD ex JP) MID VALUE Mid Cap
2001-01-01,362.406
2001-01-02,358.149
2001-01-03,361.962
2001-01-04,361.07
2001-01-05,359.074
2001-01-08,359.087
2001-01-09,356.933
2001-01-10,359.168
2001-01-11,360.416
2001-01-12,359.162
2001-01-15,358.536
2001-01-16,359.062
2001-01-17,359.797
2001-01-18,360.794
2001-01-19,357.851
2001-01-22,359.142
2001-01-23,362.993
2001-01-24,361.843
2001-01-25,362.903
2001-01-26,362.681
2001-01-29,365.42
2001-01-30,368.155
2001-01-31,368.848
2001-02-01,371.145
2001-02-02,368.172
2001-02-05,369.543
2001-02-06,369.559
2001-02-07,369.449
2001-02-08,368.073
2001-02-09,367.918
2001-02-12,370.944
2001-02-13,370.478
2001-02-14,369.807
2001-02-15,369.55
2001-02-16,368.497
2001-02-19,368.931
2001-02-20,365.542
2001-02-21,363.085
2001-02-22,361.537
2001-02-23,360.187
2001-02-26,364.966
2001-02-27,365.404
2001-02-28,364.155
2001-03-01,364.355
2001-03-02,367.8
2001-03-05,368.663
2001-03-06,371.003
2001-03-07,372.197
2001-03-08,373.7
2001-03-09,370.238
2001-03-12,362.671
2001-03-13,359.405
2001-03-14,351.977
2001-03-15,353.097
2001-03-16,347.398
2001-03-19,350.0
2001-03-20,348.292
2001-03-21,341.922
2001-03-22,333.388
2001-03-23,339.15
2001-03-26,344.478
2001-03-27,348.061
2001-03-28,344.295
2001-03-29,344.49
2001-03-30,347.467
2001-04-02,345.235
2001-04-03,338.708
2001-04-04,340.349
2001-04-05,346.818
2001-04-06,343.694
2001-04-09,346.793
2001-04-10,351.188
2001-04-11,349.625
2001-04-12,352.7
2001-04-13,352.7
2001-04-16,351.204
2001-04-17,352.41
2001-04-18,357.891
2001-04-19,360.597
2001-04-20,360.468
2001-04-23,358.106
2001-04-24,357.384
2001-04-25,360.251
2001-04-26,362.859
2001-04-27,365.083
2001-04-30,366.495
2001-05-01,367.854
2001-05-02,367.863
2001-05-03,364.961
2001-05-04,367.418
2001-05-07,367.09
2001-05-08,366.812
2001-05-09,366.588
2001-05-10,368.695
2001-05-11,367.125
2001-05-14,366.799
2001-05-15,369.461
2001-05-16,375.157
2001-05-17,378.105
2001-05-18,378.907
2001-05-21,382.226
2001-05-22,381.621
2001-05-23,377.771
2001-05-24,376.981
2001-05-25,375.831
2001-05-28,376.29
2001-05-29,374.432
2001-05-30,371.601
2001-05-31,373.369
2001-06-01,374.051
2001-06-04,375.198
2001-06-05,377.241
2001-06-06,375.298
2001-06-07,376.283
2001-06-08,375.395
2001-06-11,372.312
2001-06-12,371.899
2001-06-13,371.835
2001-06-14,367.547
2001-06-15,367.322
2001-06-18,366.558
2001-06-19,366.318
2001-06-20,365.673
2001-06-21,366.997
2001-06-22,365.872
2001-06-25,365.196
2001-06-26,365.3
2001-06-27,366.329
2001-06-28,367.356
2001-06-29,370.628
2001-07-02,371.686
2001-07-03,372.014
2001-07-04,371.697
2001-07-05,369.306
2001-07-06,365.256
2001-07-09,365.452
2001-07-10,364.506
2001-07-11,364.016
2001-07-12,366.825
2001-07-13,367.858
2001-07-16,366.316
2001-07-17,366.606
2001-07-18,368.249
2001-07-19,368.979
2001-07-20,367.577
2001-07-23,365.063
2001-07-24,361.005
2001-07-25,363.35
2001-07-26,365.747
2001-07-27,366.746
2001-07-30,368.142
2001-07-31,370.416
2001-08-01,372.91
2001-08-02,375.014
2001-08-03,374.841
2001-08-06,371.847
2001-08-07,371.374
2001-08-08,368.491
2001-08-09,368.529
2001-08-10,370.909
2001-08-13,372.164
2001-08-14,372.833
2001-08-15,374.282
2001-08-16,374.467
2001-08-17,372.392
2001-08-20,372.028
2001-08-21,371.966
2001-08-22,373.345
2001-08-23,372.494
2001-08-24,374.08
2001-08-27,372.838
2001-08-28,371.331
2001-08-29,369.926
2001-08-30,366.222
2001-08-31,367.075
2001-09-03,366.068
2001-09-04,365.57
2001-09-05,363.504
2001-09-06,359.634
2001-09-07,355.341
2001-09-10,351.752
2001-09-11,347.168
2001-09-12,345.57
2001-09-13,346.407
2001-09-14,344.002
2001-09-17,330.257
