Date,KOKUSAI INDEX (WORLD ex JP) MID VALUE Mid Cap
1994-05-31,180.841
1994-06-30,177.05
1994-07-29,184.335
1994-08-31,189.346
1994-09-30,183.838
1994-10-31,184.48
1994-11-30,175.624
1994-12-30,177.565
1995-01-31,178.259
1995-02-28,185.1
1995-03-31,188.783
1995-04-28,193.622
1995-05-31,199.414
1995-06-30,202.22
1995-07-31,210.434
1995-08-31,208.349
1995-09-29,211.696
1995-10-31,208.673
1995-11-30,213.495
1995-12-29,217.56
1996-01-31,221.912
1996-02-29,225.382
1996-03-29,228.35
1996-04-30,230.925
1996-05-31,233.086
1996-06-28,233.767
1996-07-31,226.587
1996-08-30,233.946
1996-09-30,239.251
1996-10-31,244.277
1996-11-29,257.365
1996-12-31,261.45
1997-01-31,264.829
1997-02-28,268.652
1997-03-31,263.71
1997-04-30,265.727
1997-05-30,280.472
1997-06-30,290.469
1997-07-31,304.055
1997-08-29,299.696
1997-09-30,318.907
1997-10-31,307.95
1997-11-28,313.035
1997-12-31,323.918
1998-01-30,321.154
1998-02-27,343.959
1998-03-31,365.848
1998-04-30,368.269
1998-05-29,364.052
1998-06-30,354.631
1998-07-31,345.258
1998-08-31,295.141
1998-09-30,299.593
1998-10-30,321.076
1998-11-30,331.255
1998-12-31,335.956
1999-01-29,327.171
1999-02-26,319.75
1999-03-31,325.512
1999-04-30,353.902
1999-05-31,349.812
1999-06-30,356.785
1999-07-30,354.433
1999-08-31,347.822
1999-09-30,336.662
1999-10-29,338.418
1999-11-30,335.83
1999-12-31,352.706
2000-01-31,331.602
2000-02-29,327.769
2000-03-31,346.099
2000-04-28,341.794
2000-05-31,342.858
2000-06-30,343.613
2000-07-31,347.416
2000-08-31,362.567
2000-09-29,355.076
2000-10-31,352.051
2000-11-30,347.219
2000-12-29,376.909
2001-01-31,383.552
2001-02-28,378.58
2001-03-30,361.099
2001-04-30,380.67
2001-05-31,387.519
2001-06-29,384.483
2001-07-31,384.177
2001-08-31,380.59
2001-09-28,336.506
2001-10-31,342.374
2001-11-30,363.907
2001-12-31,378.263
2002-01-31,378.689
2002-02-28,383.858
2002-03-29,406.149
2002-04-30,411.075
2002-05-31,413.208
2002-06-28,392.275
2002-07-31,354.18
2002-08-30,357.207
2002-09-30,319.549
2002-10-31,333.278
2002-11-29,351.753
2002-12-31,344.011
2003-01-31,334.779
2003-02-28,326.837
2003-03-31,326.022
2003-04-30,355.292
2003-05-30,384.069
2003-06-30,385.72
2003-07-31,396.665
2003-08-29,406.135
2003-09-30,407.612
2003-10-31,436.529
2003-11-28,447.269
2003-12-31,473.8
2004-01-30,482.291
2004-02-27,500.62
2004-03-31,498.774
2004-04-30,486.36
2004-05-31,497.653
2004-06-30,514.151
2004-07-30,506.987
2004-08-31,513.049
2004-09-30,531.544
2004-10-29,546.495
2004-11-30,585.6
2004-12-31,610.479
2005-01-31,598.792
2005-02-28,623.553
2005-03-31,616.407
2005-04-29,598.166
2005-05-31,614.511
2005-06-30,629.762
2005-07-29,658.568
2005-08-31,659.772
2005-09-30,674.918
2005-10-31,652.236
2005-11-30,679.329
2005-12-30,695.213
2006-01-31,730.166
2006-02-28,734.768
2006-03-31,753.663
2006-04-28,776.295
2006-05-31,758.327
2006-06-30,765.432
2006-07-31,771.531
2006-08-31,792.562
2006-09-29,804.66
2006-10-31,840.956
2006-11-30,873.28
2006-12-29,888.742
2007-01-31,912.332
2007-02-28,913.904
2007-03-30,931.232
2007-04-30,970.198
2007-05-31,1000.0
2007-06-29,973.255
2007-07-31,927.128
2007-08-31,919.89
2007-09-28,936.929
2007-10-31,951.017
2007-11-30,887.182
2007-12-31,860.54
2008-01-31,811.065
2008-02-29,800.662
2008-03-31,799.181
2008-04-30,826.722
2008-05-30,846.859
2008-06-30,751.216
2008-07-31,734.05
2008-08-29,744.352
2008-09-30,664.909
2008-10-31,506.06
2008-11-28,471.196
2008-12-31,494.553
2009-01-30,449.118
2009-02-27,394.818
2009-03-31,426.651
2009-04-30,502.439
2009-05-29,543.244
2009-06-30,534.184
2009-07-31,596.888
2009-08-31,638.271
2009-09-30,678.292
2009-10-30,654.551
2009-11-30,678.177
2009-12-31,700.608
2010-01-29,676.06
2010-02-26,688.854
2010-03-31,739.309
2010-04-30,751.526
2010-05-31,678.485
2010-06-30,651.783
2010-07-30,713.747
2010-08-31,682.284
2010-09-30,752.936
2010-10-29,780.41
2010-11-30,757.324
2010-12-31,820.219
2011-01-31,845.239
2011-02-28,872.704
2011-03-31,874.112
2011-04-29,911.153
2011-05-31,894.467
2011-06-30,866.809
2011-07-29,830.917
2011-08-31,770.446
2011-09-30,687.225
2011-10-31,767.202
2011-11-30,746.416
2011-12-30,743.562
2012-01-31,790.317
2012-02-29,828.622
2012-03-30,835.228
2012-04-30,820.952
2012-05-31,740.869
2012-06-29,778.533
2012-07-31,791.881
2012-08-31,817.03
2012-09-28,841.869
2012-10-31,848.214
2012-11-30,861.484
2012-12-31,890.345
2013-01-31,947.491
2013-02-28,948.305
2013-03-29,971.051
2013-04-30,1005.923
2013-05-31,1005.346
2013-06-28,975.096
2013-07-31,1037.861
2013-08-30,1010.367
2013-09-30,1062.889
2013-10-31,1113.473
2013-11-29,1117.02
2013-12-31,1144.592
2014-01-31,1113.932
2014-02-28,1180.852
2014-03-31,1192.234
2014-04-30,1206.639
2014-05-30,1223.647
2014-06-30,1249.773
2014-07-31,1212.687
2014-08-29,1243.717
2014-09-30,1188.86
2014-10-31,1204.181
2014-11-28,1226.688
2014-12-31,1219.778
2015-01-30,1206.766
2015-02-27,1265.983
2015-03-31,1247.551
2015-04-30,1270.173
2015-05-29,1272.588
2015-06-30,1231.365
2015-07-31,1231.227
2015-08-31,1158.343
2015-09-30,1119.616
2015-10-30,1192.887
2015-11-30,1184.411
2015-12-31,1147.891
2016-01-29,1077.907
2016-02-29,1089.074
2016-03-31,1188.371
2016-04-29,1225.294
2016-05-31,1218.249
2016-06-30,1199.55
2016-07-29,1258.916
2016-08-31,1262.782
2016-09-30,1278.167
2016-10-31,1248.54
2016-11-30,1299.736
2016-12-30,1330.582
2017-01-31,1363.679
2017-02-28,1393.994
2017-03-31,1405.15
2017-04-28,1425.959
2017-05-31,1444.769
2017-06-30,1460.887
2017-07-31,1499.806
2017-08-31,1487.382
2017-09-29,1522.361
2017-10-31,1533.228
2017-11-30,1575.29
2017-12-29,1599.717
2018-01-31,1654.334
2018-02-28,1577.323
2018-03-30,1566.076
2018-04-30,1591.039
2018-05-31,1573.827
2018-06-29,1571.777
2018-07-31,1609.133
2018-08-31,1607.825
2018-09-28,1599.7
2018-10-31,1499.718
2018-11-30,1514.452
2018-12-31,1387.705
2019-01-31,1525.39
2019-02-28,1569.092
2019-03-29,1563.446
