Date,KOKUSAI INDEX (WORLD ex JP) MID VALUE Mid Cap
2001-01-01,376.917
2001-01-02,372.489
2001-01-03,376.452
2001-01-04,375.525
2001-01-05,373.448
2001-01-08,373.457
2001-01-09,371.217
2001-01-10,373.541
2001-01-11,374.831
2001-01-12,373.526
2001-01-15,372.873
2001-01-16,373.421
2001-01-17,374.183
2001-01-18,375.214
2001-01-19,372.154
2001-01-22,373.497
2001-01-23,377.502
2001-01-24,376.299
2001-01-25,377.395
2001-01-26,377.163
2001-01-29,380.004
2001-01-30,382.841
2001-01-31,383.552
2001-02-01,385.936
2001-02-02,382.843
2001-02-05,384.256
2001-02-06,384.273
2001-02-07,384.153
2001-02-08,382.721
2001-02-09,382.559
2001-02-12,385.693
2001-02-13,385.203
2001-02-14,384.496
2001-02-15,384.226
2001-02-16,383.13
2001-02-19,383.581
2001-02-20,380.058
2001-02-21,377.497
2001-02-22,375.88
2001-02-23,374.475
2001-02-26,379.441
2001-02-27,379.888
2001-02-28,378.58
2001-03-01,378.78
2001-03-02,382.36
2001-03-05,383.251
2001-03-06,385.679
2001-03-07,386.903
2001-03-08,388.459
2001-03-09,384.858
2001-03-12,376.991
2001-03-13,373.586
2001-03-14,365.86
2001-03-15,367.022
2001-03-16,361.089
2001-03-19,363.793
2001-03-20,362.013
2001-03-21,355.381
2001-03-22,346.505
2001-03-23,352.494
2001-03-26,358.028
2001-03-27,361.751
2001-03-28,357.821
2001-03-29,358.017
2001-03-30,361.099
2001-04-02,358.777
2001-04-03,351.993
2001-04-04,353.694
2001-04-05,360.406
2001-04-06,357.127
2001-04-09,360.343
2001-04-10,364.899
2001-04-11,363.244
2001-04-12,366.435
2001-04-13,366.435
2001-04-16,364.881
2001-04-17,366.133
2001-04-18,371.827
2001-04-19,374.637
2001-04-20,374.495
2001-04-23,372.04
2001-04-24,371.282
2001-04-25,374.24
2001-04-26,376.932
2001-04-27,379.204
2001-04-30,380.67
2001-05-01,382.082
2001-05-02,382.075
