Date,KOKUSAI INDEX (WORLD ex JP) MID VALUE Mid Cap
1994-05-31,171.064
1994-06-30,167.557
1994-07-29,174.513
1994-08-31,179.267
1994-09-30,174.071
1994-10-31,174.71
1994-11-30,166.333
1994-12-30,168.191
1995-01-31,168.866
1995-02-28,175.358
1995-03-31,178.873
1995-04-28,183.504
1995-05-31,189.066
1995-06-30,191.816
1995-07-31,199.69
1995-08-31,197.727
1995-09-29,200.928
1995-10-31,198.088
1995-11-30,202.679
1995-12-29,206.557
1996-01-31,210.715
1996-02-29,214.033
1996-03-29,216.878
1996-04-30,219.398
1996-05-31,221.554
1996-06-28,222.297
1996-07-31,215.555
1996-08-30,222.576
1996-09-30,227.648
1996-10-31,232.452
1996-11-29,244.922
1996-12-31,248.83
1997-01-31,252.066
1997-02-28,255.727
1997-03-31,251.042
1997-04-30,253.058
1997-05-30,267.212
1997-06-30,276.856
1997-07-31,289.876
1997-08-29,285.731
1997-09-30,304.084
1997-10-31,293.655
1997-11-28,298.519
1997-12-31,308.92
1998-01-30,306.304
1998-02-27,328.07
1998-03-31,349.004
1998-04-30,351.42
1998-05-29,347.518
1998-06-30,338.664
1998-07-31,329.774
1998-08-31,281.924
1998-09-30,286.201
1998-10-30,306.746
1998-11-30,316.491
1998-12-31,320.989
1999-01-29,312.633
1999-02-26,305.611
1999-03-31,311.208
1999-04-30,338.446
1999-05-31,334.661
1999-06-30,341.455
1999-07-30,339.258
1999-08-31,333.021
1999-09-30,322.416
1999-10-29,324.14
1999-11-30,321.747
1999-12-31,337.99
2000-01-31,317.808
2000-02-29,314.215
2000-03-31,331.903
2000-04-28,327.863
2000-05-31,329.029
2000-06-30,329.873
2000-07-31,333.619
2000-08-31,348.271
2000-09-29,341.167
2000-10-31,338.323
2000-11-30,333.772
2000-12-29,362.398
2001-01-31,368.848
2001-02-28,364.155
2001-03-30,347.467
2001-04-30,366.495
2001-05-31,373.369
2001-06-29,370.628
2001-07-31,370.416
2001-08-31,367.075
2001-09-28,324.664
2001-10-31,330.391
2001-11-30,351.279
2001-12-31,365.239
2002-01-31,365.722
2002-02-28,370.813
2002-03-29,392.496
2002-04-30,397.415
2002-05-31,399.759
2002-06-28,379.727
2002-07-31,342.919
2002-08-30,346.04
2002-09-30,309.759
2002-10-31,323.18
2002-11-29,341.299
2002-12-31,334.011
2003-01-31,325.121
2003-02-28,317.626
2003-03-31,317.117
2003-04-30,345.821
2003-05-30,374.213
2003-06-30,376.128
2003-07-31,386.915
2003-08-29,396.367
2003-09-30,398.054
2003-10-31,426.38
2003-11-28,437.104
2003-12-31,463.323
2004-01-30,471.732
2004-02-27,489.909
2004-03-31,488.47
2004-04-30,476.622
2004-05-31,488.121
2004-06-30,504.628
2004-07-30,497.724
2004-08-31,503.985
2004-09-30,522.431
2004-10-29,537.246
2004-11-30,576.009
2004-12-31,600.826
2005-01-31,589.458
2005-02-28,614.173
2005-03-31,607.541
2005-04-29,589.977
2005-05-31,606.638
2005-06-30,622.106
2005-07-29,650.725
2005-08-31,652.239
2005-09-30,667.656
2005-10-31,645.366
2005-11-30,672.545
2005-12-30,688.733
2006-01-31,723.53
2006-02-28,728.398
2006-03-31,747.664
2006-04-28,770.502
2006-05-31,753.345
2006-06-30,760.949
2006-07-31,767.15
2006-08-31,788.486
2006-09-29,801.045
2006-10-31,837.334
2006-11-30,869.982
2006-12-29,886.091
2007-01-31,909.767
2007-02-28,911.777
2007-03-30,929.85
2007-04-30,969.382
2007-05-31,1000.0
2007-06-29,974.036
2007-07-31,928.14
2007-08-31,921.418
2007-09-28,939.091
2007-10-31,953.578
2007-11-30,890.053
2007-12-31,864.0
2008-01-31,814.554
2008-02-29,804.59
2008-03-31,804.039
2008-04-30,832.479
2008-05-30,853.859
2008-06-30,758.139
2008-07-31,741.103
2008-08-29,751.967
2008-09-30,672.287
2008-10-31,511.979
2008-11-28,477.082
2008-12-31,501.362
2009-01-30,455.442
2009-02-27,400.645
2009-03-31,433.515
2009-04-30,510.987
2009-05-29,553.244
2009-06-30,544.512
2009-07-31,608.568
2009-08-31,651.082
2009-09-30,692.228
2009-10-30,668.099
2009-11-30,692.661
2009-12-31,715.942
2010-01-29,691.001
2010-02-26,704.426
2010-03-31,756.555
2010-04-30,769.535
2010-05-31,695.51
2010-06-30,668.573
2010-07-30,732.281
2010-08-31,700.381
2010-09-30,773.303
2010-10-29,801.655
2010-11-30,778.434
2010-12-31,843.623
2011-01-31,869.518
2011-02-28,898.17
2011-03-31,900.081
2011-04-29,938.788
2011-05-31,922.748
2011-06-30,894.914
2011-07-29,858.046
2011-08-31,796.137
2011-09-30,710.535
2011-10-31,793.38
2011-11-30,772.456
2011-12-30,770.042
2012-01-31,818.607
2012-02-29,858.771
2012-03-30,866.27
2012-04-30,852.118
2012-05-31,770.031
2012-06-29,810.051
2012-07-31,824.162
2012-08-31,850.887
2012-09-28,877.318
2012-10-31,884.121
2012-11-30,898.502
2012-12-31,929.456
2013-01-31,989.291
2013-02-28,990.568
2013-03-29,1015.111
2013-04-30,1052.576
2013-05-31,1053.134
2013-06-28,1022.329
2013-07-31,1088.47
2013-08-30,1060.186
2013-09-30,1115.95
2013-10-31,1169.289
2013-11-29,1173.556
2013-12-31,1203.438
2014-01-31,1171.386
2014-02-28,1242.345
2014-03-31,1255.173
2014-04-30,1271.182
2014-05-30,1290.587
2014-06-30,1319.308
2014-07-31,1280.486
2014-08-29,1313.863
2014-09-30,1256.838
2014-10-31,1273.342
2014-11-28,1297.801
2014-12-31,1291.38
2015-01-30,1277.9
2015-02-27,1341.176
2015-03-31,1322.539
2015-04-30,1347.252
2015-05-29,1351.325
2015-06-30,1308.506
2015-07-31,1308.779
2015-08-31,1231.87
2015-09-30,1191.468
2015-10-30,1269.774
2015-11-30,1261.721
2015-12-31,1223.661
2016-01-29,1149.317
2016-02-29,1161.826
2016-03-31,1268.714
2016-04-29,1309.086
2016-05-31,1303.082
2016-06-30,1284.07
2016-07-29,1347.993
2016-08-31,1352.758
2016-09-30,1370.176
2016-10-31,1338.722
2016-11-30,1394.339
2016-12-30,1428.39
2017-01-31,1464.247
2017-02-28,1497.436
2017-03-31,1510.623
2017-04-28,1533.834
2017-05-31,1555.647
2017-06-30,1574.182
2017-07-31,1616.61
2017-08-31,1603.879
2017-09-29,1642.56
2017-10-31,1654.752
2017-11-30,1700.93
2017-12-29,1728.508
2018-01-31,1787.997
2018-02-28,1705.369
2018-03-30,1694.721
2018-04-30,1722.996
2018-05-31,1705.85
2018-06-29,1705.103
2018-07-31,1746.188
2018-08-31,1745.672
2018-09-28,1738.002
2018-10-31,1629.892
2018-11-30,1647.013
2018-12-31,1510.396
2019-01-31,1660.766
2019-02-28,1709.152
2019-03-29,1704.603
2019-04-30,1762.314
2019-05-31,1649.804
2019-06-28,1748.561
2019-07-31,1754.451
2019-08-30,1694.249
2019-09-30,1776.453
2019-10-31,1807.77
2019-11-29,1840.766
2019-12-31,1898.304
2020-01-31,1846.453
2020-02-28,1661.559
2020-03-31,1256.153
2020-04-30,1409.083
2020-05-29,1456.886
2020-06-30,1493.071
2020-07-31,1561.338
2020-08-31,1632.216
2020-09-30,1580.626
2020-10-30,1567.199
2020-11-30,1827.78
2020-12-31,1912.486
2021-01-29,1912.087
2021-02-26,2027.05
2021-03-31,2124.168
2021-04-30,2227.747
2021-05-31,2285.382
2021-06-30,2244.834
2021-07-30,2264.965
2021-08-31,2317.72
2021-09-30,2228.935
2021-10-29,2332.893
2021-11-30,2253.661
2021-12-31,2392.371
2022-01-31,2301.831
2022-02-28,2287.562
2022-03-31,2324.128
2022-04-29,2200.793
2022-05-31,2220.03
2022-06-30,1967.829
2022-07-29,2109.942
2022-08-31,2046.728
2022-09-30,1833.327
2022-10-31,1995.968
2022-11-30,2134.693
2022-12-30,2064.188
2023-01-31,2239.313
2023-02-28,2174.718
2023-03-31,2095.01
2023-04-28,2121.983
2023-05-31,2011.09
2023-06-30,2152.998
2023-07-31,2253.154
2023-08-31,2168.995
2023-09-29,2071.117
2023-10-31,1976.195
2023-11-30,2164.001
2023-12-29,2326.449
2024-01-31,2284.647
2024-02-29,2350.595
2024-03-29,2468.665
2024-04-30,2380.182
2024-05-31,2468.367
2024-06-28,2411.216
2024-07-31,2547.785
2024-08-30,2621.466
2024-09-30,2683.126
2024-10-31,2621.151
2024-11-29,2764.674
2024-12-31,2588.743
2025-01-31,2685.423
2025-02-28,2659.328
2025-03-31,2598.173
2025-04-30,2583.791
2025-05-30,2698.683
