Date,CANADA VALUE Standard (Large+Mid Cap)
1994-05-31,942.446
1994-06-30,890.56
1994-07-29,928.464
1994-08-31,1000.961
1994-09-30,1012.857
1994-10-31,1013.679
1994-11-30,971.016
1994-12-30,969.492
1995-01-31,927.48
1995-02-28,979.609
1995-03-31,1003.165
1995-04-28,1049.033
1995-05-31,1088.128
1995-06-30,1091.736
1995-07-31,1106.971
1995-08-31,1115.38
1995-09-29,1111.471
1995-10-31,1112.538
1995-11-30,1140.889
1995-12-29,1159.082
1996-01-31,1204.988
1996-02-29,1185.438
1996-03-29,1226.173
1996-04-30,1274.694
1996-05-31,1292.192
1996-06-28,1281.564
1996-07-31,1269.354
1996-08-30,1316.565
1996-09-30,1385.582
1996-10-31,1504.618
1996-11-29,1635.357
1996-12-31,1565.964
1997-01-31,1645.996
1997-02-28,1677.294
1997-03-31,1599.433
1997-04-30,1631.439
1997-05-30,1738.836
1997-06-30,1765.803
1997-07-31,1878.641
1997-08-29,1759.432
1997-09-30,1825.385
1997-10-31,1734.526
1997-11-28,1647.507
1997-12-31,1688.673
1998-01-30,1702.368
1998-02-27,1831.403
1998-03-31,1937.624
1998-04-30,1961.36
1998-05-29,1874.306
1998-06-30,1806.906
1998-07-31,1621.516
1998-08-31,1256.549
1998-09-30,1404.52
1998-10-30,1504.5
1998-11-30,1508.279
1998-12-31,1491.97
1999-01-29,1542.589
1999-02-26,1465.159
1999-03-31,1523.728
1999-04-30,1727.152
1999-05-31,1608.823
1999-06-30,1649.381
1999-07-30,1654.096
1999-08-31,1686.758
1999-09-30,1649.561
1999-10-29,1659.134
1999-11-30,1585.712
1999-12-31,1625.451
2000-01-31,1634.346
2000-02-29,1555.795
2000-03-31,1635.661
2000-04-28,1669.102
2000-05-31,1707.025
2000-06-30,1766.411
2000-07-31,1784.554
2000-08-31,1914.476
2000-09-29,1917.022
2000-10-31,1927.534
2000-11-30,1852.491
1974-12-31,100.0
1975-01-31,114.951
1975-02-28,117.597
1975-03-31,115.402
1975-04-30,116.581
1975-05-30,119.718
1975-06-30,121.374
1975-07-31,122.285
1975-08-29,123.992
1975-09-30,116.924
1975-10-31,109.886
1975-11-28,119.317
1975-12-31,116.067
1976-01-30,133.364
1976-02-27,143.26
1976-03-31,140.31
1976-04-30,144.465
1976-05-31,143.992
1976-06-30,145.043
1976-07-30,143.648
1976-08-31,143.951
1976-09-30,143.721
1976-10-29,138.161
1976-11-30,117.963
1976-12-31,134.576
1977-01-31,131.232
1977-02-28,132.635
1977-03-31,134.832
1977-04-29,133.681
1977-05-31,130.657
1977-06-30,136.703
1977-07-29,136.339
1977-08-31,131.406
1977-09-30,131.456
1977-10-31,123.48
1977-11-30,129.614
1977-12-30,137.306
1978-01-31,128.01
1978-02-28,127.921
1978-03-31,134.448
1978-04-28,139.698
1978-05-31,148.542
1978-06-30,144.798
1978-07-31,153.825
1978-08-31,158.969
1978-09-29,165.476
1978-10-31,160.724
1978-11-30,166.488
1978-12-29,171.496
1979-01-31,175.664
1979-02-28,179.535
1979-03-30,194.517
1979-04-30,200.257
1979-05-31,199.722
1979-06-29,204.947
1979-07-31,198.811
1979-08-31,215.724
1979-09-28,220.136
1979-10-31,195.442
1979-11-30,205.733
1979-12-31,222.459
1980-01-31,255.506
1980-02-29,264.376
1980-03-31,219.306
1980-04-30,226.692
1980-05-30,248.449
1980-06-30,252.925
1980-07-31,266.776
1980-08-29,281.05
1980-09-30,282.92
1980-10-31,284.342
1980-11-28,302.874
1980-12-31,289.681
1981-01-30,283.237
1981-02-27,282.982
1981-03-31,310.006
1981-04-30,297.388
1981-05-29,294.727
1981-06-30,290.197
1981-07-31,272.772
1981-08-31,272.003
1981-09-30,248.455
1981-10-30,235.949
1981-11-30,265.937
1981-12-31,259.181
1982-01-29,240.769
1982-02-26,225.773
1982-03-31,216.526
1982-04-30,214.493
1982-05-31,213.633
1982-06-30,188.148
1982-07-30,200.97
1982-08-31,236.762
1982-09-30,232.015
1982-10-29,260.053
1982-11-30,265.616
1982-12-31,293.969
1983-01-31,304.452
1983-02-28,329.423
1983-03-31,341.707
1983-04-29,375.997
1983-05-31,387.194
1983-06-30,392.111
1983-07-29,395.6
1983-08-31,392.148
1983-09-30,402.763
1983-10-31,387.307
1983-11-30,418.502
1983-12-30,425.048
1984-01-31,409.661
1984-02-29,394.453
1984-03-30,381.663
1984-04-30,368.972
1984-05-31,349.823
1984-06-29,344.239
1984-07-31,339.953
1984-08-31,381.147
1984-09-28,373.825
1984-10-31,374.357
1984-11-30,380.119
1984-12-31,395.938
1985-01-31,426.546
1985-02-28,408.19
1985-03-29,403.979
1985-04-30,408.729
1985-05-31,423.133
1985-06-28,429.82
1985-07-31,446.567
1985-08-30,438.164
1985-09-30,410.696
1985-10-31,422.252
1985-11-29,449.296
1985-12-31,460.351
1986-01-31,450.307
1986-02-28,456.906
1986-03-31,509.878
1986-04-30,507.098
1986-05-30,514.693
1986-06-30,499.909
1986-07-31,472.803
1986-08-29,490.487
1986-09-30,500.317
1986-10-31,501.08
1986-11-28,507.531
1986-12-31,521.901
1987-01-30,602.966
1987-02-27,629.034
1987-03-31,682.523
1987-04-30,666.169
1987-05-29,669.47
1987-06-30,692.853
1987-07-31,753.209
1987-08-31,735.54
1987-09-30,726.63
1987-10-30,580.471
1987-11-30,559.917
1987-12-31,606.906
1988-01-29,600.985
1988-02-29,642.972
1988-03-31,657.789
1988-04-29,666.042
1988-05-31,650.665
1988-06-30,712.213
1988-07-29,699.716
1988-08-31,670.207
1988-09-30,691.986
1988-10-31,716.966
1988-11-30,718.656
1988-12-30,741.762
1989-01-31,804.428
1989-02-28,768.539
1989-03-31,789.585
1989-04-28,826.042
1989-05-31,831.465
1989-06-30,843.074
1989-07-31,908.518
1989-08-31,919.356
1989-09-29,899.733
1989-10-31,903.389
1989-11-30,914.04
1989-12-29,936.617
1990-01-31,852.65
1990-02-28,850.498
1990-03-30,865.935
1990-04-30,794.701
1990-05-31,852.462
1990-06-29,848.663
1990-07-31,859.582
1990-08-31,804.079
1990-09-28,753.845
1990-10-31,756.974
1990-11-30,790.068
1990-12-31,822.832
1991-01-31,852.903
1991-02-28,919.334
1991-03-29,925.196
1991-04-30,925.352
1991-05-31,970.076
1991-06-28,936.307
1991-07-31,957.632
1991-08-30,981.331
1991-09-30,947.092
1991-10-31,979.87
1991-11-29,954.08
1991-12-31,942.281
1992-01-31,946.426
1992-02-28,937.559
1992-03-31,875.802
1992-04-30,874.532
1992-05-29,888.966
1992-06-30,894.949
1992-07-31,916.067
