Date,CANADA VALUE Standard (Large+Mid Cap)
2001-01-01,1612.531
2001-01-02,1578.281
2001-01-03,1586.765
2001-01-04,1564.378
2001-01-05,1551.95
2001-01-08,1558.438
2001-01-09,1543.488
2001-01-10,1547.407
2001-01-11,1557.187
2001-01-12,1542.783
2001-01-15,1550.719
2001-01-16,1555.748
2001-01-17,1540.565
2001-01-18,1523.519
2001-01-19,1530.781
2001-01-22,1553.884
2001-01-23,1574.034
2001-01-24,1568.632
2001-01-25,1576.514
2001-01-26,1579.931
2001-01-29,1591.241
2001-01-30,1598.853
2001-01-31,1593.217
2001-02-01,1616.287
2001-02-02,1633.848
2001-02-05,1640.423
2001-02-06,1631.093
2001-02-07,1622.02
2001-02-08,1613.696
2001-02-09,1615.941
2001-02-12,1612.2
2001-02-13,1610.374
2001-02-14,1601.607
2001-02-15,1600.15
2001-02-16,1590.044
2001-02-19,1588.087
2001-02-20,1570.337
2001-02-21,1530.205
2001-02-22,1550.255
2001-02-23,1535.191
2001-02-26,1571.42
2001-02-27,1568.69
2001-02-28,1569.313
2001-03-01,1570.601
2001-03-02,1562.28
2001-03-05,1593.867
2001-03-06,1591.675
2001-03-07,1603.653
2001-03-08,1605.105
2001-03-09,1588.661
2001-03-12,1566.315
2001-03-13,1577.617
2001-03-14,1555.777
2001-03-15,1547.325
2001-03-16,1509.658
2001-03-19,1533.045
2001-03-20,1527.976
2001-03-21,1498.229
2001-03-22,1474.399
2001-03-23,1480.353
2001-03-26,1510.123
2001-03-27,1518.567
2001-03-28,1497.017
2001-03-29,1481.467
2001-03-30,1504.267
2001-04-02,1514.473
2001-04-03,1488.128
2001-04-04,1501.125
2001-04-05,1508.089
2001-04-06,1504.578
2001-04-09,1530.361
2001-04-10,1570.79
2001-04-11,1557.642
2001-04-12,1546.198
2001-04-13,1546.198
2001-04-16,1549.631
2001-04-17,1562.295
2001-04-18,1580.161
2001-04-19,1591.456
2001-04-20,1599.111
2001-04-23,1590.883
2001-04-24,1577.072
2001-04-25,1593.307
2001-04-26,1605.491
2001-04-27,1611.694
2001-04-30,1591.281
2001-05-01,1594.028
2001-05-02,1588.218
2001-05-03,1580.719
2001-05-04,1585.394
2001-05-07,1584.176
2001-05-08,1580.167
2001-05-09,1607.055
2001-05-10,1630.751
2001-05-11,1610.202
2001-05-14,1615.223
2001-05-15,1633.798
2001-05-16,1664.14
2001-05-17,1681.469
2001-05-18,1697.326
2001-05-21,1699.542
2001-05-22,1679.712
2001-05-23,1674.707
2001-05-24,1671.844
2001-05-25,1667.828
2001-05-28,1669.164
2001-05-29,1674.027
2001-05-30,1661.936
2001-05-31,1673.801
2001-06-01,1709.478
2001-06-04,1715.818
2001-06-05,1712.207
2001-06-06,1712.929
2001-06-07,1707.991
2001-06-08,1710.502
2001-06-11,1715.064
2001-06-12,1709.749
2001-06-13,1715.582
2001-06-14,1696.401
2001-06-15,1671.549
2001-06-18,1659.763
2001-06-19,1662.017
2001-06-20,1657.435
2001-06-21,1662.073
2001-06-22,1662.56
2001-06-25,1660.979
2001-06-26,1651.983
