Date,CANADA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,114.882
1975-02-28,117.45
1975-03-31,115.176
1975-04-30,116.278
1975-05-30,119.333
1975-06-30,120.91
1975-07-31,121.742
1975-08-29,123.368
1975-09-30,116.255
1975-10-31,109.176
1975-11-28,118.474
1975-12-31,115.166
1976-01-30,132.259
1976-02-27,142.001
1976-03-31,138.999
1976-04-30,143.034
1976-05-31,142.481
1976-06-30,143.437
1976-07-30,141.973
1976-08-31,142.191
1976-09-30,141.879
1976-10-29,136.301
1976-11-30,116.286
1976-12-31,132.589
1977-01-31,129.21
1977-02-28,130.512
1977-03-31,132.592
1977-04-29,131.374
1977-05-31,128.316
1977-06-30,134.172
1977-07-29,133.726
1977-08-31,128.797
1977-09-30,128.756
1977-10-31,120.853
1977-11-30,126.772
1977-12-30,134.209
1978-01-31,125.027
1978-02-28,124.848
1978-03-31,131.134
1978-04-28,136.168
1978-05-31,144.7
1978-06-30,140.958
1978-07-31,149.659
1978-08-31,154.576
1978-09-29,160.816
1978-10-31,156.101
1978-11-30,161.606
1978-12-29,166.374
1979-01-31,170.32
1979-02-28,173.973
1979-03-30,188.384
1979-04-30,193.829
1979-05-31,193.197
1979-06-29,198.138
1979-07-31,192.08
1979-08-31,208.307
1979-09-28,212.44
1979-10-31,188.465
1979-11-30,198.262
1979-12-31,214.255
1980-01-31,245.956
1980-02-29,254.354
1980-03-31,210.826
1980-04-30,217.782
1980-05-30,238.542
1980-06-30,242.685
1980-07-31,255.831
1980-08-29,269.369
1980-09-30,271.003
1980-10-31,272.202
1980-11-28,289.789
1980-12-31,276.989
1981-01-30,270.655
1981-02-27,270.239
1981-03-31,295.887
1981-04-30,283.664
1981-05-29,280.95
1981-06-30,276.453
1981-07-31,259.673
1981-08-31,258.759
1981-09-30,236.152
1981-10-30,224.073
1981-11-30,252.379
1981-12-31,245.777
1982-01-29,227.982
1982-02-26,213.474
1982-03-31,204.42
1982-04-30,202.193
1982-05-31,201.095
1982-06-30,176.799
1982-07-30,188.586
1982-08-31,221.937
1982-09-30,217.213
1982-10-29,243.223
1982-11-30,248.168
1982-12-31,274.423
1983-01-31,283.962
1983-02-28,307.012
