Date,CANADA VALUE Standard (Large+Mid Cap)
2001-01-01,2027.626
2001-01-02,1984.56
2001-01-03,1995.228
2001-01-04,1967.085
2001-01-05,1951.457
2001-01-08,1959.615
2001-01-09,1940.817
2001-01-10,1945.745
2001-01-11,1958.047
2001-01-12,1939.935
2001-01-15,1949.914
2001-01-16,1956.241
2001-01-17,1937.149
2001-01-18,1915.715
2001-01-19,1924.847
2001-01-22,1954.119
2001-01-23,1979.48
2001-01-24,1972.688
2001-01-25,1982.6
2001-01-26,1986.897
2001-01-29,2001.129
2001-01-30,2010.75
2001-01-31,2003.825
2001-02-01,2032.84
2001-02-02,2054.926
2001-02-05,2063.196
2001-02-06,2051.462
2001-02-07,2040.112
2001-02-08,2029.643
2001-02-09,2032.467
2001-02-12,2027.76
2001-02-13,2025.464
2001-02-14,2014.437
2001-02-15,2012.605
2001-02-16,1999.956
2001-02-19,1997.495
2001-02-20,1975.349
2001-02-21,1925.007
2001-02-22,1950.286
2001-02-23,1931.334
2001-02-26,1976.911
2001-02-27,1973.531
2001-02-28,1974.423
2001-03-01,1976.109
2001-03-02,1965.64
2001-03-05,2005.382
2001-03-06,2002.624
2001-03-07,2017.809
2001-03-08,2019.637
2001-03-09,1998.978
2001-03-12,1970.879
2001-03-13,1985.1
2001-03-14,1958.089
2001-03-15,1947.47
2001-03-16,1900.063
2001-03-19,1929.497
2001-03-20,1923.183
2001-03-21,1885.742
2001-03-22,1855.747
2001-03-23,1863.312
2001-03-26,1901.014
2001-03-27,1911.643
2001-03-28,1884.698
2001-03-29,1865.122
2001-03-30,1894.074
2001-04-02,1906.925
2001-04-03,1873.753
2001-04-04,1890.128
2001-04-05,1898.896
2001-04-06,1894.476
2001-04-09,1926.94
2001-04-10,1977.846
2001-04-11,1961.297
2001-04-12,1946.888
2001-04-13,1946.888
2001-04-16,1951.21
2001-04-17,1967.156
2001-04-18,1989.684
2001-04-19,2003.907
2001-04-20,2013.879
2001-04-23,2003.516
2001-04-24,1986.123
2001-04-25,2006.568
2001-04-26,2021.925
2001-04-27,2029.81
2001-04-30,2004.102
2001-05-01,2007.562
2001-05-02,2000.488
2001-05-03,1991.042
2001-05-04,1996.931
2001-05-07,1995.396
2001-05-08,1990.346
2001-05-09,2024.214
