Date,USA MID VALUE Mid Cap
2001-01-01,420.175
2001-01-02,409.778
2001-01-03,420.147
2001-01-04,415.921
2001-01-05,409.573
2001-01-08,409.519
2001-01-09,407.877
2001-01-10,412.919
2001-01-11,413.28
2001-01-12,411.659
2001-01-15,411.659
2001-01-16,414.252
2001-01-17,415.704
2001-01-18,415.443
2001-01-19,411.257
2001-01-22,414.716
2001-01-23,421.068
2001-01-24,422.178
2001-01-25,423.038
2001-01-26,422.084
2001-01-29,427.433
2001-01-30,430.375
2001-01-31,429.455
2001-02-01,430.077
2001-02-02,426.356
2001-02-05,428.281
2001-02-06,428.867
2001-02-07,428.7
2001-02-08,428.71
2001-02-09,427.721
2001-02-12,431.707
2001-02-13,431.671
2001-02-14,431.177
2001-02-15,433.007
2001-02-16,429.118
2001-02-19,429.118
2001-02-20,424.829
2001-02-21,420.203
2001-02-22,417.723
2001-02-23,415.686
2001-02-26,424.228
2001-02-27,422.053
2001-02-28,419.67
2001-03-01,419.178
2001-03-02,424.163
2001-03-05,426.542
2001-03-06,429.539
2001-03-07,432.376
2001-03-08,434.247
2001-03-09,428.374
2001-03-12,416.851
2001-03-13,417.531
2001-03-14,408.317
2001-03-15,410.691
2001-03-16,405.144
2001-03-19,410.77
2001-03-20,406.469
2001-03-21,399.16
2001-03-22,392.312
2001-03-23,399.507
2001-03-26,405.73
2001-03-27,409.847
2001-03-28,405.081
2001-03-29,406.696
2001-03-30,411.062
2001-04-02,407.311
2001-04-03,396.182
2001-04-04,396.594
2001-04-05,408.257
2001-04-06,400.203
2001-04-09,404.98
2001-04-10,413.816
2001-04-11,411.182
2001-04-12,414.725
2001-04-13,414.725
2001-04-16,413.607
2001-04-17,416.999
2001-04-18,428.447
2001-04-19,429.372
2001-04-20,426.133
2001-04-23,423.403
2001-04-24,422.733
2001-04-25,427.57
2001-04-26,430.506
2001-04-27,435.346
2001-04-30,437.262
2001-05-01,438.736
2001-05-02,438.287
2001-05-03,433.915
2001-05-04,438.065
2001-05-07,437.084
2001-05-08,437.524
2001-05-09,437.78
2001-05-10,440.083
2001-05-11,437.956
2001-05-14,438.823
2001-05-15,441.765
2001-05-16,451.223
2001-05-17,454.77
2001-05-18,455.65
2001-05-21,461.729
2001-05-22,461.395
2001-05-23,455.69
2001-05-24,455.548
2001-05-25,453.501
2001-05-28,453.501
2001-05-29,450.881
2001-05-30,445.717
2001-05-31,450.928
2001-06-01,451.679
2001-06-04,453.188
2001-06-05,456.431
2001-06-06,453.125
2001-06-07,453.555
2001-06-08,452.242
2001-06-11,449.585
2001-06-12,449.248
2001-06-13,447.797
2001-06-14,439.5
2001-06-15,440.417
2001-06-18,439.337
2001-06-19,439.755
2001-06-20,442.003
2001-06-21,443.484
2001-06-22,440.709
2001-06-25,437.952
2001-06-26,439.351
2001-06-27,441.53
2001-06-28,445.157
2001-06-29,450.336
2001-07-02,451.888
2001-07-03,452.108
2001-07-04,452.108
2001-07-05,450.985
2001-07-06,443.836
2001-07-09,444.089
2001-07-10,440.575
2001-07-11,440.151
2001-07-12,446.863
2001-07-13,448.844
2001-07-16,445.916
2001-07-17,448.4
2001-07-18,447.617
2001-07-19,447.718
2001-07-20,444.499
2001-07-23,440.559
2001-07-24,432.421
2001-07-25,437.847
2001-07-26,442.829
2001-07-27,443.897
2001-07-30,445.252
2001-07-31,448.69
2001-08-01,450.319
2001-08-02,452.208
2001-08-03,451.726
2001-08-06,447.297
2001-08-07,447.801
2001-08-08,443.51
2001-08-09,442.538
2001-08-10,445.762
2001-08-13,446.938
2001-08-14,448.304
2001-08-15,447.877
2001-08-16,448.997
2001-08-17,445.198
2001-08-20,446.459
2001-08-21,444.958
2001-08-22,445.658
2001-08-23,445.628
2001-08-24,447.229
2001-08-27,445.41
2001-08-28,442.952
2001-08-29,440.794
2001-08-30,436.383
2001-08-31,438.914
