Date,USA MID VALUE Mid Cap
2001-01-01,403.1
2001-01-02,393.126
2001-01-03,403.079
2001-01-04,399.024
2001-01-05,392.936
2001-01-08,392.89
2001-01-09,391.314
2001-01-10,396.153
2001-01-11,396.503
2001-01-12,394.949
2001-01-15,394.949
2001-01-16,397.436
2001-01-17,398.833
2001-01-18,398.593
2001-01-19,394.576
2001-01-22,397.896
2001-01-23,403.989
2001-01-24,405.066
2001-01-25,405.902
2001-01-26,404.988
2001-01-29,410.133
2001-01-30,412.965
2001-01-31,412.102
2001-02-01,412.703
2001-02-02,409.136
2001-02-05,411.0
2001-02-06,411.563
2001-02-07,411.41
2001-02-08,411.421
2001-02-09,410.474
2001-02-12,414.309
2001-02-13,414.284
2001-02-14,413.829
2001-02-15,415.589
2001-02-16,411.856
2001-02-19,411.856
2001-02-20,407.74
2001-02-21,403.307
2001-02-22,400.942
2001-02-23,398.988
2001-02-26,407.189
2001-02-27,405.116
2001-02-28,402.84
2001-03-01,402.377
2001-03-02,407.163
2001-03-05,409.449
2001-03-06,412.336
2001-03-07,415.089
2001-03-08,416.891
2001-03-09,411.252
2001-03-12,400.19
2001-03-13,400.861
2001-03-14,392.021
2001-03-15,394.303
2001-03-16,388.994
2001-03-19,394.396
2001-03-20,390.275
2001-03-21,383.259
2001-03-22,376.687
2001-03-23,383.596
2001-03-26,389.571
2001-03-27,393.524
2001-03-28,388.961
2001-03-29,390.513
2001-03-30,394.705
2001-04-02,391.104
2001-04-03,380.417
2001-04-04,380.817
2001-04-05,392.016
2001-04-06,384.302
2001-04-09,388.89
2001-04-10,397.378
2001-04-11,394.854
2001-04-12,398.256
2001-04-13,398.256
2001-04-16,397.183
2001-04-17,400.44
2001-04-18,411.434
2001-04-19,412.325
2001-04-20,409.215
2001-04-23,406.593
2001-04-24,405.949
2001-04-25,410.607
2001-04-26,413.444
2001-04-27,418.098
2001-04-30,419.94
2001-05-01,421.356
2001-05-02,420.933
2001-05-03,416.759
