Date,USA MID VALUE Mid Cap
1994-05-31,168.389
1994-06-30,165.069
1994-07-29,171.544
1994-08-31,176.913
1994-09-30,171.659
1994-10-31,170.223
1994-11-30,162.154
1994-12-30,164.544
1995-01-31,169.595
1995-02-28,178.338
1995-03-31,181.342
1995-04-28,185.423
1995-05-31,191.69
1995-06-30,196.655
1995-07-31,202.77
1995-08-31,206.659
1995-09-29,210.421
1995-10-31,207.535
1995-11-30,218.685
1995-12-29,220.825
1996-01-31,223.628
1996-02-29,225.757
1996-03-29,230.808
1996-04-30,233.095
1996-05-31,235.217
1996-06-28,235.421
1996-07-31,225.568
1996-08-30,235.061
1996-09-30,243.77
1996-10-31,248.54
1996-11-29,262.933
1996-12-31,265.759
1997-01-31,272.42
1997-02-28,277.849
1997-03-31,268.247
1997-04-30,275.269
1997-05-30,292.632
1997-06-30,305.192
1997-07-31,326.924
1997-08-29,324.237
1997-09-30,344.036
1997-10-31,333.725
1997-11-28,344.816
1997-12-31,361.428
1998-01-30,353.811
1998-02-27,377.166
1998-03-31,396.562
1998-04-30,395.262
1998-05-29,384.44
1998-06-30,380.257
1998-07-31,363.413
1998-08-31,304.413
1998-09-30,318.737
1998-10-30,339.437
1998-11-30,350.428
1998-12-31,356.519
1999-01-29,344.156
1999-02-26,334.387
1999-03-31,340.098
1999-04-30,375.841
1999-05-31,376.855
1999-06-30,384.812
1999-07-30,374.37
1999-08-31,360.737
1999-09-30,343.649
1999-10-29,353.337
1999-11-30,352.665
1999-12-31,363.559
2000-01-31,344.529
2000-02-29,335.006
2000-03-31,365.683
2000-04-28,364.985
2000-05-31,366.474
2000-06-30,354.339
2000-07-31,361.994
2000-08-31,388.036
2000-09-29,384.956
2000-10-31,383.775
2000-11-30,370.269
2000-12-29,403.1
2001-01-31,412.102
2001-02-28,402.84
2001-03-30,394.705
2001-04-30,419.94
2001-05-31,433.224
2001-06-29,432.787
2001-07-31,431.295
2001-08-31,422.062
2001-09-28,379.483
2001-10-31,381.476
2001-11-30,409.043
2001-12-31,430.317
2002-01-31,434.024
2002-02-28,440.932
2002-03-29,464.975
2002-04-30,465.881
2002-05-31,462.341
2002-06-28,433.303
2002-07-31,390.625
2002-08-30,396.746
2002-09-30,354.044
2002-10-31,368.241
2002-11-29,392.008
2002-12-31,384.13
2003-01-31,375.027
2003-02-28,366.596
2003-03-31,368.363
2003-04-30,394.083
2003-05-30,428.325
2003-06-30,427.559
2003-07-31,438.128
2003-08-29,450.439
2003-09-30,448.852
2003-10-31,478.278
2003-11-28,487.36
2003-12-31,514.651
2004-01-30,523.478
2004-02-27,542.174
2004-03-31,545.787
2004-04-30,530.103
2004-05-31,542.807
2004-06-30,562.555
2004-07-30,554.115
2004-08-31,561.341
2004-09-30,579.544
2004-10-29,592.307
2004-11-30,629.612
2004-12-31,654.731
2005-01-31,637.323
2005-02-28,664.078
2005-03-31,663.058
2005-04-29,645.238
2005-05-31,668.547
2005-06-30,686.493
2005-07-29,722.819
2005-08-31,716.624
2005-09-30,730.292
2005-10-31,710.119
2005-11-30,741.925
2005-12-30,750.252
2006-01-31,777.16
2006-02-28,781.212
2006-03-31,795.417
2006-04-28,806.642
2006-05-31,788.683
2006-06-30,798.89
2006-07-31,803.788
2006-08-31,819.462
2006-09-29,831.235
2006-10-31,864.959
2006-11-30,897.166
2006-12-29,903.946
2007-01-31,938.038
2007-02-28,937.03
2007-03-30,941.716
2007-04-30,968.993
2007-05-31,1000.0
2007-06-29,967.771
2007-07-31,903.38
2007-08-31,907.789
2007-09-28,921.278
2007-10-31,913.46
2007-11-30,865.439
2007-12-31,843.66
2008-01-31,811.829
2008-02-29,773.703
2008-03-31,774.107
2008-04-30,803.803
2008-05-30,831.072
2008-06-30,740.164
2008-07-31,737.861
2008-08-29,761.856
2008-09-30,713.757
2008-10-31,547.328
2008-11-28,503.736
2008-12-31,534.297
2009-01-30,481.095
2009-02-27,415.95
2009-03-31,449.056
2009-04-30,523.758
2009-05-29,545.235
2009-06-30,539.19
2009-07-31,598.435
2009-08-31,643.39
2009-09-30,679.528
2009-10-30,648.115
2009-11-30,681.281
2009-12-31,713.309
2010-01-29,694.767
2010-02-26,726.941
2010-03-31,779.678
2010-04-30,807.972
2010-05-31,748.293
2010-06-30,702.359
2010-07-30,751.106
2010-08-31,713.99
2010-09-30,778.705
2010-10-29,807.483
2010-11-30,808.153
2010-12-31,873.8
2011-01-31,894.193
2011-02-28,928.741
2011-03-31,934.818
2011-04-29,964.249
2011-05-31,954.977
2011-06-30,926.572
2011-07-29,885.672
2011-08-31,834.956
2011-09-30,762.931
2011-10-31,858.081
2011-11-30,856.854
2011-12-30,864.267
2012-01-31,909.376
2012-02-29,946.532
2012-03-30,965.966
2012-04-30,958.396
2012-05-31,885.32
2012-06-29,917.154
2012-07-31,929.026
2012-08-31,953.517
2012-09-28,976.34
2012-10-31,977.574
2012-11-30,984.645
2012-12-31,1013.572
2013-01-31,1091.542
2013-02-28,1110.12
2013-03-29,1165.106
2013-04-30,1192.987
2013-05-31,1202.795
2013-06-28,1187.65
2013-07-31,1257.227
2013-08-30,1213.584
2013-09-30,1260.444
2013-10-31,1320.783
2013-11-29,1335.745
2013-12-31,1375.547
2014-01-31,1333.569
2014-02-28,1406.502
2014-03-31,1432.914
2014-04-30,1438.883
2014-05-30,1463.102
2014-06-30,1506.576
2014-07-31,1457.448
2014-08-29,1519.984
2014-09-30,1469.829
2014-10-31,1514.851
2014-11-28,1541.276
2014-12-31,1557.45
2015-01-30,1527.543
2015-02-27,1598.279
2015-03-31,1592.24
2015-04-30,1587.327
2015-05-29,1612.931
2015-06-30,1564.664
2015-07-31,1566.342
2015-08-31,1481.453
2015-09-30,1445.454
2015-10-30,1530.236
2015-11-30,1542.027
2015-12-31,1493.551
2016-01-29,1407.725
2016-02-29,1425.561
2016-03-31,1548.406
2016-04-29,1579.867
2016-05-31,1599.45
2016-06-30,1613.939
2016-07-29,1682.411
2016-08-31,1687.316
2016-09-30,1697.866
2016-10-31,1662.877
2016-11-30,1777.156
2016-12-30,1805.847
2017-01-31,1849.869
2017-02-28,1906.99
2017-03-31,1892.934
2017-04-28,1896.374
2017-05-31,1900.523
2017-06-30,1935.67
2017-07-31,1969.024
2017-08-31,1940.525
2017-09-29,1995.702
2017-10-31,2010.53
2017-11-30,2093.741
2017-12-29,2113.631
2018-01-31,2173.929
2018-02-28,2076.142
2018-03-30,2080.646
2018-04-30,2089.236
2018-05-31,2083.787
2018-06-29,2105.852
2018-07-31,2157.914
2018-08-31,2177.458
2018-09-28,2159.556
2018-10-31,2037.86
2018-11-30,2073.952
2018-12-31,1873.673
2019-01-31,2062.225
2019-02-28,2124.425
2019-03-29,2123.81
2019-04-30,2203.151
2019-05-31,2060.862
2019-06-28,2188.711
2019-07-31,2221.686
2019-08-30,2144.452
2019-09-30,2250.786
2019-10-31,2263.658
2019-11-29,2315.89
2019-12-31,2373.216
2020-01-31,2327.249
2020-02-28,2084.407
2020-03-31,1572.436
2020-04-30,1779.496
2020-05-29,1851.526
2020-06-30,1880.699
2020-07-31,1977.507
2020-08-31,2043.858
2020-09-30,1997.631
2020-10-30,2007.273
2020-11-30,2298.086
2020-12-31,2398.066
2021-01-29,2399.67
2021-02-26,2565.27
2021-03-31,2713.629
2021-04-30,2862.063
2021-05-31,2929.731
2021-06-30,2889.192
2021-07-30,2918.425
2021-08-31,3000.028
2021-09-30,2884.899
2021-10-29,3037.248
2021-11-30,2956.416
2021-12-31,3140.035
2022-01-31,3008.841
2022-02-28,2992.253
2022-03-31,3054.52
2022-04-29,2879.783
2022-05-31,2907.965
2022-06-30,2585.167
2022-07-29,2800.682
2022-08-31,2729.85
2022-09-30,2451.651
2022-10-31,2689.163
2022-11-30,2847.667
2022-12-30,2704.228
2023-01-31,2914.778
2023-02-28,2810.201
2023-03-31,2682.069
2023-04-28,2686.522
2023-05-31,2565.681
2023-06-30,2780.911
2023-07-31,2893.676
2023-08-31,2794.686
2023-09-29,2656.76
2023-10-31,2539.884
2023-11-30,2778.24
2023-12-29,2997.939
2024-01-31,2947.594
2024-02-29,3074.407
2024-03-29,3246.361
2024-04-30,3095.934
2024-05-31,3186.12
2024-06-28,3126.382
2024-07-31,3317.536
2024-08-30,3404.131
2024-09-30,3479.439
2024-10-31,3431.058
2024-11-29,3674.21
2024-12-31,3400.489
2025-01-31,3522.004
2025-02-28,3451.551
2025-03-31,3329.293
2025-04-30,3237.325
2025-05-30,3359.565
2025-06-30,3459.221
2025-07-31,3516.216
2025-08-29,3624.208
2025-09-30,3647.097
2025-10-31,3609.611
