Date,FRANCE LARGE GROWTH Large Cap
1994-05-31,225.404
1994-06-30,223.014
1994-07-29,243.918
1994-08-31,249.435
1994-09-30,239.455
1994-10-31,243.69
1994-11-30,238.367
1994-12-30,231.021
1995-01-31,227.416
1995-02-28,234.176
1995-03-31,265.501
1995-04-28,269.53
1995-05-31,267.545
1995-06-30,267.938
1995-07-31,281.755
1995-08-31,273.46
1995-09-29,277.506
1995-10-31,276.426
1995-11-30,269.566
1995-12-29,283.613
1996-01-31,304.623
1996-02-29,312.62
1996-03-29,333.883
1996-04-30,348.657
1996-05-31,344.511
1996-06-28,356.083
1996-07-31,344.213
1996-08-30,335.272
1996-09-30,356.88
1996-10-31,367.931
1996-11-29,393.36
1996-12-31,405.651
1997-01-31,402.36
1997-02-28,402.075
1997-03-31,409.755
1997-04-30,407.287
1997-05-30,401.097
1997-06-30,445.731
1997-07-31,445.592
1997-08-29,404.519
1997-09-30,437.882
1997-10-31,395.728
1997-11-28,410.758
1997-12-31,417.896
1998-01-30,434.014
1998-02-27,476.104
1998-03-31,508.5
1998-04-30,516.796
1998-05-29,543.602
1998-06-30,555.708
1998-07-31,557.581
1998-08-31,502.241
1998-09-30,468.354
1998-10-30,523.806
1998-11-30,555.98
1998-12-31,585.367
1999-01-29,604.197
1999-02-26,559.017
1999-03-31,575.501
1999-04-30,588.606
1999-05-31,581.178
1999-06-30,615.382
1999-07-30,617.414
1999-08-31,645.416
1999-09-30,644.483
1999-10-29,689.118
1999-11-30,710.567
1999-12-31,813.773
2000-01-31,749.63
2000-02-29,822.669
2000-03-31,812.561
2000-04-28,787.035
2000-05-31,799.328
2000-06-30,829.796
2000-07-31,811.366
2000-08-31,792.506
2000-09-29,725.63
2000-10-31,696.358
2000-11-30,628.711
2000-12-29,675.758
2001-01-31,683.082
2001-02-28,573.656
2001-03-30,529.96
2001-04-30,591.875
2001-05-31,533.269
2001-06-29,505.637
2001-07-31,508.063
2001-08-31,485.025
2001-09-28,435.516
2001-10-31,460.358
2001-11-30,468.062
2001-12-31,480.502
2002-01-31,449.534
2002-02-28,446.108
2002-03-29,470.733
2002-04-30,465.739
2002-05-31,463.178
2002-06-28,467.708
2002-07-31,413.403
2002-08-30,404.214
2002-09-30,364.748
2002-10-31,403.739
2002-11-29,407.444
2002-12-31,408.788
2003-01-31,382.119
2003-02-28,367.857
2003-03-31,359.962
2003-04-30,402.985
2003-05-30,433.511
2003-06-30,435.021
2003-07-31,427.149
2003-08-29,434.53
2003-09-30,444.863
2003-10-31,466.813
2003-11-28,490.101
2003-12-31,532.763
2004-01-30,540.241
2004-02-27,550.814
2004-03-31,526.602
2004-04-30,517.091
2004-05-31,536.97
2004-06-30,543.321
2004-07-30,525.011
2004-08-31,521.265
2004-09-30,532.937
2004-10-29,555.815
2004-11-30,591.333
2004-12-31,618.402
2005-01-31,597.241
2005-02-28,616.941
2005-03-31,619.95
2005-04-29,601.845
2005-05-31,616.424
2005-06-30,620.83
2005-07-29,657.451
2005-08-31,661.288
2005-09-30,675.698
2005-10-31,639.729
2005-11-30,641.857
2005-12-30,666.443
2006-01-31,705.085
2006-02-28,686.427
2006-03-31,738.228
2006-04-28,760.492
2006-05-31,747.987
2006-06-30,754.112
2006-07-31,760.896
2006-08-31,782.789
2006-09-29,786.31
2006-10-31,785.299
2006-11-30,824.427
2006-12-29,852.587
2007-01-31,851.052
2007-02-28,874.365
2007-03-30,919.295
2007-04-30,978.271
2007-05-31,1000.0
2007-06-29,999.223
2007-07-31,964.236
2007-08-31,967.119
2007-09-28,1025.953
2007-10-31,1086.275
2007-11-30,1075.13
2007-12-31,1070.413
2008-01-31,929.785
2008-02-29,967.382
2008-03-31,1005.582
2008-04-30,1035.896
2008-05-30,1087.213
2008-06-30,966.565
2008-07-31,936.784
2008-08-29,888.853
2008-09-30,755.033
2008-10-31,565.81
2008-11-28,546.97
2008-12-31,597.87
2009-01-30,506.873
2009-02-27,476.237
2009-03-31,503.292
2009-04-30,544.449
2009-05-29,608.93
2009-06-30,586.171
2009-07-31,641.579
2009-08-31,671.998
2009-09-30,701.53
2009-10-30,697.714
2009-11-30,727.962
2009-12-31,733.831
2010-01-29,685.484
2010-02-26,672.177
2010-03-31,712.87
2010-04-30,682.336
2010-05-31,596.392
2010-06-30,604.152
2010-07-30,678.972
2010-08-31,645.96
2010-09-30,747.097
2010-10-29,778.861
2010-11-30,698.482
2010-12-31,742.145
2011-01-31,767.849
2011-02-28,790.12
2011-03-31,792.781
2011-04-29,873.001
2011-05-31,846.845
2011-06-30,857.635
2011-07-29,808.351
2011-08-31,742.057
2011-09-30,629.557
2011-10-31,721.701
2011-11-30,684.79
2011-12-30,653.568
2012-01-31,701.93
2012-02-29,752.933
2012-03-30,767.177
2012-04-30,747.597
2012-05-31,682.892
2012-06-29,716.037
2012-07-31,715.45
2012-08-31,751.226
2012-09-28,737.166
2012-10-31,757.316
2012-11-30,803.337
2012-12-31,833.559
2013-01-31,879.597
2013-02-28,872.114
2013-03-29,870.854
