Date,ITALY MID VALUE Mid Cap
1994-05-31,198.041
1994-06-30,184.931
1994-07-29,185.259
1994-08-31,176.632
1994-09-30,173.958
1994-10-31,163.844
1994-11-30,161.914
1994-12-30,159.473
1995-01-31,171.256
1995-02-28,159.801
1995-03-31,144.857
1995-04-28,151.635
1995-05-31,154.381
1995-06-30,144.714
1995-07-31,155.035
1995-08-31,151.168
1995-09-29,143.159
1995-10-31,136.506
1995-11-30,125.789
1995-12-29,134.374
1996-01-31,139.438
1996-02-29,140.956
1996-03-29,132.128
1996-04-30,146.09
1996-05-31,151.217
1996-06-28,146.018
1996-07-31,136.612
1996-08-30,133.603
1996-09-30,133.365
1996-10-31,126.888
1996-11-29,141.139
1996-12-31,142.362
1997-01-31,158.64
1997-02-28,145.856
1997-03-31,147.133
1997-04-30,141.713
1997-05-30,142.097
1997-06-30,151.641
1997-07-31,164.489
1997-08-29,163.933
1997-09-30,182.356
1997-10-31,182.976
1997-11-28,173.871
1997-12-31,196.911
1998-01-30,238.975
1998-02-27,255.228
1998-03-31,309.829
1998-04-30,293.789
1998-05-29,300.65
1998-06-30,271.38
1998-07-31,289.49
1998-08-31,251.075
1998-09-30,238.454
1998-10-30,250.761
1998-11-30,280.718
1998-12-31,295.682
1999-01-29,286.64
1999-02-26,275.086
1999-03-31,299.3
1999-04-30,300.736
1999-05-31,288.73
1999-06-30,279.007
1999-07-30,281.275
1999-08-31,282.617
1999-09-30,295.942
1999-10-29,286.118
1999-11-30,292.597
1999-12-31,350.566
2000-01-31,333.013
2000-02-29,423.299
2000-03-31,382.361
2000-04-28,361.136
2000-05-31,361.553
2000-06-30,379.558
2000-07-31,369.358
2000-08-31,379.166
2000-09-29,365.007
2000-10-31,355.741
2000-11-30,366.68
2000-12-29,385.746
2001-01-31,393.505
2001-02-28,370.175
2001-03-30,346.658
2001-04-30,357.074
2001-05-31,345.211
2001-06-29,332.35
2001-07-31,321.03
2001-08-31,326.584
2001-09-28,270.275
2001-10-31,271.037
2001-11-30,289.739
2001-12-31,281.853
2002-01-31,290.646
2002-02-28,282.674
2002-03-29,299.836
2002-04-30,309.452
2002-05-31,301.529
2002-06-28,290.69
2002-07-31,268.213
2002-08-30,274.965
2002-09-30,227.502
2002-10-31,252.103
2002-11-29,282.618
2002-12-31,262.855
2003-01-31,269.24
2003-02-28,279.523
2003-03-31,265.243
2003-04-30,310.097
2003-05-30,337.218
2003-06-30,325.615
2003-07-31,327.725
2003-08-29,326.129
2003-09-30,343.717
2003-10-31,359.383
2003-11-28,387.645
2003-12-31,396.878
2004-01-30,414.605
2004-02-27,419.471
2004-03-31,390.499
2004-04-30,393.368
2004-05-31,391.914
2004-06-30,416.558
2004-07-30,405.501
2004-08-31,402.979
2004-09-30,425.602
2004-10-29,439.488
2004-11-30,469.833
2004-12-31,516.212
2005-01-31,521.905
2005-02-28,534.869
2005-03-31,536.554
2005-04-29,527.668
2005-05-31,533.043
2005-06-30,526.735
2005-07-29,554.346
2005-08-31,552.84
2005-09-30,579.986
2005-10-31,544.448
2005-11-30,549.805
2005-12-30,560.547
2006-01-31,604.093
2006-02-28,635.175
2006-03-31,662.874
2006-04-28,701.613
2006-05-31,749.426
2006-06-30,744.395
2006-07-31,767.061
2006-08-31,814.096
2006-09-29,809.531
2006-10-31,838.759
2006-11-30,861.958
2006-12-29,889.54
2007-01-31,928.488
2007-02-28,930.127
2007-03-30,960.98
2007-04-30,1028.876
2007-05-31,1000.0
2007-06-29,963.26
2007-07-31,920.796
2007-08-31,913.636
2007-09-28,934.975
2007-10-31,985.066
2007-11-30,946.077
2007-12-31,925.429
2008-01-31,862.832
2008-02-29,883.265
2008-03-31,870.455
2008-04-30,885.93
2008-05-30,883.917
2008-06-30,762.423
2008-07-31,767.085
2008-08-29,748.878
2008-09-30,643.684
2008-10-31,502.069
2008-11-28,483.094
2008-12-31,510.453
2009-01-30,461.302
2009-02-27,411.612
2009-03-31,440.283
2009-04-30,526.128
2009-05-29,584.685
2009-06-30,549.423
2009-07-31,584.097
2009-08-31,643.559
2009-09-30,690.322
2009-10-30,664.996
2009-11-30,683.322
2009-12-31,689.98
2010-01-29,636.23
2010-02-26,610.016
2010-03-31,664.139
2010-04-30,621.575
2010-05-31,521.911
2010-06-30,509.969
2010-07-30,577.639
2010-08-31,535.87
2010-09-30,586.219
2010-10-29,609.229
2010-11-30,506.296
2010-12-31,537.617
2011-01-31,594.773
2011-02-28,587.574
2011-03-31,573.175
2011-04-29,615.434
2011-05-31,580.829
2011-06-30,555.274
2011-07-29,484.663
2011-08-31,397.648
2011-09-30,367.696
2011-10-31,388.196
2011-11-30,340.66
2011-12-30,325.56
2012-01-31,368.351
2012-02-29,398.451
2012-03-30,384.88
2012-04-30,327.871
2012-05-31,270.104
2012-06-29,309.757
2012-07-31,282.105
2012-08-31,327.346
2012-09-28,343.659
2012-10-31,348.186
2012-11-30,344.549
2012-12-31,376.82
2013-01-31,429.724
2013-02-28,380.874
2013-03-29,347.547
2013-04-30,392.889
2013-05-31,413.125
2013-06-28,369.452
2013-07-31,409.359
2013-08-30,408.837
2013-09-30,438.278
2013-10-31,511.212
2013-11-29,498.698
2013-12-31,510.403
2014-01-31,532.476
2014-02-28,574.354
2014-03-31,612.61
2014-04-30,605.755
2014-05-30,572.664
2014-06-30,562.922
2014-07-31,537.392
2014-08-29,536.845
2014-09-30,517.687
2014-10-31,508.059
2014-11-28,510.889
2014-12-31,465.895
2015-01-30,466.522
2015-02-27,508.664
2015-03-31,502.686
2015-04-30,517.184
2015-05-29,532.902
2015-06-30,513.708
2015-07-31,542.007
2015-08-31,523.879
2015-09-30,495.982
2015-10-30,526.588
2015-11-30,510.524
2015-12-31,504.888
2016-01-29,444.847
2016-02-29,431.686
2016-03-31,452.333
