Date,ITALY MID VALUE Mid Cap
2001-01-01,385.746
2001-01-02,385.925
2001-01-03,377.793
2001-01-04,380.963
2001-01-05,382.633
2001-01-08,381.89
2001-01-09,378.927
2001-01-10,379.505
2001-01-11,385.45
2001-01-12,387.173
2001-01-15,387.435
2001-01-16,385.377
2001-01-17,384.658
2001-01-18,387.938
2001-01-19,383.529
2001-01-22,385.577
2001-01-23,386.784
2001-01-24,381.721
2001-01-25,382.482
2001-01-26,384.943
2001-01-29,384.957
2001-01-30,389.414
2001-01-31,393.505
2001-02-01,395.31
2001-02-02,389.918
2001-02-05,389.936
2001-02-06,388.252
2001-02-07,386.47
2001-02-08,380.847
2001-02-09,381.292
2001-02-12,385.612
2001-02-13,381.85
2001-02-14,377.792
2001-02-15,371.292
2001-02-16,373.434
2001-02-19,375.573
2001-02-20,370.06
2001-02-21,368.279
2001-02-22,366.339
2001-02-23,363.689
2001-02-26,365.391
2001-02-27,368.984
2001-02-28,370.175
2001-03-01,372.009
2001-03-02,370.799
2001-03-05,365.18
2001-03-06,370.174
2001-03-07,370.04
2001-03-08,372.967
2001-03-09,369.919
2001-03-12,362.946
2001-03-13,355.606
2001-03-14,349.534
2001-03-15,347.429
2001-03-16,340.271
2001-03-19,339.955
2001-03-20,345.364
2001-03-21,340.413
2001-03-22,324.442
2001-03-23,331.732
2001-03-26,338.821
2001-03-27,346.327
2001-03-28,342.323
2001-03-29,343.535
2001-03-30,346.658
2001-04-02,344.736
2001-04-03,341.21
2001-04-04,349.446
2001-04-05,352.029
2001-04-06,353.09
2001-04-09,355.767
2001-04-10,354.239
2001-04-11,351.956
2001-04-12,357.217
2001-04-13,357.217
2001-04-16,353.559
2001-04-17,353.142
2001-04-18,350.596
2001-04-19,354.024
2001-04-20,354.356
2001-04-23,353.206
2001-04-24,352.698
2001-04-25,353.91
2001-04-26,356.938
2001-04-27,355.913
2001-04-30,357.074
2001-05-01,358.967
2001-05-02,357.029
2001-05-03,354.989
2001-05-04,354.513
2001-05-07,357.287
2001-05-08,355.888
2001-05-09,353.804
2001-05-10,355.097
2001-05-11,355.101
2001-05-14,354.537
2001-05-15,355.548
2001-05-16,355.963
2001-05-17,359.087
2001-05-18,360.752
2001-05-21,357.873
2001-05-22,356.813
2001-05-23,353.58
2001-05-24,352.943
2001-05-25,350.119
2001-05-28,352.888
2001-05-29,348.321
2001-05-30,345.62
2001-05-31,345.211
2001-06-01,347.211
2001-06-04,346.331
2001-06-05,346.448
2001-06-06,344.964
2001-06-07,347.129
2001-06-08,348.954
2001-06-11,344.112
2001-06-12,344.485
2001-06-13,345.88
2001-06-14,343.328
2001-06-15,341.224
2001-06-18,341.108
2001-06-19,338.828
2001-06-20,332.926
2001-06-21,332.205
2001-06-22,331.897
2001-06-25,335.914
2001-06-26,331.887
2001-06-27,331.838
2001-06-28,328.777
2001-06-29,332.35
2001-07-02,334.816
2001-07-03,336.333
2001-07-04,336.826
2001-07-05,330.778
2001-07-06,329.08
2001-07-09,328.165
2001-07-10,331.813
2001-07-11,331.132
2001-07-12,324.974
2001-07-13,322.861
2001-07-16,323.27
2001-07-17,318.624
2001-07-18,323.309
2001-07-19,325.622
2001-07-20,325.107
2001-07-23,323.938
2001-07-24,326.553
2001-07-25,327.469
2001-07-26,327.178
2001-07-27,324.473
2001-07-30,320.324
2001-07-31,321.03
2001-08-01,325.325
2001-08-02,328.608
2001-08-03,329.863
2001-08-06,328.587
2001-08-07,329.413
2001-08-08,328.666
2001-08-09,331.499
2001-08-10,332.634
2001-08-13,334.163
2001-08-14,335.03
2001-08-15,340.145
2001-08-16,336.886
2001-08-17,334.826
2001-08-20,332.826
2001-08-21,334.517
2001-08-22,336.797
2001-08-23,335.298
2001-08-24,336.69
2001-08-27,334.75
2001-08-28,333.208
2001-08-29,333.093
2001-08-30,326.959
2001-08-31,326.584
2001-09-03,322.159
2001-09-04,315.723
2001-09-05,307.928
2001-09-06,301.697
2001-09-07,303.957
2001-09-10,297.153
2001-09-11,281.222
2001-09-12,280.304
2001-09-13,283.378
2001-09-14,275.816
2001-09-17,272.135
2001-09-18,267.75
2001-09-19,268.579
2001-09-20,258.037
2001-09-21,242.864
2001-09-24,251.768
2001-09-25,259.335
2001-09-26,263.373
2001-09-27,263.161
2001-09-28,270.275
2001-10-01,267.276
2001-10-02,267.855
2001-10-03,268.183
2001-10-04,271.813
2001-10-05,269.605
2001-10-08,268.163
2001-10-09,269.035
2001-10-10,268.693
2001-10-11,271.564
2001-10-12,273.057
2001-10-15,271.309
2001-10-16,274.88
2001-10-17,281.16
2001-10-18,278.899
2001-10-19,274.232
2001-10-22,274.678
2001-10-23,276.583
2001-10-24,276.323
2001-10-25,273.389
2001-10-26,277.381
2001-10-29,277.86
2001-10-30,270.503
2001-10-31,271.037
2001-11-01,272.654
2001-11-02,269.242
2001-11-05,269.195
2001-11-06,267.291
2001-11-07,267.106
2001-11-08,268.768
2001-11-09,267.602
2001-11-12,265.033
2001-11-13,265.533
2001-11-14,268.867
2001-11-15,272.703
2001-11-16,277.641
2001-11-19,287.101
2001-11-20,285.032
2001-11-21,284.067
2001-11-22,286.838
2001-11-23,287.335
2001-11-26,290.127
2001-11-27,285.65
2001-11-28,285.025
2001-11-29,287.36
2001-11-30,289.739
2001-12-03,283.936
2001-12-04,288.946
2001-12-05,293.201
2001-12-06,295.191
2001-12-07,295.486
2001-12-10,291.011
2001-12-11,290.024
2001-12-12,288.202
2001-12-13,283.078
2001-12-14,283.315
2001-12-17,288.137
2001-12-18,286.229
2001-12-19,282.668
2001-12-20,277.879
2001-12-21,277.104
2001-12-24,274.339
2001-12-25,274.339
2001-12-26,274.574
2001-12-27,280.19
2001-12-28,279.131
2001-12-31,281.853
2002-01-01,281.853
2002-01-02,286.688
2002-01-03,289.969
2002-01-04,288.717
2002-01-07,288.607
2002-01-08,290.988
2002-01-09,291.569
2002-01-10,290.276
2002-01-11,289.865
2002-01-14,286.342
2002-01-15,288.273
2002-01-16,284.271
2002-01-17,285.041
2002-01-18,287.448
2002-01-21,285.491
2002-01-22,286.57
2002-01-23,288.202
2002-01-24,287.505
2002-01-25,284.049
2002-01-28,285.084
2002-01-29,287.776
2002-01-30,288.533
2002-01-31,290.646
2002-02-01,288.936
2002-02-04,288.238
2002-02-05,285.717
2002-02-06,281.84
2002-02-07,281.955
2002-02-08,284.041
2002-02-11,284.066
2002-02-12,282.739
2002-02-13,283.114
2002-02-14,284.681
2002-02-15,283.76
2002-02-18,282.794
2002-02-19,277.43
2002-02-20,276.46
2002-02-21,278.416
2002-02-22,280.137
2002-02-25,277.769
2002-02-26,277.699
2002-02-27,281.18
2002-02-28,282.674
2002-03-01,286.655
2002-03-04,294.556
2002-03-05,291.337
2002-03-06,295.719
2002-03-07,298.462
2002-03-08,297.412
2002-03-11,296.913
2002-03-12,295.23
2002-03-13,298.571
2002-03-14,302.078
2002-03-15,302.375
2002-03-18,301.541
2002-03-19,304.348
2002-03-20,301.27
2002-03-21,300.857
2002-03-22,300.218
2002-03-25,298.817
2002-03-26,296.889
2002-03-27,295.982
2002-03-28,299.836
2002-03-29,299.836
2002-04-01,302.294
2002-04-02,300.597
2002-04-03,300.346
2002-04-04,299.924
2002-04-05,298.207
2002-04-08,292.321
2002-04-09,295.156
2002-04-10,298.995
2002-04-11,299.621
2002-04-12,300.95
2002-04-15,300.215
2002-04-16,305.298
2002-04-17,306.608
2002-04-18,307.148
2002-04-19,309.177
2002-04-22,307.763
2002-04-23,308.97
2002-04-24,311.306
2002-04-25,311.34
2002-04-26,309.609
2002-04-29,309.021
2002-04-30,309.452
2002-05-01,311.203
2002-05-02,307.295
2002-05-03,307.068
2002-05-06,306.8
2002-05-07,302.578
2002-05-08,303.248
2002-05-09,299.283
2002-05-10,297.733
2002-05-13,298.851
2002-05-14,298.822
2002-05-15,301.065
2002-05-16,303.036
2002-05-17,306.139
2002-05-20,302.694
2002-05-21,302.352
2002-05-22,304.508
2002-05-23,300.79
2002-05-24,298.099
2002-05-27,295.204
2002-05-28,300.086
2002-05-29,300.961
2002-05-30,300.843
2002-05-31,301.529
2002-06-03,297.47
2002-06-04,291.834
2002-06-05,290.322
2002-06-06,289.233
2002-06-07,286.828
2002-06-10,290.786
2002-06-11,299.102
2002-06-12,293.068
2002-06-13,286.473
2002-06-14,278.505
2002-06-17,285.92
2002-06-18,286.881
2002-06-19,285.724
2002-06-20,281.513
2002-06-21,277.697
2002-06-24,275.231
2002-06-25,277.368
2002-06-26,279.894
2002-06-27,278.966
2002-06-28,290.69
2002-07-01,292.354
2002-07-02,284.738
2002-07-03,277.075
2002-07-04,278.006
2002-07-05,286.074
2002-07-08,288.009
2002-07-09,289.549
2002-07-10,283.723
2002-07-11,277.41
2002-07-12,277.905
2002-07-15,272.906
2002-07-16,278.76
2002-07-17,285.652
2002-07-18,289.936
2002-07-19,284.72
2002-07-22,276.189
2002-07-23,267.656
2002-07-24,267.339
2002-07-25,267.647
2002-07-26,267.678
2002-07-29,271.757
2002-07-30,271.624
2002-07-31,268.213
2002-08-01,263.958
2002-08-02,263.638
2002-08-05,256.936
2002-08-06,259.35
2002-08-07,258.114
2002-08-08,264.503
2002-08-09,269.028
2002-08-12,265.892
2002-08-13,269.325
2002-08-14,265.304
2002-08-15,263.328
2002-08-16,273.059
2002-08-19,279.269
2002-08-20,278.465
2002-08-21,282.601
2002-08-22,285.6
2002-08-23,282.855
2002-08-26,283.057
2002-08-27,290.468
2002-08-28,282.475
2002-08-29,276.757
2002-08-30,274.965
2002-09-02,272.414
2002-09-03,267.272
2002-09-04,267.385
2002-09-05,264.851
2002-09-06,269.292
2002-09-09,261.2
2002-09-10,263.716
2002-09-11,269.828
2002-09-12,263.355
2002-09-13,261.162
2002-09-16,257.439
2002-09-17,256.254
2002-09-18,254.502
2002-09-19,251.025
2002-09-20,249.78
2002-09-23,239.063
2002-09-24,236.454
2002-09-25,235.788
2002-09-26,238.35
2002-09-27,235.906
2002-09-30,227.502
2002-10-01,227.358
2002-10-02,232.433
2002-10-03,231.473
2002-10-04,224.759
2002-10-07,222.784
2002-10-08,218.176
2002-10-09,212.869
2002-10-10,219.294
2002-10-11,231.931
2002-10-14,229.511
2002-10-15,240.53
2002-10-16,238.064
2002-10-17,239.333
2002-10-18,239.162
2002-10-21,242.77
2002-10-22,246.914
2002-10-23,242.962
2002-10-24,246.081
2002-10-25,246.361
2002-10-28,252.67
2002-10-29,244.471
2002-10-30,249.262
2002-10-31,252.103
2002-11-01,250.863
2002-11-04,261.66
2002-11-05,268.181
2002-11-06,266.995
2002-11-07,258.546
2002-11-08,255.717
2002-11-11,249.466
2002-11-12,253.691
2002-11-13,253.215
2002-11-14,258.826
2002-11-15,260.882
2002-11-18,265.151
2002-11-19,266.191
2002-11-20,267.179
2002-11-21,273.808
2002-11-22,275.015
2002-11-25,274.889
2002-11-26,268.172
2002-11-27,277.73
2002-11-28,282.249
2002-11-29,282.618
2002-12-02,280.786
2002-12-03,273.306
2002-12-04,274.962
2002-12-05,270.024
2002-12-06,270.02
2002-12-09,264.473
2002-12-10,267.556
2002-12-11,270.244
2002-12-12,267.559
2002-12-13,266.906
2002-12-16,271.379
2002-12-17,270.747
2002-12-18,265.68
2002-12-19,260.541
2002-12-20,263.298
2002-12-23,261.147
2002-12-24,262.228
2002-12-25,262.228
2002-12-26,262.89
2002-12-27,260.013
2002-12-30,261.828
2002-12-31,262.855
2003-01-01,262.855
2003-01-02,273.364
2003-01-03,276.214
2003-01-06,283.092
2003-01-07,276.449
