Date,EUROPE IMI IMI (Large+Mid+Small Cap)
1994-05-31,213.24
1994-06-30,211.114
1994-07-29,221.241
1994-08-31,227.702
1994-09-30,219.864
1994-10-31,228.112
1994-11-30,219.22
1994-12-30,220.621
1995-01-31,219.149
1995-02-28,223.063
1995-03-31,232.805
1995-04-28,239.9
1995-05-31,245.036
1995-06-30,248.034
1995-07-31,260.378
1995-08-31,250.658
1995-09-29,258.548
1995-10-31,256.913
1995-11-30,256.828
1995-12-29,264.623
1996-01-31,266.023
1996-02-29,272.161
1996-03-29,275.829
1996-04-30,278.913
1996-05-31,283.729
1996-06-28,286.986
1996-07-31,282.753
1996-08-30,291.408
1996-09-30,296.11
1996-10-31,303.215
1996-11-29,316.862
1996-12-31,324.255
1997-01-31,324.651
1997-02-28,328.662
1997-03-31,338.48
1997-04-30,336.084
1997-05-30,351.597
1997-06-30,367.244
1997-07-31,380.376
1997-08-29,363.043
1997-09-30,394.365
1997-10-31,377.492
1997-11-28,381.097
1997-12-31,392.361
1998-01-30,407.634
1998-02-27,439.923
1998-03-31,472.101
1998-04-30,482.619
1998-05-29,495.968
1998-06-30,496.984
1998-07-31,505.457
1998-08-31,442.908
1998-09-30,424.96
1998-10-30,455.15
1998-11-30,477.993
1998-12-31,496.532
1999-01-29,495.641
1999-02-26,484.355
1999-03-31,488.587
1999-04-30,503.827
1999-05-31,483.986
1999-06-30,491.92
1999-07-30,500.071
1999-08-31,507.328
1999-09-30,504.759
1999-10-29,518.387
1999-11-30,534.503
1999-12-31,587.703
2000-01-31,552.984
2000-02-29,586.079
2000-03-31,590.794
2000-04-28,559.408
2000-05-31,553.873
2000-06-30,566.762
2000-07-31,557.478
2000-08-31,553.738
2000-09-29,526.646
2000-10-31,515.233
2000-11-30,492.346
2000-12-29,525.826
2001-01-31,527.992
2001-02-28,483.951
2001-03-30,445.228
2001-04-30,475.626
2001-05-31,453.742
2001-06-29,435.631
2001-07-31,435.51
2001-08-31,425.531
2001-09-28,378.219
2001-10-31,392.065
2001-11-30,408.637
2001-12-31,417.378
2002-01-31,398.094
2002-02-28,397.098
2002-03-29,419.458
2002-04-30,418.122
2002-05-31,419.097
2002-06-28,404.112
2002-07-31,360.548
2002-08-30,360.606
2002-09-30,313.725
2002-10-31,342.717
2002-11-29,359.443
2002-12-31,347.252
2003-01-31,331.143
2003-02-28,320.672
2003-03-31,316.392
2003-04-30,358.874
2003-05-30,384.009
2003-06-30,387.893
2003-07-31,396.051
2003-08-29,396.275
2003-09-30,405.526
2003-10-31,433.249
2003-11-28,451.07
2003-12-31,487.018
2004-01-30,494.761
2004-02-27,509.979
2004-03-31,494.252
2004-04-30,489.237
2004-05-31,496.741
2004-06-30,504.066
2004-07-30,489.949
2004-08-31,490.526
2004-09-30,510.489
2004-10-29,528.925
2004-11-30,568.113
2004-12-31,593.065
2005-01-31,583.944
2005-02-28,613.087
2005-03-31,597.554
2005-04-29,582.579
2005-05-31,584.73
2005-06-30,593.435
2005-07-29,616.052
2005-08-31,626.044
2005-09-30,641.081
2005-10-31,620.488
2005-11-30,631.472
2005-12-30,654.332
2006-01-31,699.243
2006-02-28,702.131
2006-03-31,730.112
2006-04-28,768.454
2006-05-31,747.077
2006-06-30,748.624
2006-07-31,759.613
2006-08-31,783.874
2006-09-29,791.071
2006-10-31,826.119
2006-11-30,857.329
2006-12-29,886.238
2007-01-31,892.476
2007-02-28,890.877
2007-03-30,924.212
2007-04-30,982.996
2007-05-31,1000.0
2007-06-29,998.284
2007-07-31,978.412
2007-08-31,964.705
2007-09-28,1009.605
2007-10-31,1058.699
2007-11-30,1021.386
2007-12-31,1001.946
2008-01-31,896.783
2008-02-29,914.254
2008-03-31,918.268
2008-04-30,957.411
2008-05-30,962.868
2008-06-30,879.294
2008-07-31,852.131
2008-08-29,819.567
2008-09-30,692.258
2008-10-31,541.104
2008-11-28,503.246
2008-12-31,529.685
2009-01-30,473.089
2009-02-27,426.276
2009-03-31,455.865
2009-04-30,522.35
2009-05-29,586.31
2009-06-30,575.613
2009-07-31,635.244
2009-08-31,677.643
2009-09-30,710.699
2009-10-30,702.007
2009-11-30,721.023
2009-12-31,731.635
2010-01-29,691.969
2010-02-26,677.167
2010-03-31,722.351
2010-04-30,705.594
2010-05-31,618.135
2010-06-30,613.513
2010-07-30,685.186
2010-08-31,659.744
2010-09-30,734.165
2010-10-29,766.986
2010-11-30,709.716
2010-12-31,772.597
2011-01-31,801.218
2011-02-28,826.424
2011-03-31,821.691
2011-04-29,887.185
2011-05-31,858.257
