Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2002-02-07,382.236
2002-02-08,383.215
2002-02-11,388.413
2002-02-12,387.229
2002-02-13,388.294
2002-02-14,390.976
2002-02-15,389.372
2002-02-18,386.135
2002-02-19,381.101
2002-02-20,378.182
2002-02-21,381.108
2002-02-22,380.103
2002-02-25,382.804
2002-02-26,384.404
2002-02-27,387.752
2002-02-28,387.727
2002-03-01,391.255
2002-03-04,400.499
2002-03-05,399.091
2002-03-06,402.614
2002-03-07,407.413
2002-03-08,407.918
2002-03-11,406.042
2002-03-12,401.356
2002-03-13,402.516
2002-03-14,406.045
2002-03-15,409.521
2002-03-18,410.939
2002-03-19,412.752
2002-03-20,410.599
2002-03-21,409.256
2002-03-22,409.85
2002-03-25,406.604
2002-03-26,407.175
2002-03-27,405.944
2002-03-28,409.67
2002-03-29,409.669
2002-04-01,413.426
2002-04-02,411.951
2002-04-03,410.992
2002-04-04,408.076
2002-04-05,407.285
2002-04-08,400.469
2002-04-09,401.909
2002-04-10,406.145
2002-04-11,402.247
2002-04-12,402.377
2002-04-15,405.186
2002-04-16,411.897
2002-04-17,414.573
2002-04-18,413.438
2002-04-19,413.647
2002-04-22,410.854
2002-04-23,410.018
2002-04-24,409.752
2002-04-25,408.694
2002-04-26,407.215
2002-04-29,407.43
2002-04-30,408.686
2002-05-01,410.114
2002-05-02,408.254
2002-05-03,409.91
2002-05-06,410.293
2002-05-07,404.651
2002-05-08,410.914
2002-05-09,409.612
2002-05-10,407.705
2002-05-13,410.13
2002-05-14,410.502
2002-05-15,414.675
2002-05-16,414.518
2002-05-17,417.726
2002-05-20,415.936
2002-05-21,413.926
2002-05-22,412.442
2002-05-23,410.583
2002-05-24,411.281
2002-05-27,410.553
2002-05-28,411.215
2002-05-29,411.205
2002-05-30,408.582
2002-05-31,410.161
2002-06-03,408.636
2002-06-04,403.722
2002-06-05,399.055
2002-06-06,400.457
2002-06-07,395.444
2002-06-10,395.821
2002-06-11,398.855
2002-06-12,392.278
2002-06-13,387.468
2002-06-14,378.698
2002-06-17,388.678
2002-06-18,388.455
2002-06-19,385.172
2002-06-20,380.555
2002-06-21,381.379
2002-06-24,375.354
2002-06-25,381.178
2002-06-26,380.834
2002-06-27,383.017
2002-06-28,395.662
2002-07-01,396.82
2002-07-02,385.172
2002-07-03,373.365
