Date,EUROPE IMI IMI (Large+Mid+Small Cap)
2001-01-01,525.834
2001-01-02,523.772
2001-01-03,516.185
2001-01-04,524.396
2001-01-05,525.55
2001-01-08,521.948
2001-01-09,513.824
2001-01-10,511.84
2001-01-11,521.715
2001-01-12,524.992
2001-01-15,523.187
2001-01-16,516.291
2001-01-17,522.714
2001-01-18,528.584
2001-01-19,523.654
2001-01-22,523.64
2001-01-23,524.635
2001-01-24,520.855
2001-01-25,520.825
2001-01-26,520.659
2001-01-29,519.95
2001-01-30,523.46
2001-01-31,527.992
2001-02-01,528.728
2001-02-02,521.991
2001-02-05,524.139
2001-02-06,522.423
2001-02-07,517.207
2001-02-08,510.508
2001-02-09,507.232
2001-02-12,513.434
2001-02-13,509.197
2001-02-14,502.255
2001-02-15,500.399
2001-02-16,497.245
2001-02-19,498.099
2001-02-20,489.587
2001-02-21,486.735
2001-02-22,482.463
2001-02-23,476.065
2001-02-26,479.845
2001-02-27,485.089
2001-02-28,483.951
2001-03-01,483.913
2001-03-02,486.863
2001-03-05,488.598
2001-03-06,495.983
2001-03-07,494.673
2001-03-08,494.789
2001-03-09,489.509
2001-03-12,477.714
2001-03-13,466.819
2001-03-14,456.747
2001-03-15,460.503
2001-03-16,446.142
2001-03-19,443.565
2001-03-20,451.503
2001-03-21,440.775
2001-03-22,417.953
2001-03-23,430.874
2001-03-26,444.755
2001-03-27,454.347
2001-03-28,445.367
2001-03-29,442.912
2001-03-30,445.228
2001-04-02,442.821
2001-04-03,432.477
2001-04-04,440.703
2001-04-05,447.369
2001-04-06,448.167
2001-04-09,454.08
2001-04-10,458.128
2001-04-11,457.307
2001-04-12,461.247
2001-04-13,461.24
2001-04-16,457.4
2001-04-17,454.391
2001-04-18,461.86
2001-04-19,468.84
2001-04-20,471.362
2001-04-23,465.852
2001-04-24,466.105
2001-04-25,467.0
2001-04-26,471.966
2001-04-27,473.648
2001-04-30,475.626
2001-05-01,476.672
2001-05-02,475.498
2001-05-03,468.284
2001-05-04,471.702
2001-05-07,472.611
2001-05-08,470.015
2001-05-09,466.843
2001-05-10,473.209
2001-05-11,468.115
2001-05-14,460.441
2001-05-15,466.646
2001-05-16,469.665
2001-05-17,472.799
2001-05-18,474.062
2001-05-21,475.554
2001-05-22,474.558
2001-05-23,468.48
2001-05-24,466.987
2001-05-25,464.622
2001-05-28,466.375
2001-05-29,460.956
2001-05-30,456.948
2001-05-31,453.742
2001-06-01,452.177
2001-06-04,454.054
2001-06-05,458.54
2001-06-06,454.927
2001-06-07,455.966
2001-06-08,454.278
2001-06-11,447.417
2001-06-12,442.962
2001-06-13,447.366
2001-06-14,445.586
2001-06-15,443.513
2001-06-18,439.689
2001-06-19,438.969
2001-06-20,434.258
2001-06-21,435.363
2001-06-22,436.793
2001-06-25,439.418
2001-06-26,433.146
2001-06-27,432.926
2001-06-28,432.778
2001-06-29,435.631
2001-07-02,441.055
2001-07-03,436.55
2001-07-04,433.325
2001-07-05,426.387
2001-07-06,421.903
2001-07-09,423.437
2001-07-10,424.179
2001-07-11,421.354
2001-07-12,422.23
2001-07-13,423.909
2001-07-16,423.26
2001-07-17,418.283
2001-07-18,422.388
2001-07-19,427.131
2001-07-20,425.771
2001-07-23,425.053
2001-07-24,422.48
2001-07-25,419.684
2001-07-26,421.329
2001-07-27,426.759
2001-07-30,431.525
2001-07-31,435.51
2001-08-01,439.304
2001-08-02,441.138
2001-08-03,439.251
2001-08-06,436.739
2001-08-07,435.342
2001-08-08,430.355
2001-08-09,428.371
2001-08-10,428.423
2001-08-13,431.399
2001-08-14,435.597
2001-08-15,439.302
2001-08-16,435.643
2001-08-17,431.316
2001-08-20,429.32
2001-08-21,433.268
2001-08-22,435.772
2001-08-23,433.233
2001-08-24,439.281
2001-08-27,438.205
2001-08-28,433.721
2001-08-29,433.459
2001-08-30,425.5
2001-08-31,425.531
2001-09-03,420.261
2001-09-04,418.415
2001-09-05,412.021
2001-09-06,404.244
2001-09-07,400.536
2001-09-10,394.517
2001-09-11,375.314
2001-09-12,378.533
2001-09-13,382.743
2001-09-14,369.957
2001-09-17,375.907
2001-09-18,372.6
2001-09-19,368.511
2001-09-20,353.507
2001-09-21,340.239
2001-09-24,356.412
2001-09-25,363.9
2001-09-26,367.783
2001-09-27,371.168
2001-09-28,378.219
2001-10-01,373.183
2001-10-02,375.332
2001-10-03,378.335
2001-10-04,387.776
2001-10-05,387.91
2001-10-08,387.82
2001-10-09,387.2
2001-10-10,392.916
2001-10-11,394.675
2001-10-12,394.597
2001-10-15,388.31
2001-10-16,392.536
2001-10-17,399.576
2001-10-18,392.619
2001-10-19,385.123
2001-10-22,387.663
2001-10-23,394.744
2001-10-24,397.15
2001-10-25,392.505
2001-10-26,399.105
2001-10-29,397.228
2001-10-30,389.754
2001-10-31,392.065
2001-11-01,396.338
2001-11-02,396.813
2001-11-05,402.291
2001-11-06,402.374
2001-11-07,406.738
2001-11-08,410.769
2001-11-09,407.576
2001-11-12,400.085
2001-11-13,406.413
2001-11-14,407.816
2001-11-15,408.32
2001-11-16,412.648
2001-11-19,414.694
2001-11-20,411.282
2001-11-21,407.85
2001-11-22,412.088
2001-11-23,409.295
2001-11-26,410.727
2001-11-27,407.417
2001-11-28,404.519
2001-11-29,404.492
2001-11-30,408.637
2001-12-03,404.696
2001-12-04,409.658
2001-12-05,419.349
2001-12-06,422.224
2001-12-07,418.857
2001-12-10,412.264
2001-12-11,412.441
2001-12-12,411.552
2001-12-13,406.063
2001-12-14,404.871
2001-12-17,414.132
2001-12-18,412.907
2001-12-19,408.445
2001-12-20,405.544
2001-12-21,407.152
2001-12-24,404.534
2001-12-25,404.531
2001-12-26,405.402
2001-12-27,413.644
2001-12-28,414.246
2001-12-31,417.378
2002-01-01,417.376
