Date,EUROPE IMI IMI (Large+Mid+Small Cap)
1994-05-31,203.411
1994-06-30,201.562
1994-07-29,211.357
1994-08-31,217.544
1994-09-30,210.078
1994-10-31,217.977
1994-11-30,209.492
1994-12-30,210.845
1995-01-31,209.461
1995-02-28,213.218
1995-03-31,222.545
1995-04-28,229.424
1995-05-31,234.649
1995-06-30,237.768
1995-07-31,249.721
1995-08-31,240.417
1995-09-29,248.015
1995-10-31,246.462
1995-11-30,246.389
1995-12-29,253.891
1996-01-31,255.262
1996-02-29,261.164
1996-03-29,264.717
1996-04-30,267.797
1996-05-31,272.763
1996-06-28,276.181
1996-07-31,272.229
1996-08-30,280.582
1996-09-30,285.15
1996-10-31,292.009
1996-11-29,305.173
1996-12-31,312.318
1997-01-31,312.727
1997-02-28,316.606
1997-03-31,326.103
1997-04-30,323.977
1997-05-30,339.266
1997-06-30,354.667
1997-07-31,367.472
1997-08-29,350.742
1997-09-30,381.054
1997-10-31,364.763
1997-11-28,368.255
1997-12-31,379.161
1998-01-30,393.946
1998-02-27,425.166
1998-03-31,456.323
1998-04-30,466.715
1998-05-29,480.005
1998-06-30,481.381
1998-07-31,489.705
1998-08-31,429.112
1998-09-30,411.73
1998-10-30,440.981
1998-11-30,463.114
1998-12-31,481.077
1999-01-29,480.238
1999-02-26,469.312
1999-03-31,473.483
1999-04-30,488.44
1999-05-31,469.565
1999-06-30,477.488
1999-07-30,485.5
1999-08-31,492.599
1999-09-30,490.11
1999-10-29,503.349
1999-11-30,519.013
1999-12-31,570.679
2000-01-31,536.989
2000-02-29,569.138
2000-03-31,573.788
2000-04-28,543.555
2000-05-31,538.579
2000-06-30,551.327
2000-07-31,542.418
2000-08-31,538.829
2000-09-29,512.478
2000-10-31,501.41
2000-11-30,479.151
2000-12-29,511.743
2001-01-31,513.876
2001-02-28,471.043
2001-03-30,433.474
2001-04-30,463.402
2001-05-31,442.579
2001-06-29,425.153
2001-07-31,425.09
2001-08-31,415.433
2001-09-28,369.253
2001-10-31,382.759
2001-11-30,398.95
2001-12-31,407.491
2002-01-31,388.697
2002-02-28,387.727
2002-03-29,409.669
2002-04-30,408.686
2002-05-31,410.161
2002-06-28,395.662
2002-07-31,353.052
2002-08-30,353.188
2002-09-30,307.28
2002-10-31,335.694
2002-11-29,352.084
2002-12-31,340.174
2003-01-31,324.426
2003-02-28,314.176
2003-03-31,310.147
2003-04-30,352.26
2003-05-30,377.361
2003-06-30,381.408
2003-07-31,389.505
2003-08-29,389.776
2003-09-30,398.884
2003-10-31,426.181
2003-11-28,443.722
2003-12-31,479.091
2004-01-30,486.753
2004-02-27,501.786
2004-03-31,486.472
2004-04-30,482.09
2004-05-31,490.114
2004-06-30,497.569
2004-07-30,483.708
2004-08-31,484.343
2004-09-30,504.068
2004-10-29,522.296
2004-11-30,561.104
2004-12-31,585.768
2005-01-31,576.817
2005-02-28,605.677
2005-03-31,590.51
2005-04-29,576.596
2005-05-31,579.522
2005-06-30,588.388
2005-07-29,610.866
2005-08-31,620.877
2005-09-30,635.809
2005-10-31,615.439
2005-11-30,626.48
2005-12-30,649.175
2006-01-31,693.794
2006-02-28,696.697
2006-03-31,724.785
2006-04-28,763.602
2006-05-31,743.64
2006-06-30,745.527
2006-07-31,756.588
2006-08-31,780.908
2006-09-29,788.119
2006-10-31,823.109
2006-11-30,854.414
2006-12-29,883.25
2007-01-31,889.557
2007-02-28,888.005
2007-03-30,921.61
2007-04-30,981.371
2007-05-31,1000.0
2007-06-29,998.637
2007-07-31,978.896
2007-08-31,965.313
2007-09-28,1010.279
2007-10-31,1059.54
2007-11-30,1022.417
2007-12-31,1002.984
2008-01-31,897.833
2008-02-29,915.501
2008-03-31,919.842
2008-04-30,960.678
2008-05-30,968.535
2008-06-30,884.697
2008-07-31,857.478
2008-08-29,824.827
2008-09-30,696.843
2008-10-31,544.724
2008-11-28,506.864
2008-12-31,533.533
2009-01-30,476.645
2009-02-27,429.681
2009-03-31,459.722
2009-04-30,527.86
2009-05-29,593.904
2009-06-30,583.304
2009-07-31,643.838
2009-08-31,686.928
