Date,ITALY IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,199.734
1994-06-30,189.388
1994-07-29,191.861
1994-08-31,184.711
1994-09-30,184.07
1994-10-31,174.668
1994-11-30,165.339
1994-12-30,166.217
1995-01-31,179.028
1995-02-28,163.811
1995-03-31,152.117
1995-04-28,164.685
1995-05-31,166.367
1995-06-30,158.574
1995-07-31,170.667
1995-08-31,165.822
1995-09-29,160.881
1995-10-31,151.177
1995-11-30,141.323
1995-12-29,153.173
1996-01-31,160.162
1996-02-29,159.856
1996-03-29,152.436
1996-04-30,171.019
1996-05-31,175.57
1996-06-28,172.394
1996-07-31,160.745
1996-08-30,160.156
1996-09-30,162.442
1996-10-31,155.515
1996-11-29,168.435
1996-12-31,170.386
1997-01-31,188.994
1997-02-28,173.837
1997-03-31,176.04
1997-04-30,175.69
1997-05-30,178.325
1997-06-30,189.635
1997-07-31,200.41
1997-08-29,197.305
1997-09-30,224.966
1997-10-31,219.133
1997-11-28,218.325
1997-12-31,241.628
1998-01-30,281.969
1998-02-27,303.739
1998-03-31,374.962
1998-04-30,363.515
1998-05-29,385.525
1998-06-30,357.44
1998-07-31,388.884
1998-08-31,328.384
1998-09-30,305.236
1998-10-30,319.44
1998-11-30,357.006
1998-12-31,378.212
1999-01-29,357.954
1999-02-26,349.94
1999-03-31,375.114
1999-04-30,373.212
1999-05-31,355.349
1999-06-30,348.604
1999-07-30,349.325
1999-08-31,351.919
1999-09-30,372.647
1999-10-29,356.042
1999-11-30,346.781
1999-12-31,372.31
2000-01-31,345.235
2000-02-29,398.572
2000-03-31,384.617
2000-04-28,369.443
2000-05-31,380.724
2000-06-30,409.037
2000-07-31,394.037
2000-08-31,400.677
2000-09-29,377.061
2000-10-31,376.226
2000-11-30,386.733
2000-12-29,398.313
2001-01-31,411.975
2001-02-28,379.997
2001-03-30,357.47
2001-04-30,374.627
2001-05-31,354.476
2001-06-29,342.128
2001-07-31,347.926
2001-08-31,349.573
2001-09-28,302.127
2001-10-31,309.151
2001-11-30,314.287
2001-12-31,317.299
2002-01-31,311.769
2002-02-28,311.629
2002-03-29,335.062
2002-04-30,341.091
2002-05-31,339.034
2002-06-28,338.58
2002-07-31,318.381
2002-08-30,325.688
2002-09-30,281.135
2002-10-31,303.463
2002-11-29,327.216
2002-12-31,322.611
2003-01-31,319.271
2003-02-28,318.22
2003-03-31,301.062
2003-04-30,340.093
2003-05-30,382.235
2003-06-30,378.717
2003-07-31,373.437
2003-08-29,368.686
2003-09-30,383.845
2003-10-31,400.657
2003-11-28,432.478
2003-12-31,455.527
2004-01-30,464.105
2004-02-27,478.282
2004-03-31,473.159
2004-04-30,478.79
2004-05-31,483.545
2004-06-30,499.97
2004-07-30,493.099
2004-08-31,491.409
2004-09-30,523.628
2004-10-29,549.852
2004-11-30,592.636
2004-12-31,635.183
2005-01-31,623.21
2005-02-28,644.121
2005-03-31,640.477
2005-04-29,619.61
2005-05-31,613.706
2005-06-30,620.342
2005-07-29,649.422
2005-08-31,666.199
2005-09-30,676.733
2005-10-31,627.81
2005-11-30,646.867
2005-12-30,672.854
2006-01-31,711.71
2006-02-28,715.44
2006-03-31,731.538
2006-04-28,764.321
2006-05-31,771.861
2006-06-30,778.447
2006-07-31,785.088
2006-08-31,819.081
2006-09-29,823.194
2006-10-31,856.36
2006-11-30,901.172
2006-12-29,921.481
2007-01-31,928.3
2007-02-28,920.618
2007-03-30,944.253
2007-04-30,1010.76
2007-05-31,1000.0
2007-06-29,980.119
2007-07-31,948.288
2007-08-31,943.646
2007-09-28,972.503
2007-10-31,1003.542
2007-11-30,987.623
2007-12-31,972.593
2008-01-31,876.63
2008-02-29,878.311
2008-03-31,848.042
2008-04-30,908.764
2008-05-30,929.084
2008-06-30,830.199
2008-07-31,791.957
2008-08-29,759.041
2008-09-30,629.625
2008-10-31,494.904
2008-11-28,471.528
2008-12-31,502.48
2009-01-30,437.752
2009-02-27,381.335
2009-03-31,403.677
2009-04-30,481.244
2009-05-29,545.389
2009-06-30,525.591
2009-07-31,567.734
2009-08-31,626.293
2009-09-30,671.122
2009-10-30,633.635
2009-11-30,639.404
2009-12-31,640.938
2010-01-29,585.537
2010-02-26,553.082
2010-03-31,592.121
2010-04-30,553.857
2010-05-31,470.044
2010-06-30,466.999
2010-07-30,539.029
2010-08-31,501.791
2010-09-30,558.149
2010-10-29,591.079
2010-11-30,489.663
2010-12-31,527.016
2011-01-31,587.144
2011-02-28,604.854
2011-03-31,602.077
2011-04-29,653.939
2011-05-31,607.342
2011-06-30,591.74
2011-07-29,530.804
2011-08-31,460.122
2011-09-30,417.258
2011-10-31,467.961
2011-11-30,425.766
2011-12-30,408.556
2012-01-31,433.696
2012-02-29,457.515
2012-03-30,441.973
2012-04-30,401.768
2012-05-31,340.085
2012-06-29,394.728
2012-07-31,365.39
2012-08-31,410.842
2012-09-28,424.086
2012-10-31,439.183
2012-11-30,448.115
2012-12-31,470.855
2013-01-31,525.268
2013-02-28,454.314
2013-03-29,426.196
2013-04-30,484.236
2013-05-31,491.486
2013-06-28,439.626
2013-07-31,478.456
2013-08-30,485.78
2013-09-30,523.942
2013-10-31,598.931
2013-11-29,591.475
2013-12-31,598.146
2014-01-31,596.574
2014-02-28,649.645
2014-03-31,688.54
2014-04-30,700.268
2014-05-30,694.74
2014-06-30,706.296
2014-07-31,668.731
2014-08-29,650.757
2014-09-30,633.979
2014-10-31,601.424
2014-11-28,594.733
2014-12-31,546.635
2015-01-30,550.898
2015-02-27,588.167
2015-03-31,575.223
2015-04-30,603.96
2015-05-29,604.377
2015-06-30,587.237
2015-07-31,609.663
2015-08-31,581.284
2015-09-30,565.477
2015-10-30,590.459
2015-11-30,577.388
2015-12-31,559.115
2016-01-29,500.194
2016-02-29,480.812
2016-03-31,518.957
2016-04-29,538.403
2016-05-31,520.009
2016-06-30,479.348
2016-07-29,496.827
2016-08-31,490.423
2016-09-30,479.539
2016-10-31,484.966
2016-11-30,456.2
2016-12-30,519.647
2017-01-31,509.527
2017-02-28,505.249
2017-03-31,557.786
2017-04-28,571.583
2017-05-31,604.464
2017-06-30,615.104
2017-07-31,662.698
2017-08-31,666.84
2017-09-29,691.627
2017-10-31,674.184
2017-11-30,686.937
2017-12-29,673.017
2018-01-31,750.187
2018-02-28,706.439
2018-03-30,711.33
2018-04-30,752.766
2018-05-31,649.761
2018-06-29,657.141
2018-07-31,690.563
2018-08-31,612.781
2018-09-28,631.385
2018-10-31,576.489
2018-11-30,588.092
2018-12-31,574.614
2019-01-31,613.137
2019-02-28,642.488
2019-03-29,654.663
2019-04-30,666.429
2019-05-31,615.409
2019-06-28,669.94
2019-07-31,662.818
2019-08-30,655.604
2019-09-30,683.926
2019-10-31,713.291
2019-11-29,716.614
2019-12-31,736.448
2020-01-31,718.601
2020-02-28,673.911
2020-03-31,504.906
2020-04-30,511.375
2020-05-29,541.871
2020-06-30,588.379
2020-07-31,610.335
2020-08-31,631.407
2020-09-30,589.398
2020-10-30,541.757
2020-11-30,699.622
2020-12-31,711.732
2021-01-29,692.343
2021-02-26,740.034
2021-03-31,784.79
2021-04-30,786.696
2021-05-31,839.878
2021-06-30,804.484
2021-07-30,809.831
2021-08-31,820.793
2021-09-30,794.251
2021-10-29,829.683
2021-11-30,765.042
2021-12-31,827.251
2022-01-31,838.438
2022-02-28,801.571
2022-03-31,766.409
2022-04-29,714.623
2022-05-31,759.765
2022-06-30,639.72
2022-07-29,637.094
2022-08-31,610.881
2022-09-30,567.738
2022-10-31,644.091
2022-11-30,735.047
2022-12-30,733.735
2023-01-31,843.731
2023-02-28,855.38
2023-03-31,853.76
2023-04-28,902.297
2023-05-31,838.846
2023-06-30,932.892
2023-07-31,1007.997
2023-08-31,971.645
2023-09-29,943.022
2023-10-31,937.49
2023-11-30,1033.295
2023-12-29,1071.028
2024-01-31,1075.32
2024-02-29,1111.04
2024-03-29,1202.814
2024-04-30,1176.937
2024-05-31,1242.242
2024-06-28,1174.47
2024-07-31,1223.031
2024-08-30,1259.715
2024-09-30,1265.22
2024-10-31,1235.846
2024-11-29,1206.095
2024-12-31,1214.621
2025-01-31,1307.89
2025-02-28,1393.902
2025-03-31,1463.032
2025-04-30,1531.509
2025-05-30,1655.096
2025-06-30,1705.84
2025-07-31,1737.355
2025-08-29,1822.68
2025-09-30,1842.022
2025-10-31,1878.239
