Date,ITALY IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,398.313
2001-01-02,397.483
2001-01-03,392.831
2001-01-04,396.534
2001-01-05,400.826
2001-01-08,400.679
2001-01-09,395.449
2001-01-10,396.12
2001-01-11,404.045
2001-01-12,406.98
2001-01-15,405.472
2001-01-16,403.236
2001-01-17,403.25
2001-01-18,410.582
2001-01-19,403.912
2001-01-22,406.145
2001-01-23,406.741
2001-01-24,404.281
2001-01-25,404.413
2001-01-26,406.893
2001-01-29,405.895
2001-01-30,408.747
2001-01-31,411.975
2001-02-01,413.083
2001-02-02,407.944
2001-02-05,409.029
2001-02-06,405.263
2001-02-07,401.846
2001-02-08,396.729
2001-02-09,395.604
2001-02-12,402.165
2001-02-13,396.834
2001-02-14,393.813
2001-02-15,385.737
2001-02-16,387.135
2001-02-19,389.078
2001-02-20,380.234
2001-02-21,378.955
2001-02-22,375.314
2001-02-23,370.892
2001-02-26,375.448
2001-02-27,378.135
2001-02-28,379.997
2001-03-01,380.815
2001-03-02,380.193
2001-03-05,377.252
2001-03-06,381.824
2001-03-07,382.802
2001-03-08,385.049
2001-03-09,381.29
2001-03-12,371.996
2001-03-13,365.351
2001-03-14,358.617
2001-03-15,356.188
2001-03-16,347.497
2001-03-19,348.703
2001-03-20,354.81
2001-03-21,352.059
2001-03-22,333.778
2001-03-23,341.076
2001-03-26,349.166
2001-03-27,358.906
2001-03-28,352.793
2001-03-29,354.71
2001-03-30,357.47
2001-04-02,358.371
2001-04-03,353.454
2001-04-04,365.035
2001-04-05,366.475
2001-04-06,367.973
2001-04-09,372.292
2001-04-10,370.432
2001-04-11,366.101
2001-04-12,370.747
2001-04-13,370.747
2001-04-16,366.935
2001-04-17,367.111
2001-04-18,365.323
2001-04-19,369.69
2001-04-20,372.872
2001-04-23,369.983
2001-04-24,372.242
2001-04-25,375.813
2001-04-26,377.474
2001-04-27,374.849
2001-04-30,374.627
2001-05-01,376.609
2001-05-02,376.762
2001-05-03,371.188
2001-05-04,370.694
2001-05-07,371.778
2001-05-08,368.043
2001-05-09,365.027
2001-05-10,367.156
2001-05-11,363.438
2001-05-14,365.472
2001-05-15,366.085
2001-05-16,368.251
2001-05-17,368.242
2001-05-18,369.27
2001-05-21,367.904
2001-05-22,367.071
2001-05-23,363.194
2001-05-24,365.257
2001-05-25,362.967
2001-05-28,365.529
2001-05-29,362.375
2001-05-30,358.267
2001-05-31,354.476
2001-06-01,353.835
2001-06-04,352.089
2001-06-05,352.962
2001-06-06,348.986
2001-06-07,352.811
2001-06-08,354.075
2001-06-11,351.26
2001-06-12,351.951
2001-06-13,356.139
2001-06-14,354.752
2001-06-15,354.349
2001-06-18,349.556
2001-06-19,347.361
2001-06-20,341.348
2001-06-21,339.007
2001-06-22,340.279
2001-06-25,346.678
2001-06-26,342.324
2001-06-27,344.473
2001-06-28,340.998
2001-06-29,342.128
2001-07-02,346.254
2001-07-03,345.472
2001-07-04,344.764
2001-07-05,341.866
2001-07-06,338.112
2001-07-09,340.902
2001-07-10,340.265
2001-07-11,338.911
2001-07-12,334.318
2001-07-13,334.058
2001-07-16,336.129
2001-07-17,330.199
2001-07-18,334.087
2001-07-19,339.066
2001-07-20,339.029
2001-07-23,338.369
2001-07-24,340.896
2001-07-25,340.954
2001-07-26,341.49
2001-07-27,343.022
2001-07-30,347.252
2001-07-31,347.926
2001-08-01,349.982
2001-08-02,348.963
2001-08-03,350.023
2001-08-06,351.087
2001-08-07,351.382
2001-08-08,350.71
2001-08-09,353.669
2001-08-10,351.537
2001-08-13,353.478
2001-08-14,354.36
2001-08-15,359.753
2001-08-16,358.163
2001-08-17,354.352
2001-08-20,352.125
2001-08-21,352.815
2001-08-22,357.91
2001-08-23,355.507
2001-08-24,359.419
2001-08-27,357.273
2001-08-28,353.717
2001-08-29,356.326
2001-08-30,350.853
2001-08-31,349.573
2001-09-03,346.68
2001-09-04,340.154
2001-09-05,331.015
2001-09-06,325.301
2001-09-07,326.433
2001-09-10,320.161
2001-09-11,303.31
2001-09-12,301.817
2001-09-13,305.103
2001-09-14,292.181
2001-09-17,291.48
2001-09-18,286.948
2001-09-19,284.69
2001-09-20,274.59
2001-09-21,257.641
2001-09-24,270.792
2001-09-25,278.435
2001-09-26,287.02
2001-09-27,292.212
2001-09-28,302.127
2001-10-01,297.749
2001-10-02,302.994
2001-10-03,307.505
2001-10-04,310.125
2001-10-05,305.801
2001-10-08,309.364
2001-10-09,308.718
2001-10-10,314.028
2001-10-11,314.225
2001-10-12,313.677
2001-10-15,310.381
2001-10-16,313.471
2001-10-17,316.352
2001-10-18,312.965
2001-10-19,304.505
2001-10-22,307.999
2001-10-23,313.353
2001-10-24,315.873
2001-10-25,311.464
2001-10-26,317.088
2001-10-29,316.312
2001-10-30,306.927
2001-10-31,309.151
2001-11-01,310.475
2001-11-02,306.154
2001-11-05,308.935
2001-11-06,305.497
2001-11-07,306.543
2001-11-08,308.939
2001-11-09,308.202
2001-11-12,300.825
2001-11-13,304.289
2001-11-14,304.601
2001-11-15,305.03
2001-11-16,311.944
2001-11-19,317.923
2001-11-20,314.677
2001-11-21,312.665
2001-11-22,315.977
2001-11-23,316.226
2001-11-26,314.64
2001-11-27,310.118
2001-11-28,310.105
2001-11-29,312.17
2001-11-30,314.287
2001-12-03,310.48
2001-12-04,314.599
2001-12-05,323.126
2001-12-06,324.943
2001-12-07,322.984
2001-12-10,316.894
2001-12-11,316.962
2001-12-12,314.985
2001-12-13,309.086
2001-12-14,309.112
2001-12-17,318.079
2001-12-18,314.758
2001-12-19,310.594
2001-12-20,307.697
2001-12-21,310.167
2001-12-24,307.1
2001-12-25,307.1
2001-12-26,307.362
2001-12-27,315.638
2001-12-28,314.219
2001-12-31,317.299
2002-01-01,317.302
2002-01-02,319.586
2002-01-03,323.967
2002-01-04,320.388
2002-01-07,317.749
2002-01-08,319.717
2002-01-09,318.664
2002-01-10,314.379
2002-01-11,315.555
2002-01-14,310.137
2002-01-15,312.976
2002-01-16,307.87
2002-01-17,310.827
2002-01-18,313.484
2002-01-21,310.317
2002-01-22,312.187
2002-01-23,314.569
2002-01-24,314.336
2002-01-25,311.628
2002-01-28,313.623
2002-01-29,311.575
2002-01-30,310.304
2002-01-31,311.769
2002-02-01,312.161
2002-02-04,310.172
2002-02-05,305.685
2002-02-06,301.398
2002-02-07,301.484
2002-02-08,303.349
2002-02-11,304.75
2002-02-12,301.825
2002-02-13,304.816
2002-02-14,307.889
2002-02-15,305.692
2002-02-18,303.279
2002-02-19,298.46
2002-02-20,298.441
2002-02-21,301.563
2002-02-22,302.071
2002-02-25,302.887
2002-02-26,303.658
2002-02-27,310.738
2002-02-28,311.629
2002-03-01,313.345
2002-03-04,320.834
2002-03-05,319.087
2002-03-06,323.881
2002-03-07,325.114
2002-03-08,327.726
2002-03-11,327.001
2002-03-12,324.195
2002-03-13,328.328
2002-03-14,332.294
2002-03-15,334.721
2002-03-18,331.221
2002-03-19,334.594
2002-03-20,333.527
2002-03-21,333.766
2002-03-22,334.225
2002-03-25,330.641
2002-03-26,331.385
