Date,FINLAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,778.576
2001-01-02,763.088
2001-01-03,706.964
2001-01-04,770.662
2001-01-05,779.342
2001-01-08,756.889
2001-01-09,697.974
2001-01-10,689.27
2001-01-11,726.514
2001-01-12,740.337
2001-01-15,734.135
2001-01-16,699.442
2001-01-17,721.432
2001-01-18,730.73
2001-01-19,720.753
2001-01-22,708.187
2001-01-23,701.61
2001-01-24,695.866
2001-01-25,677.313
2001-01-26,671.151
2001-01-29,660.544
2001-01-30,636.895
2001-01-31,652.24
2001-02-01,636.209
2001-02-02,625.36
2001-02-05,617.741
2001-02-06,630.138
2001-02-07,599.279
2001-02-08,583.532
2001-02-09,545.28
2001-02-12,562.6
2001-02-13,554.015
2001-02-14,520.208
2001-02-15,550.299
2001-02-16,527.185
2001-02-19,519.822
2001-02-20,514.319
2001-02-21,497.643
2001-02-22,468.106
2001-02-23,445.925
2001-02-26,457.15
2001-02-27,471.018
2001-02-28,467.725
2001-03-01,466.659
2001-03-02,493.167
2001-03-05,509.687
2001-03-06,529.997
2001-03-07,518.077
2001-03-08,501.155
2001-03-09,492.847
2001-03-12,461.299
2001-03-13,466.595
2001-03-14,461.873
2001-03-15,497.368
2001-03-16,484.704
2001-03-19,497.27
2001-03-20,516.31
2001-03-21,493.114
2001-03-22,465.033
2001-03-23,497.875
2001-03-26,520.026
2001-03-27,507.504
2001-03-28,496.038
2001-03-29,470.397
2001-03-30,469.693
2001-04-02,467.992
2001-04-03,447.329
2001-04-04,451.656
2001-04-05,473.13
2001-04-06,470.821
2001-04-09,473.942
2001-04-10,492.633
2001-04-11,510.48
2001-04-12,515.558
2001-04-13,515.558
2001-04-16,510.278
2001-04-17,492.688
2001-04-18,535.73
2001-04-19,557.662
2001-04-20,576.252
2001-04-23,567.563
2001-04-24,563.35
2001-04-25,559.413
2001-04-26,570.724
2001-04-27,589.82
2001-04-30,611.699
2001-05-01,614.942
2001-05-02,617.643
2001-05-03,602.958
2001-05-04,607.233
2001-05-07,609.27
2001-05-08,597.855
2001-05-09,588.192
2001-05-10,609.831
2001-05-11,592.256
2001-05-14,575.658
2001-05-15,582.111
2001-05-16,583.097
2001-05-17,611.409
2001-05-18,622.497
2001-05-21,624.359
2001-05-22,626.208
2001-05-23,607.568
2001-05-24,605.274
2001-05-25,591.337
2001-05-28,592.277
2001-05-29,579.432
2001-05-30,559.753
2001-05-31,552.346
2001-06-01,551.484
2001-06-04,554.443
2001-06-05,572.203
2001-06-06,573.912
2001-06-07,574.372
2001-06-08,570.919
2001-06-11,550.58
2001-06-12,465.084
2001-06-13,481.398
2001-06-14,459.99
2001-06-15,456.434
2001-06-18,456.668
2001-06-19,464.371
2001-06-20,451.275
2001-06-21,459.21
2001-06-22,459.676
2001-06-25,462.143
2001-06-26,453.207
2001-06-27,450.955
2001-06-28,444.942
2001-06-29,458.028
2001-07-02,464.38
2001-07-03,458.268
2001-07-04,448.767
2001-07-05,430.978
2001-07-06,415.948
2001-07-09,408.882
2001-07-10,408.008
2001-07-11,397.145
2001-07-12,406.339
2001-07-13,400.204
2001-07-16,392.819
2001-07-17,382.157
2001-07-18,391.226
2001-07-19,423.333
2001-07-20,412.519
2001-07-23,411.039
2001-07-24,413.972
2001-07-25,411.203
2001-07-26,414.785
2001-07-27,429.382
2001-07-30,440.54
2001-07-31,445.292
2001-08-01,444.496
2001-08-02,456.702
2001-08-03,456.289
2001-08-06,445.331
2001-08-07,445.197
2001-08-08,433.181
2001-08-09,417.444
2001-08-10,405.876
2001-08-13,414.693
2001-08-14,423.188
2001-08-15,418.088
2001-08-16,406.356
2001-08-17,395.305
2001-08-20,388.689
2001-08-21,395.181
2001-08-22,398.866
2001-08-23,400.942
2001-08-24,402.26
2001-08-27,395.53
2001-08-28,386.269
2001-08-29,376.548
2001-08-30,362.097
2001-08-31,367.928
2001-09-03,364.534
2001-09-04,359.795
2001-09-05,346.86
2001-09-06,336.825
2001-09-07,330.134
2001-09-10,335.457
2001-09-11,325.195
2001-09-12,344.126
2001-09-13,353.166
2001-09-14,340.654
2001-09-17,350.685
2001-09-18,354.554
2001-09-19,361.292
2001-09-20,356.798
2001-09-21,344.308
2001-09-24,362.878
2001-09-25,371.417
2001-09-26,365.265
2001-09-27,349.38
2001-09-28,360.678
2001-10-01,346.848
2001-10-02,353.635
2001-10-03,347.913
2001-10-04,371.634
2001-10-05,375.171
2001-10-08,379.669
2001-10-09,386.716
2001-10-10,390.772
2001-10-11,406.239
2001-10-12,409.142
2001-10-15,398.83
2001-10-16,409.627
2001-10-17,423.709
2001-10-18,404.269
2001-10-19,414.828
2001-10-22,420.339
2001-10-23,439.799
2001-10-24,446.915
2001-10-25,436.072
2001-10-26,444.004
2001-10-29,442.259
2001-10-30,423.884
2001-10-31,438.059
2001-11-01,437.648
2001-11-02,444.73
2001-11-05,453.831
2001-11-06,461.785
2001-11-07,457.225
2001-11-08,473.161
2001-11-09,461.363
2001-11-12,452.323
2001-11-13,471.185
2001-11-14,480.176
2001-11-15,490.115
2001-11-16,498.242
2001-11-19,487.911
2001-11-20,472.772
2001-11-21,467.536
2001-11-22,484.969
2001-11-23,484.503
2001-11-26,493.998
2001-11-27,474.102
2001-11-28,466.67
2001-11-29,458.984
2001-11-30,476.205
2001-12-03,466.594
2001-12-04,479.96
2001-12-05,498.61
2001-12-06,500.322
2001-12-07,502.832
