Date,FINLAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,112.316
1994-06-30,108.602
1994-07-29,120.284
1994-08-31,130.45
1994-09-30,132.061
1994-10-31,143.271
1994-11-30,128.158
1994-12-30,132.692
1995-01-31,129.818
1995-02-28,129.135
1995-03-31,126.346
1995-04-28,143.914
1995-05-31,145.247
1995-06-30,158.575
1995-07-31,173.01
1995-08-31,167.973
1995-09-29,174.116
1995-10-31,152.797
1995-11-30,150.122
1995-12-29,132.596
1996-01-31,130.378
1996-02-29,134.315
1996-03-29,133.309
1996-04-30,137.28
1996-05-31,149.188
1996-06-28,147.453
1996-07-31,149.64
1996-08-30,163.575
1996-09-30,161.531
1996-10-31,164.953
1996-11-29,175.823
1996-12-31,182.95
1997-01-31,191.656
1997-02-28,194.31
1997-03-31,195.043
1997-04-30,192.743
1997-05-30,201.172
1997-06-30,210.604
1997-07-31,225.733
1997-08-29,209.42
1997-09-30,241.619
1997-10-31,228.008
1997-11-28,219.046
1997-12-31,208.027
1998-01-30,222.433
1998-02-27,256.629
1998-03-31,268.152
1998-04-30,311.102
1998-05-29,310.721
1998-06-30,320.643
1998-07-31,341.374
1998-08-31,281.976
1998-09-30,284.848
1998-10-30,312.163
1998-11-30,332.791
1998-12-31,383.35
1999-01-29,410.247
1999-02-26,388.218
1999-03-31,430.767
1999-04-30,436.943
1999-05-31,415.183
1999-06-30,469.14
1999-07-30,478.462
1999-08-31,467.299
1999-09-30,489.476
1999-10-29,565.829
1999-11-30,675.349
1999-12-31,872.149
2000-01-31,872.36
2000-02-29,935.182
2000-03-31,957.549
2000-04-28,973.085
2000-05-31,882.617
2000-06-30,878.908
2000-07-31,776.633
2000-08-31,755.261
2000-09-29,690.912
2000-10-31,683.136
2000-11-30,684.204
2000-12-29,734.636
2001-01-31,615.43
2001-02-28,441.349
2001-03-30,445.022
2001-04-30,580.778
2001-05-31,524.429
2001-06-29,434.877
2001-07-31,422.785
2001-08-31,349.332
2001-09-28,342.448
2001-10-31,415.918
2001-11-30,452.136
2001-12-31,480.788
2002-01-31,448.033
2002-02-28,433.415
2002-03-29,442.381
2002-04-30,383.615
2002-05-31,369.389
2002-06-28,373.775
2002-07-31,320.793
2002-08-30,333.347
2002-09-30,318.521
2002-10-31,385.185
2002-11-29,435.402
2002-12-31,379.663
2003-01-31,344.428
2003-02-28,331.617
2003-03-31,342.372
2003-04-30,407.823
2003-05-30,427.877
2003-06-30,406.042
2003-07-31,396.78
2003-08-29,420.482
2003-09-30,407.083
2003-10-31,449.523
2003-11-28,475.438
2003-12-31,468.66
2004-01-30,524.182
2004-02-27,555.655
2004-03-31,537.55
2004-04-30,428.959
2004-05-31,424.472
