Date,FINLAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,734.636
2001-01-02,720.022
2001-01-03,667.065
2001-01-04,727.168
2001-01-05,735.359
2001-01-08,714.173
2001-01-09,658.583
2001-01-10,650.37
2001-01-11,685.512
2001-01-12,698.555
2001-01-15,692.703
2001-01-16,659.968
2001-01-17,680.717
2001-01-18,689.49
2001-01-19,680.076
2001-01-22,668.22
2001-01-23,662.014
2001-01-24,656.594
2001-01-25,639.088
2001-01-26,633.274
2001-01-29,623.265
2001-01-30,600.951
2001-01-31,615.43
2001-02-01,600.304
2001-02-02,590.067
2001-02-05,582.878
2001-02-06,594.575
2001-02-07,565.458
2001-02-08,550.6
2001-02-09,514.506
2001-02-12,530.848
2001-02-13,522.748
2001-02-14,490.849
2001-02-15,519.242
2001-02-16,497.433
2001-02-19,490.485
2001-02-20,485.292
2001-02-21,469.558
2001-02-22,441.687
2001-02-23,420.758
2001-02-26,431.37
2001-02-27,444.456
2001-02-28,441.349
2001-03-01,440.343
2001-03-02,465.356
2001-03-05,480.944
2001-03-06,500.109
2001-03-07,488.861
2001-03-08,472.911
2001-03-09,465.078
2001-03-12,435.308
2001-03-13,440.305
2001-03-14,435.87
2001-03-15,469.371
2001-03-16,457.428
2001-03-19,469.302
2001-03-20,487.271
2001-03-21,465.686
2001-03-22,440.127
2001-03-23,471.495
2001-03-26,492.473
2001-03-27,480.63
2001-03-28,469.771
2001-03-29,445.55
2001-03-30,445.022
2001-04-02,443.411
2001-04-03,423.842
2001-04-04,428.013
2001-04-05,448.494
2001-04-06,446.61
2001-04-09,449.572
2001-04-10,467.362
2001-04-11,484.636
2001-04-12,489.457
2001-04-13,489.457
2001-04-16,484.444
2001-04-17,467.744
2001-04-18,508.607
2001-04-19,529.428
2001-04-20,547.108
2001-04-23,538.864
2001-04-24,534.868
2001-04-25,531.13
2001-04-26,541.869
2001-04-27,560.005
2001-04-30,580.778
2001-05-01,583.857
2001-05-02,586.423
2001-05-03,572.48
2001-05-04,576.538
2001-05-07,578.473
2001-05-08,567.634
2001-05-09,558.46
2001-05-10,579.005
2001-05-11,562.318
2001-05-14,546.559
2001-05-15,552.686
2001-05-16,553.625
2001-05-17,580.506
2001-05-18,591.033
2001-05-21,592.802
2001-05-22,594.557
2001-05-23,576.859
2001-05-24,574.681
2001-05-25,561.448
2001-05-28,562.342
2001-05-29,550.145
2001-05-30,531.461
2001-05-31,524.429
2001-06-01,523.61
2001-06-04,526.42
2001-06-05,543.282
2001-06-06,544.905
2001-06-07,545.341
2001-06-08,542.063
2001-06-11,522.752
2001-06-12,441.577
2001-06-13,457.066
2001-06-14,436.74
2001-06-15,433.364
2001-06-18,433.586
2001-06-19,440.9
2001-06-20,428.466
2001-06-21,435.999
2001-06-22,436.442
2001-06-25,438.785
2001-06-26,430.3
2001-06-27,428.162
2001-06-28,422.453
2001-06-29,434.877
2001-07-02,440.908
2001-07-03,435.106
2001-07-04,426.085
2001-07-05,409.195
2001-07-06,394.924
2001-07-09,388.216
2001-07-10,387.386
2001-07-11,377.071
2001-07-12,385.801
2001-07-13,379.977
2001-07-16,372.964
2001-07-17,362.841
2001-07-18,371.452
2001-07-19,401.936
2001-07-20,391.669
2001-07-23,390.264
2001-07-24,393.048
2001-07-25,390.42
2001-07-26,393.821
2001-07-27,407.679
2001-07-30,418.273
2001-07-31,422.785
2001-08-01,422.03
2001-08-02,433.618
2001-08-03,433.226
2001-08-06,422.822
2001-08-07,422.695
2001-08-08,411.286
2001-08-09,396.345
2001-08-10,385.362
2001-08-13,393.733
2001-08-14,401.799
2001-08-15,396.956
2001-08-16,385.818
2001-08-17,375.325
2001-08-20,369.043
2001-08-21,375.207
2001-08-22,378.706
2001-08-23,380.677
2001-08-24,381.928
2001-08-27,375.538
2001-08-28,366.745
2001-08-29,357.516
2001-08-30,343.795
2001-08-31,349.332
2001-09-03,346.109
2001-09-04,341.61
2001-09-05,329.328
2001-09-06,319.801
2001-09-07,313.448
2001-09-10,318.501
2001-09-11,308.758
2001-09-12,326.733
2001-09-13,335.316
2001-09-14,323.436
2001-09-17,332.96
2001-09-18,336.634
2001-09-19,343.031
2001-09-20,338.765
2001-09-21,326.905
2001-09-24,344.537
2001-09-25,352.644
2001-09-26,346.803
2001-09-27,331.721
2001-09-28,342.448
2001-10-01,329.317
2001-10-02,335.761
2001-10-03,330.328
2001-10-04,352.85
2001-10-05,356.209
2001-10-08,360.48
2001-10-09,367.17
2001-10-10,371.021
2001-10-11,385.706
2001-10-12,388.463
2001-10-15,378.672
2001-10-16,388.923
2001-10-17,402.293
2001-10-18,383.836
2001-10-19,393.861
2001-10-22,399.093
2001-10-23,417.57
2001-10-24,424.326
2001-10-25,414.031
2001-10-26,421.562
2001-10-29,419.906
2001-10-30,402.46
2001-10-31,415.918
2001-11-01,415.527
2001-11-02,422.252
2001-11-05,430.893
2001-11-06,438.445
2001-11-07,434.115
2001-11-08,449.246
2001-11-09,438.044
2001-11-12,429.461
2001-11-13,447.37
2001-11-14,455.906
2001-11-15,465.343
2001-11-16,473.059
2001-11-19,463.251
2001-11-20,448.876
2001-11-21,443.905
2001-11-22,460.457
2001-11-23,460.014
2001-11-26,469.029
2001-11-27,450.139
2001-11-28,443.083
2001-11-29,435.785
2001-11-30,452.136
2001-12-03,443.011
2001-12-04,455.701
2001-12-05,473.408
2001-12-06,475.034
2001-12-07,477.418
2001-12-10,462.706
2001-12-11,477.88
2001-12-12,476.136
2001-12-13,460.189
2001-12-14,459.429
2001-12-17,475.339
2001-12-18,477.259
2001-12-19,465.046
2001-12-20,455.732
2001-12-21,461.809
2001-12-24,457.201
2001-12-25,457.201
2001-12-26,457.591
2001-12-27,469.892
2001-12-28,476.165
2001-12-31,480.788
2002-01-01,480.788
2002-01-02,477.65
2002-01-03,497.485
2002-01-04,495.854
2002-01-07,492.351
2002-01-08,470.713
2002-01-09,463.663
2002-01-10,457.863
2002-01-11,464.312
2002-01-14,442.849
2002-01-15,445.557
2002-01-16,437.268
2002-01-17,445.317
2002-01-18,444.715
2002-01-21,427.367
2002-01-22,427.062
2002-01-23,432.613
2002-01-24,458.07
2002-01-25,444.919
2002-01-28,452.348
2002-01-29,450.051
2002-01-30,437.919
2002-01-31,448.033
2002-02-01,455.749
2002-02-04,454.492
2002-02-05,437.496
2002-02-06,429.904
2002-02-07,437.769
2002-02-08,434.206
2002-02-11,447.602
2002-02-12,451.92
2002-02-13,454.503
2002-02-14,455.893
2002-02-15,447.368
2002-02-18,441.069
2002-02-19,428.629
2002-02-20,417.99
2002-02-21,423.215
2002-02-22,414.478
2002-02-25,421.411
2002-02-26,427.148
2002-02-27,432.855
2002-02-28,433.415
2002-03-01,433.645
2002-03-04,458.827
2002-03-05,457.125
2002-03-06,464.71
2002-03-07,476.997
2002-03-08,479.347
2002-03-11,472.139
2002-03-12,451.571
2002-03-13,453.015
2002-03-14,452.338
2002-03-15,452.904
2002-03-18,460.008
2002-03-19,451.537
2002-03-20,441.896
2002-03-21,439.69
2002-03-22,445.23
2002-03-25,443.063
2002-03-26,439.682
2002-03-27,442.559
2002-03-28,442.381
2002-03-29,442.381
2002-04-01,446.007
2002-04-02,439.471
2002-04-03,440.594
2002-04-04,435.536
2002-04-05,435.352
2002-04-08,420.376
2002-04-09,427.213
2002-04-10,421.543
2002-04-11,414.124
2002-04-12,416.156
2002-04-15,422.953
2002-04-16,438.31
2002-04-17,447.171
2002-04-18,414.518
2002-04-19,402.588
2002-04-22,391.847
2002-04-23,389.898
2002-04-24,377.85
2002-04-25,385.289
2002-04-26,387.992
2002-04-29,382.883
2002-04-30,383.615
2002-05-01,385.786
2002-05-02,391.689
2002-05-03,379.346
2002-05-06,377.214
2002-05-07,376.448
2002-05-08,389.538
2002-05-09,389.453
2002-05-10,383.644
2002-05-13,386.431
2002-05-14,392.778
2002-05-15,397.092
2002-05-16,392.289
2002-05-17,395.396
2002-05-20,392.803
2002-05-21,387.504
2002-05-22,374.807
2002-05-23,367.813
2002-05-24,368.276
2002-05-27,365.131
2002-05-28,368.548
2002-05-29,365.322
2002-05-30,359.931
2002-05-31,369.389
2002-06-03,361.058
2002-06-04,352.418
2002-06-05,357.899
2002-06-06,355.892
2002-06-07,337.672
2002-06-10,342.127
2002-06-11,354.242
2002-06-12,341.782
2002-06-13,338.7
2002-06-14,339.242
2002-06-17,351.794
2002-06-18,353.123
2002-06-19,343.785
2002-06-20,346.44
2002-06-21,348.128
2002-06-24,332.314
2002-06-25,337.625
2002-06-26,343.87
2002-06-27,356.475
2002-06-28,373.775
2002-07-01,371.69
2002-07-02,358.071
2002-07-03,353.071
2002-07-04,364.876
2002-07-05,378.825
2002-07-08,381.624
2002-07-09,376.086
2002-07-10,367.022
2002-07-11,357.549
2002-07-12,359.838
2002-07-15,352.128
2002-07-16,352.314
2002-07-17,365.852
2002-07-18,355.169
2002-07-19,342.785
2002-07-22,333.554
2002-07-23,308.792
2002-07-24,295.383
2002-07-25,301.474
2002-07-26,300.037
2002-07-29,315.613
2002-07-30,323.707
2002-07-31,320.793
2002-08-01,310.731
2002-08-02,301.073
2002-08-05,287.902
2002-08-06,293.609
2002-08-07,297.818
2002-08-08,304.907
2002-08-09,320.39
2002-08-12,320.835
2002-08-13,319.456
2002-08-14,309.513
2002-08-15,320.019
2002-08-16,328.848
2002-08-19,341.179
2002-08-20,340.819
2002-08-21,347.69
2002-08-22,356.551
2002-08-23,350.16
2002-08-26,342.358
2002-08-27,350.707
2002-08-28,338.491
2002-08-29,335.203
2002-08-30,333.347
2002-09-02,328.984
2002-09-03,317.776
2002-09-04,318.911
2002-09-05,326.057
2002-09-06,340.1
2002-09-09,338.2
2002-09-10,336.299
2002-09-11,353.645
2002-09-12,343.149
2002-09-13,339.791
2002-09-16,329.772
2002-09-17,329.834
2002-09-18,316.663
2002-09-19,316.743
2002-09-20,318.045
2002-09-23,309.789
2002-09-24,301.856
2002-09-25,311.634
2002-09-26,333.643
2002-09-27,334.166
2002-09-30,318.521
2002-10-01,322.014
2002-10-02,334.497
2002-10-03,329.239
2002-10-04,315.925
2002-10-07,312.374
2002-10-08,308.125
2002-10-09,310.721
2002-10-10,317.943
2002-10-11,336.625
2002-10-14,334.866
2002-10-15,358.5
2002-10-16,345.284
2002-10-17,369.503
2002-10-18,371.435
2002-10-21,369.105
2002-10-22,376.666
2002-10-23,363.309
2002-10-24,377.75
2002-10-25,374.376
2002-10-28,386.792
2002-10-29,367.645
2002-10-30,373.612
2002-10-31,385.185
2002-11-01,375.559
2002-11-04,398.482
2002-11-05,402.768
2002-11-06,391.246
2002-11-07,387.033
2002-11-08,382.528
2002-11-11,369.714
2002-11-12,377.725
2002-11-13,384.79
2002-11-14,401.142
2002-11-15,401.611
2002-11-18,412.211
2002-11-19,402.013
2002-11-20,403.481
2002-11-21,423.349
2002-11-22,421.772
2002-11-25,427.382
2002-11-26,416.671
2002-11-27,429.483
2002-11-28,441.512
2002-11-29,435.402
2002-12-02,444.966
2002-12-03,418.133
2002-12-04,422.892
2002-12-05,418.416
2002-12-06,421.49
2002-12-09,410.905
2002-12-10,399.982
2002-12-11,394.879
2002-12-12,399.317
2002-12-13,393.509
2002-12-16,402.612
2002-12-17,402.27
2002-12-18,388.066
2002-12-19,384.649
2002-12-20,382.58
2002-12-23,383.006
2002-12-24,384.591
2002-12-25,384.591
2002-12-26,385.561
2002-12-27,373.305
2002-12-30,378.18
2002-12-31,379.663
2003-01-01,379.663
2003-01-02,395.426
2003-01-03,398.533
2003-01-06,400.981
2003-01-07,392.566
2003-01-08,375.822
2003-01-09,390.92
2003-01-10,393.73
2003-01-13,392.443
2003-01-14,399.69
2003-01-15,392.551
2003-01-16,383.337
2003-01-17,375.429
2003-01-20,373.215
2003-01-21,373.115
2003-01-22,375.482
2003-01-23,365.4
2003-01-24,366.1
2003-01-27,355.102
2003-01-28,351.095
2003-01-29,357.439
2003-01-30,359.645
2003-01-31,344.428
2003-02-03,354.988
2003-02-04,349.828
2003-02-05,348.647
2003-02-06,342.542
2003-02-07,341.533
2003-02-10,338.87
2003-02-11,351.373
2003-02-12,343.52
2003-02-13,335.278
2003-02-14,343.188
2003-02-17,348.051
2003-02-18,351.657
2003-02-19,345.26
2003-02-20,340.98
2003-02-21,339.368
2003-02-24,341.699
2003-02-25,327.346
2003-02-26,325.233
2003-02-27,322.785
2003-02-28,331.617
2003-03-03,334.349
2003-03-04,329.8
2003-03-05,329.212
2003-03-06,329.164
2003-03-07,317.657
2003-03-10,318.087
2003-03-11,320.911
2003-03-12,330.058
2003-03-13,335.036
2003-03-14,347.466
2003-03-17,356.968
2003-03-18,360.8
2003-03-19,362.528
2003-03-20,358.876
2003-03-21,370.111
2003-03-24,357.391
2003-03-25,357.496
2003-03-26,356.362
2003-03-27,354.037
2003-03-28,357.738
2003-03-31,342.372
2003-04-01,350.843
2003-04-02,364.14
2003-04-03,366.397
2003-04-04,361.929
2003-04-07,375.035
2003-04-08,363.879
2003-04-09,366.755
2003-04-10,354.463
2003-04-11,356.068
2003-04-14,359.154
2003-04-15,366.602
2003-04-16,366.426
2003-04-17,387.003
2003-04-18,387.003
2003-04-21,385.334
2003-04-22,393.425
2003-04-23,402.769
2003-04-24,401.169
2003-04-25,389.723
2003-04-28,397.984
2003-04-29,401.734
2003-04-30,407.823
2003-05-01,411.569
2003-05-02,400.247
2003-05-05,413.468
2003-05-06,413.69
2003-05-07,418.547
2003-05-08,409.727
2003-05-09,407.329
2003-05-12,415.55
2003-05-13,419.098
2003-05-14,414.753
2003-05-15,422.174
2003-05-16,422.689
2003-05-19,413.914
2003-05-20,406.989
2003-05-21,401.997
2003-05-22,409.517
2003-05-23,405.758
2003-05-26,404.902
