Date,IRELAND SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,107.652
2001-02-28,113.311
2001-03-30,93.784
2001-04-30,101.3
2001-05-31,101.934
2001-06-29,106.336
2001-07-31,106.793
2001-08-31,108.861
2001-09-28,92.55
2001-10-31,98.939
2001-11-30,110.206
2001-12-31,116.702
2002-01-31,114.363
2002-02-28,114.238
2002-03-29,123.738
2002-04-30,133.02
2002-05-31,141.35
2002-06-28,141.01
2002-07-31,129.592
2002-08-30,134.696
2002-09-30,120.356
2002-10-31,127.831
2002-11-29,134.848
2002-12-31,136.204
2003-01-31,153.986
2003-02-28,137.989
2003-03-31,138.067
2003-04-30,151.868
2003-05-30,186.444
2003-06-30,181.734
2003-07-31,177.718
2003-08-29,174.429
2003-09-30,190.952
2003-10-31,204.486
2003-11-28,214.508
2003-12-31,226.68
2004-01-30,239.671
2004-02-27,238.666
2004-03-31,229.918
2004-04-30,226.754
2004-05-31,233.702
2004-06-30,246.053
2004-07-30,237.673
2004-08-31,241.667
2004-09-30,253.313
2004-10-29,269.403
2004-11-30,293.508
2004-12-31,308.166
2005-01-31,312.856
2005-02-28,322.931
2005-03-31,305.33
2005-04-29,299.609
2005-05-31,296.602
2005-06-30,305.702
2005-07-29,319.243
2005-08-31,324.432
2005-09-30,311.545
2005-10-31,297.65
2005-11-30,288.556
2005-12-30,314.601
2006-01-31,332.458
2006-02-28,321.909
2006-03-31,338.26
2006-04-28,354.66
2006-05-31,336.514
2006-06-30,314.971
2006-07-31,321.115
2006-08-31,342.73
2006-09-29,334.014
2006-10-31,362.383
2006-11-30,382.042
2006-12-29,407.148
2007-01-31,408.535
2007-02-28,424.168
2007-03-30,454.256
2007-04-30,456.649
2007-05-31,461.323
2007-06-29,468.653
2007-07-31,463.06
2007-08-31,439.675
2007-09-28,451.183
2007-10-31,498.836
2007-11-30,452.662
2007-12-31,474.178
2008-01-31,467.914
2008-02-29,485.227
2008-03-31,503.779
2008-04-30,489.89
2008-05-30,502.473
2008-06-30,440.951
2008-07-31,415.865
2008-08-29,408.625
2008-09-30,328.472
2008-10-31,229.193
2008-11-28,192.147
2008-12-31,215.239
2009-01-30,178.783
2009-02-27,145.052
2009-03-31,183.281
2009-04-30,250.531
2009-05-29,356.804
2009-06-30,363.65
2009-07-31,387.112
2009-08-31,496.599
2009-09-30,579.199
2009-10-30,451.568
2009-11-30,430.448
2009-12-31,407.09
2010-01-29,389.079
2010-02-26,342.724
2010-03-31,402.975
2010-04-30,428.512
2010-05-31,328.962
2010-06-30,325.485
2010-07-30,362.933
2010-08-31,335.348
2010-09-30,363.479
2010-10-29,372.855
2010-11-30,331.319
2010-12-31,375.974
2011-01-31,375.658
2011-02-28,400.168
2011-03-31,389.041
2011-04-29,418.682
2011-05-31,410.791
2011-06-30,398.304
2011-07-29,373.357
2011-08-31,342.104
2011-09-30,310.199
2011-10-31,351.255
2011-11-30,323.859
2011-12-30,306.316
2012-01-31,348.505
2012-02-29,404.747
2012-03-30,393.411
2012-04-30,387.471
2012-05-31,334.719
2012-06-29,346.466
2012-07-31,352.507
2012-08-31,370.572
2012-09-28,407.284
2012-10-31,407.978
2012-11-30,445.177
2012-12-31,473.934
2013-01-31,521.674
2013-02-28,522.097
2013-03-29,557.977
2013-04-30,569.284
2013-05-31,593.706
2013-06-28,591.757
2013-07-31,630.89
2013-08-30,642.691
2013-09-30,676.698
2013-10-31,705.186
2013-11-29,704.148
2013-12-31,735.801
2014-01-31,714.019
2014-02-28,797.918
2014-03-31,747.92
2014-04-30,712.93
2014-05-30,718.345
2014-06-30,688.015
2014-07-31,676.645
2014-08-29,680.361
2014-09-30,664.787
2014-10-31,638.137
2014-11-28,687.79
2014-12-31,697.74
2015-01-30,702.399
2015-02-27,762.869
2015-03-31,772.737
2015-04-30,814.766
2015-05-29,826.534
2015-06-30,810.974
2015-07-31,859.207
2015-08-31,875.737
2015-09-30,839.371
2015-10-30,875.349
2015-11-30,882.812
2015-12-31,887.032
2016-01-29,859.074
2016-02-29,872.421
2016-03-31,950.233
2016-04-29,941.679
2016-05-31,959.484
2016-06-30,825.976
2016-07-29,870.649
2016-08-31,919.163
2016-09-30,891.602
2016-10-31,828.232
2016-11-30,848.354
2016-12-30,865.182
2017-01-31,924.295
2017-02-28,961.701
2017-03-31,968.846
2017-04-28,1020.183
2017-05-31,1054.574
2017-06-30,1069.648
2017-07-31,1064.782
2017-08-31,1098.777
2017-09-29,1156.637
2017-10-31,1131.441
2017-11-30,1157.157
2017-12-29,1201.465
2018-01-31,1241.841
2018-02-28,1190.599
2018-03-30,1246.527
2018-04-30,1296.449
2018-05-31,1287.0
2018-06-29,1336.912
2018-07-31,1277.431
2018-08-31,1303.767
2018-09-28,1264.343
2018-10-31,1191.856
2018-11-30,1165.027
2018-12-31,1122.62
2019-01-31,1226.552
2019-02-28,1249.074
2019-03-29,1239.161
2019-04-30,1227.593
2019-05-31,1169.498
2019-06-28,1185.479
2019-07-31,1092.918
2019-08-30,1028.054
2019-09-30,1091.951
2019-10-31,1081.882
2019-11-29,1082.723
2019-12-31,1080.102
2020-01-31,1057.551
2020-02-28,969.694
2020-03-31,766.561
2020-04-30,833.005
2020-05-29,869.088
2020-06-30,908.256
2020-07-31,962.631
2020-08-31,983.072
2020-09-30,879.229
2020-10-30,920.186
2020-11-30,1169.124
2020-12-31,1295.582
2021-01-29,1222.658
2021-02-26,1326.603
2021-03-31,1493.778
2021-04-30,1629.564
2021-05-31,1774.038
2021-06-30,1576.729
2021-07-30,1580.475
2021-08-31,1733.712
2021-09-30,1643.2
2021-10-29,1656.048
2021-11-30,1475.803
2021-12-31,1582.411
2022-01-31,1669.422
2022-02-28,1646.399
2022-03-31,1590.964
2022-04-29,1540.586
2022-05-31,1617.578
2022-06-30,1457.918
2022-07-29,1430.961
2022-08-31,1486.147
2022-09-30,1447.957
2022-10-31,1601.765
2022-11-30,1736.562
2022-12-30,1762.846
2023-01-31,1851.029
2023-02-28,1855.417
2023-03-31,1973.107
2023-04-28,2061.171
2023-05-31,1977.775
2023-06-30,2058.006
2023-07-31,2047.909
2023-08-31,2101.992
2023-09-29,1991.952
2023-10-31,1914.589
2023-11-30,2112.698
2023-12-29,2223.606
2024-01-31,2337.919
2024-02-29,2272.129
2024-03-29,2422.674
2024-04-30,2362.386
2024-05-31,2486.776
2024-06-28,2336.263
2024-07-31,2485.163
2024-08-30,2419.559
2024-09-30,2447.673
2024-10-31,2369.26
2024-11-29,2248.856
2024-12-31,2201.302
2025-01-31,2302.618
2025-02-28,2092.461
2025-03-31,2086.92
2025-04-30,2358.885
2025-05-30,2651.563
2025-06-30,2743.223
2025-07-31,2740.65
2025-08-29,2945.747
2025-09-30,2872.897
2025-10-31,2852.699
2025-11-28,2913.826
2025-12-31,2905.268
