Date,IRELAND SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,107.652
2001-02-28,113.311
2001-03-30,93.784
2001-04-30,101.334
2001-05-31,102.107
2001-06-29,106.516
2001-07-31,107.008
2001-08-31,109.103
2001-09-28,92.756
2001-10-31,99.159
2001-11-30,110.451
2001-12-31,116.962
2002-01-31,114.618
2002-02-28,114.492
2002-03-29,124.013
2002-04-30,133.316
2002-05-31,141.665
2002-06-28,141.324
2002-07-31,129.88
2002-08-30,134.995
2002-09-30,120.624
2002-10-31,128.115
2002-11-29,135.148
2002-12-31,136.507
2003-01-31,154.328
2003-02-28,138.296
2003-03-31,138.374
2003-04-30,152.206
2003-05-30,186.859
2003-06-30,182.138
2003-07-31,178.114
2003-08-29,174.817
2003-09-30,191.376
2003-10-31,204.941
2003-11-28,214.985
2003-12-31,227.184
2004-01-30,240.204
2004-02-27,239.197
2004-03-31,230.429
2004-04-30,227.258
2004-05-31,234.222
2004-06-30,246.601
2004-07-30,238.201
2004-08-31,242.204
2004-09-30,253.876
2004-10-29,270.002
2004-11-30,294.16
2004-12-31,308.851
2005-01-31,313.552
2005-02-28,323.649
2005-03-31,306.009
2005-04-29,300.275
2005-05-31,297.261
2005-06-30,306.382
2005-07-29,319.953
2005-08-31,325.153
2005-09-30,312.385
2005-10-31,298.507
2005-11-30,289.847
2005-12-30,316.009
2006-01-31,333.946
2006-02-28,323.774
2006-03-31,340.22
2006-04-28,356.825
2006-05-31,339.043
2006-06-30,317.499
2006-07-31,323.693
2006-08-31,345.566
2006-09-29,336.966
2006-10-31,365.7
2006-11-30,385.759
2006-12-29,411.339
2007-01-31,412.74
2007-02-28,428.534
2007-03-30,459.248
2007-04-30,461.667
2007-05-31,466.57
2007-06-29,474.129
2007-07-31,468.471
2007-08-31,444.813
2007-09-28,456.623
2007-10-31,504.989
2007-11-30,458.483
2007-12-31,480.387
2008-01-31,474.087
2008-02-29,491.629
2008-03-31,510.672
2008-04-30,497.181
2008-05-30,510.541
2008-06-30,448.078
2008-07-31,422.586
2008-08-29,415.23
2008-09-30,334.143
2008-10-31,233.377
2008-11-28,195.776
2008-12-31,219.522
2009-01-30,182.34
2009-02-27,147.938
2009-03-31,187.072
2009-04-30,255.801
2009-05-29,364.678
2009-06-30,371.707
2009-07-31,395.688
2009-08-31,507.601
2009-09-30,592.194
2009-10-30,461.762
2009-11-30,440.42
2009-12-31,416.57
2010-01-29,398.139
2010-02-26,350.705
2010-03-31,412.522
2010-04-30,438.752
2010-05-31,337.102
2010-06-30,333.636
2010-07-30,372.021
2010-08-31,343.745
2010-09-30,372.814
2010-10-29,382.537
2010-11-30,340.201
2010-12-31,386.133
2011-01-31,385.809
2011-02-28,410.982
2011-03-31,399.918
2011-04-29,430.505
2011-05-31,423.013
2011-06-30,410.202
2011-07-29,384.51
2011-08-31,352.414
2011-09-30,319.724
2011-10-31,362.128
2011-11-30,334.147
2011-12-30,316.102
2012-01-31,359.639
2012-02-29,417.678
2012-03-30,406.395
2012-04-30,400.507
2012-05-31,346.34
2012-06-29,358.571
2012-07-31,364.867
2012-08-31,383.607
2012-09-28,421.937
2012-10-31,422.74
2012-11-30,461.556
2012-12-31,491.371
2013-01-31,540.868
2013-02-28,541.306
2013-03-29,578.864
2013-04-30,590.995
2013-05-31,616.795
2013-06-28,614.864
2013-07-31,655.524
2013-08-30,667.923
2013-09-30,703.884
2013-10-31,733.517
2013-11-29,732.59
2013-12-31,765.522
2014-01-31,742.86
2014-02-28,830.147
2014-03-31,778.671
2014-04-30,743.416
2014-05-30,749.302
2014-06-30,717.776
2014-07-31,705.914
2014-08-29,709.875
2014-09-30,694.045
2014-10-31,666.576
2014-11-28,718.668
2014-12-31,729.065
2015-01-30,733.953
2015-02-27,797.139
2015-03-31,807.898
2015-04-30,852.962
2015-05-29,865.494
2015-06-30,849.324
2015-07-31,899.838
2015-08-31,917.15
2015-09-30,879.5
2015-10-30,917.647
2015-11-30,925.617
2015-12-31,930.258
2016-01-29,900.977
2016-02-29,914.975
2016-03-31,996.786
2016-04-29,989.456
2016-05-31,1008.673
2016-06-30,868.321
2016-07-29,915.348
2016-08-31,966.465
2016-09-30,938.286
2016-10-31,871.904
2016-11-30,893.259
2016-12-30,911.211
2017-01-31,973.521
2017-02-28,1012.919
2017-03-31,1021.187
2017-04-28,1076.747
2017-05-31,1113.5
2017-06-30,1129.417
2017-07-31,1124.388
2017-08-31,1160.708
2017-09-29,1222.902
2017-10-31,1196.262
2017-11-30,1223.897
2017-12-29,1270.761
2018-01-31,1313.552
2018-02-28,1259.35
2018-03-30,1319.608
2018-04-30,1374.282
2018-05-31,1364.729
2018-06-29,1417.655
2018-07-31,1354.778
2018-08-31,1383.174
2018-09-28,1342.074
2018-10-31,1265.13
2018-11-30,1237.228
2018-12-31,1192.193
2019-01-31,1302.848
2019-02-28,1326.772
2019-03-29,1317.77
2019-04-30,1305.782
2019-05-31,1244.737
2019-06-28,1261.746
2019-07-31,1163.544
2019-08-30,1095.303
2019-09-30,1163.962
2019-10-31,1153.229
2019-11-29,1154.885
2019-12-31,1152.09
2020-01-31,1128.535
2020-02-28,1035.335
2020-03-31,819.966
2020-04-30,891.038
2020-05-29,929.635
2020-06-30,971.532
2020-07-31,1030.303
2020-08-31,1053.249
2020-09-30,941.993
2020-10-30,985.874
2020-11-30,1252.583
2020-12-31,1388.068
2021-01-29,1310.32
2021-02-26,1421.718
2021-03-31,1602.3
2021-04-30,1748.182
2021-05-31,1903.173
2021-06-30,1691.502
2021-07-30,1696.157
2021-08-31,1861.751
2021-09-30,1765.155
2021-10-29,1778.956
2021-11-30,1585.334
2021-12-31,1699.854
2022-01-31,1793.987
2022-02-28,1769.245
2022-03-31,1712.162
2022-04-29,1658.531
2022-05-31,1743.555
2022-06-30,1571.56
2022-07-29,1542.501
2022-08-31,1602.99
2022-09-30,1562.333
2022-10-31,1728.291
2022-11-30,1873.735
2022-12-30,1902.095
2023-01-31,1998.487
2023-02-28,2003.224
2023-03-31,2134.429
2023-04-28,2231.703
2023-05-31,2141.407
2023-06-30,2228.568
2023-07-31,2217.634
2023-08-31,2279.584
2023-09-29,2162.555
2023-10-31,2078.566
2023-11-30,2293.643
2023-12-29,2414.049
2024-01-31,2539.5
2024-02-29,2468.038
2024-03-29,2635.977
2024-04-30,2573.769
2024-05-31,2709.591
2024-06-28,2545.593
2024-07-31,2707.834
2024-08-30,2640.09
2024-09-30,2673.916
2024-10-31,2588.254
2024-11-29,2456.721
2024-12-31,2404.772
2025-01-31,2515.453
2025-02-28,2286.901
2025-03-31,2284.88
2025-04-30,2587.378
2025-05-30,2908.406
2025-06-30,3008.945
2025-07-31,3006.122
2025-08-29,3235.798
2025-09-30,3158.594
2025-10-31,3136.387
