Date,IRELAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,106.128
1994-06-30,102.354
1994-07-29,109.939
1994-08-31,114.134
1994-09-30,113.306
1994-10-31,117.306
1994-11-30,112.882
1994-12-30,114.331
1995-01-31,115.066
1995-02-28,118.288
1995-03-31,123.167
1995-04-28,126.309
1995-05-31,130.195
1995-06-30,137.686
1995-07-31,143.045
1995-08-31,142.004
1995-09-29,148.471
1995-10-31,148.643
1995-11-30,154.822
1995-12-29,160.492
1996-01-31,165.93
1996-02-29,171.519
1996-03-29,183.114
1996-04-30,187.463
1996-05-31,194.129
1996-06-28,196.589
1996-07-31,189.342
1996-08-30,196.551
1996-09-30,202.98
1996-10-31,203.573
1996-11-29,212.847
1996-12-31,216.971
1997-01-31,223.543
1997-02-28,232.3
1997-03-31,230.291
1997-04-30,222.698
1997-05-30,240.245
1997-06-30,250.591
1997-07-31,257.45
1997-08-29,255.626
1997-09-30,262.554
1997-10-31,265.843
1997-11-28,266.674
1997-12-31,270.903
1998-01-30,293.475
1998-02-27,336.657
1998-03-31,351.404
1998-04-30,373.64
1998-05-29,357.126
1998-06-30,336.946
1998-07-31,329.43
1998-08-31,276.704
1998-09-30,269.367
1998-10-30,282.17
1998-11-30,292.677
1998-12-31,302.756
1999-01-29,295.499
1999-02-26,307.016
1999-03-31,302.412
1999-04-30,314.428
1999-05-31,296.399
1999-06-30,278.423
1999-07-30,285.261
1999-08-31,277.333
1999-09-30,278.061
1999-10-29,263.186
1999-11-30,269.716
1999-12-31,290.472
2000-01-31,297.116
2000-02-29,309.078
2000-03-31,317.897
2000-04-28,280.391
2000-05-31,261.916
2000-06-30,251.108
2000-07-31,243.866
2000-08-31,243.785
2000-09-29,246.092
2000-10-31,250.299
2000-11-30,235.588
2000-12-29,269.902
2001-01-31,264.092
2001-02-28,260.588
2001-03-30,226.909
2001-04-30,245.042
2001-05-31,242.132
2001-06-29,247.406
2001-07-31,248.893
2001-08-31,253.553
2001-09-28,215.912
2001-10-31,226.657
2001-11-30,246.101
2001-12-31,252.987
2002-01-31,249.553
2002-02-28,252.879
2002-03-29,265.29
2002-04-30,277.689
2002-05-31,299.2
2002-06-28,281.763
2002-07-31,244.941
2002-08-30,250.643
2002-09-30,214.774
2002-10-31,230.413
2002-11-29,250.966
2002-12-31,237.512
2003-01-31,249.06
2003-02-28,230.494
2003-03-31,249.583
