Date,IRELAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,272.287
2001-01-02,273.214
2001-01-03,263.412
2001-01-04,269.461
2001-01-05,270.914
2001-01-08,265.804
2001-01-09,262.968
2001-01-10,259.65
2001-01-11,264.919
2001-01-12,265.486
2001-01-15,262.553
2001-01-16,260.734
2001-01-17,261.45
2001-01-18,266.032
2001-01-19,263.1
2001-01-22,263.268
2001-01-23,264.178
2001-01-24,260.771
2001-01-25,264.447
2001-01-26,261.724
2001-01-29,265.086
2001-01-30,265.336
2001-01-31,266.426
2001-02-01,270.132
2001-02-02,268.59
2001-02-05,269.569
2001-02-06,266.773
2001-02-07,268.891
2001-02-08,265.918
2001-02-09,266.276
2001-02-12,267.693
2001-02-13,265.105
2001-02-14,264.145
2001-02-15,262.066
2001-02-16,267.106
2001-02-19,264.779
2001-02-20,264.13
2001-02-21,262.997
2001-02-22,264.48
2001-02-23,264.338
2001-02-26,261.397
2001-02-27,266.114
2001-02-28,262.891
2001-03-01,261.628
2001-03-02,258.947
2001-03-05,261.21
2001-03-06,263.377
2001-03-07,264.06
2001-03-08,265.371
2001-03-09,261.025
2001-03-12,257.306
2001-03-13,251.522
2001-03-14,247.093
2001-03-15,244.02
2001-03-16,236.931
2001-03-19,235.334
2001-03-20,238.103
2001-03-21,230.018
2001-03-22,215.636
2001-03-23,225.006
2001-03-26,230.501
2001-03-27,235.248
2001-03-28,232.911
2001-03-29,228.662
2001-03-30,228.914
2001-04-02,227.005
2001-04-03,222.724
2001-04-04,225.069
2001-04-05,226.676
2001-04-06,229.526
2001-04-09,232.481
2001-04-10,233.556
2001-04-11,232.933
2001-04-12,235.196
2001-04-13,235.196
2001-04-16,232.788
2001-04-17,232.727
2001-04-18,233.13
2001-04-19,240.349
2001-04-20,246.144
2001-04-23,243.886
2001-04-24,241.645
2001-04-25,242.171
2001-04-26,245.079
2001-04-27,244.807
2001-04-30,246.983
2001-05-01,247.277
2001-05-02,248.124
2001-05-03,247.64
2001-05-04,249.08
2001-05-07,248.065
2001-05-08,248.473
