Date,IRELAND SMID CAP SMID (Small+Mid Cap)
2001-01-01,269.902
2001-01-02,270.821
2001-01-03,261.105
2001-01-04,267.1
2001-01-05,268.541
2001-01-08,263.476
2001-01-09,260.664
2001-01-10,257.376
2001-01-11,262.599
2001-01-12,263.161
2001-01-15,260.253
2001-01-16,258.451
2001-01-17,259.16
2001-01-18,263.702
2001-01-19,260.796
2001-01-22,260.962
2001-01-23,261.864
2001-01-24,258.487
2001-01-25,262.131
2001-01-26,259.431
2001-01-29,262.764
2001-01-30,263.012
2001-01-31,264.092
2001-02-01,267.766
2001-02-02,266.237
2001-02-05,267.208
2001-02-06,264.436
2001-02-07,266.536
2001-02-08,263.589
2001-02-09,263.943
2001-02-12,265.348
2001-02-13,262.783
2001-02-14,261.831
2001-02-15,259.771
2001-02-16,264.767
2001-02-19,262.459
2001-02-20,261.816
2001-02-21,260.694
2001-02-22,262.163
2001-02-23,262.022
2001-02-26,259.107
2001-02-27,263.783
2001-02-28,260.588
2001-03-01,259.336
2001-03-02,256.679
2001-03-05,258.923
2001-03-06,261.07
2001-03-07,261.747
2001-03-08,263.047
2001-03-09,258.738
2001-03-12,255.052
2001-03-13,249.319
2001-03-14,244.928
2001-03-15,241.883
2001-03-16,234.856
2001-03-19,233.273
2001-03-20,236.017
2001-03-21,228.004
2001-03-22,213.747
2001-03-23,223.035
2001-03-26,228.482
2001-03-27,233.188
2001-03-28,230.871
2001-03-29,226.659
2001-03-30,226.909
2001-04-02,225.017
2001-04-03,220.774
2001-04-04,223.098
2001-04-05,224.691
2001-04-06,227.516
2001-04-09,230.445
2001-04-10,231.51
2001-04-11,230.983
2001-04-12,233.227
2001-04-13,233.227
2001-04-16,230.839
2001-04-17,230.778
2001-04-18,231.178
2001-04-19,238.336
2001-04-20,244.084
2001-04-23,241.845
2001-04-24,239.622
2001-04-25,240.268
2001-04-26,243.154
2001-04-27,242.883
2001-04-30,245.042
2001-05-01,245.334
2001-05-02,246.191
2001-05-03,245.711
2001-05-04,247.14
2001-05-07,246.132
2001-05-08,246.537
2001-05-09,247.237
2001-05-10,249.031
2001-05-11,246.074
2001-05-14,247.691
2001-05-15,245.423
2001-05-16,247.76
2001-05-17,248.323
2001-05-18,247.535
2001-05-21,248.962
2001-05-22,248.664
2001-05-23,253.086
2001-05-24,249.335
2001-05-25,246.019
2001-05-28,247.696
2001-05-29,244.717
2001-05-30,245.112
2001-05-31,242.132
2001-06-01,243.664
2001-06-04,243.995
2001-06-05,248.238
2001-06-06,250.171
2001-06-07,251.709
2001-06-08,250.53
2001-06-11,246.959
2001-06-12,246.363
2001-06-13,248.13
2001-06-14,248.787
2001-06-15,250.669
2001-06-18,251.311
2001-06-19,249.442
2001-06-20,247.861
2001-06-21,249.773
2001-06-22,249.329
2001-06-25,252.262
2001-06-26,249.307
2001-06-27,248.327
2001-06-28,245.386
2001-06-29,247.406
2001-07-02,246.14
2001-07-03,247.3
2001-07-04,246.324
2001-07-05,241.616
2001-07-06,241.712
2001-07-09,245.361
2001-07-10,246.924
2001-07-11,246.556
2001-07-12,245.093
2001-07-13,247.071
2001-07-16,249.061
2001-07-17,248.266
2001-07-18,254.4
2001-07-19,256.174
2001-07-20,256.659
2001-07-23,254.518
2001-07-24,254.353
2001-07-25,252.29
2001-07-26,249.704
2001-07-27,250.14
2001-07-30,249.679
2001-07-31,248.893
2001-08-01,249.978
2001-08-02,252.196
2001-08-03,253.177
2001-08-06,251.886
2001-08-07,249.75
2001-08-08,247.968
2001-08-09,247.085
2001-08-10,247.886
2001-08-13,248.959
2001-08-14,249.271
2001-08-15,253.914
2001-08-16,253.52
2001-08-17,252.921
2001-08-20,251.906
2001-08-21,252.382
2001-08-22,254.758
2001-08-23,253.74
2001-08-24,253.85
2001-08-27,254.248
2001-08-28,255.299
2001-08-29,256.129
2001-08-30,254.932
2001-08-31,253.553
2001-09-03,253.664
2001-09-04,249.861
2001-09-05,247.651
2001-09-06,247.457
2001-09-07,248.751
2001-09-10,243.322
2001-09-11,238.706
2001-09-12,228.748
2001-09-13,230.028
2001-09-14,230.735
2001-09-17,227.383
2001-09-18,227.632
2001-09-19,226.862
2001-09-20,216.621
2001-09-21,204.993
2001-09-24,211.424
2001-09-25,215.254
2001-09-26,215.592
2001-09-27,214.868
2001-09-28,215.912
2001-10-01,215.717
2001-10-02,213.781
2001-10-03,214.82
2001-10-04,217.21
2001-10-05,218.734
2001-10-08,215.144
2001-10-09,215.235
2001-10-10,215.477
2001-10-11,219.836
2001-10-12,221.845
2001-10-15,221.189
2001-10-16,225.354
2001-10-17,227.724
2001-10-18,226.251
2001-10-19,222.8
2001-10-22,222.369
2001-10-23,224.457
2001-10-24,226.46
2001-10-25,226.737
2001-10-26,227.13
2001-10-29,227.13
2001-10-30,227.673
2001-10-31,226.657
2001-11-01,228.028
2001-11-02,227.81
2001-11-05,232.329
2001-11-06,236.217
2001-11-07,236.655
2001-11-08,234.687
2001-11-09,235.071
2001-11-12,234.435
2001-11-13,235.198
2001-11-14,237.902
2001-11-15,238.881
2001-11-16,240.687
2001-11-19,240.841
2001-11-20,242.427
2001-11-21,239.156
2001-11-22,241.316
