Date,IRELAND SMID CAP SMID (Small+Mid Cap)
1994-05-31,107.066
1994-06-30,103.259
1994-07-29,110.91
1994-08-31,115.143
1994-09-30,114.307
1994-10-31,118.342
1994-11-30,113.879
1994-12-30,115.341
1995-01-31,116.083
1995-02-28,119.333
1995-03-31,124.255
1995-04-28,127.425
1995-05-31,131.345
1995-06-30,138.903
1995-07-31,144.309
1995-08-31,143.259
1995-09-29,149.783
1995-10-31,149.957
1995-11-30,156.191
1995-12-29,161.91
1996-01-31,167.397
1996-02-29,173.034
1996-03-29,184.732
1996-04-30,189.119
1996-05-31,195.844
1996-06-28,198.326
1996-07-31,191.015
1996-08-30,198.288
1996-09-30,204.774
1996-10-31,205.372
1996-11-29,214.728
1996-12-31,218.888
1997-01-31,225.519
1997-02-28,234.352
1997-03-31,232.326
1997-04-30,224.666
1997-05-30,242.368
1997-06-30,252.805
1997-07-31,259.725
1997-08-29,257.885
1997-09-30,264.874
1997-10-31,268.192
1997-11-28,269.031
1997-12-31,273.296
1998-01-30,296.068
1998-02-27,339.631
1998-03-31,354.509
1998-04-30,376.941
1998-05-29,360.282
1998-06-30,339.923
1998-07-31,332.341
1998-08-31,279.149
1998-09-30,271.747
1998-10-30,284.663
1998-11-30,295.264
1998-12-31,305.431
1999-01-29,298.11
1999-02-26,309.729
1999-03-31,305.084
1999-04-30,317.206
1999-05-31,299.018
1999-06-30,280.883
1999-07-30,287.782
1999-08-31,279.784
1999-09-30,280.518
1999-10-29,265.512
1999-11-30,272.099
1999-12-31,293.039
2000-01-31,299.741
2000-02-29,311.809
2000-03-31,320.706
2000-04-28,282.869
2000-05-31,264.23
2000-06-30,253.327
2000-07-31,246.021
2000-08-31,245.939
2000-09-29,248.267
2000-10-31,252.511
2000-11-30,237.67
2000-12-29,272.287
2001-01-31,266.426
2001-02-28,262.891
2001-03-30,228.914
2001-04-30,246.983
2001-05-31,243.976
2001-06-29,249.263
2001-07-31,250.738
2001-08-31,255.413
2001-09-28,217.496
2001-10-31,228.32
2001-11-30,247.906
2001-12-31,254.842
2002-01-31,251.383
2002-02-28,254.734
2002-03-29,267.236
2002-04-30,279.725
2002-05-31,301.395
2002-06-28,283.83
2002-07-31,246.737
2002-08-30,252.481
2002-09-30,216.349
2002-10-31,232.103
2002-11-29,252.806
2002-12-31,239.254
2003-01-31,250.886
2003-02-28,232.184
2003-03-31,251.413
2003-04-30,271.603
2003-05-30,298.494
2003-06-30,293.106
2003-07-31,312.37
2003-08-29,319.696
2003-09-30,331.553
2003-10-31,352.945
2003-11-28,368.573
2003-12-31,410.305
2004-01-30,424.878
2004-02-27,447.524
2004-03-31,466.232
2004-04-30,482.557
2004-05-31,484.56
2004-06-30,502.43
2004-07-30,472.109
2004-08-31,492.519
2004-09-30,524.764
2004-10-29,554.308
2004-11-30,598.672
2004-12-31,633.083
2005-01-31,629.809
2005-02-28,567.594
2005-03-31,510.873
2005-04-29,505.782
2005-05-31,520.258
2005-06-30,529.321
2005-07-29,554.948
2005-08-31,567.651
2005-09-30,567.277
2005-10-31,542.786
2005-11-30,557.551
2005-12-30,619.565
2006-01-31,656.893
2006-02-28,663.741
2006-03-31,690.16
2006-04-28,717.536
2006-05-31,729.047
2006-06-30,703.736
2006-07-31,687.825
2006-08-31,756.412
2006-09-29,757.059
2006-10-31,807.682
2006-11-30,831.321
2006-12-29,902.087
2007-01-31,858.425
2007-02-28,894.302
2007-03-30,905.483
2007-04-30,946.857
2007-05-31,1000.0
2007-06-29,961.513
2007-07-31,865.497
2007-08-31,855.369
2007-09-28,859.695
2007-10-31,917.42
2007-11-30,828.035
2007-12-31,805.452
2008-01-31,794.437
2008-02-29,799.084
2008-03-31,799.608
2008-04-30,827.958
2008-05-30,817.235
2008-06-30,767.909
2008-07-31,621.525
2008-08-29,585.804
2008-09-30,455.642
2008-10-31,319.054
2008-11-28,260.901
2008-12-31,236.789
2009-01-30,210.893
2009-02-27,176.205
2009-03-31,197.282
2009-04-30,229.876
2009-05-29,304.332
2009-06-30,298.87
2009-07-31,319.658
2009-08-31,376.526
2009-09-30,425.725
2009-10-30,346.8
2009-11-30,343.287
2009-12-31,330.001
2010-01-29,331.301
2010-02-26,307.371
2010-03-31,342.191
2010-04-30,352.675
2010-05-31,282.062
2010-06-30,264.743
2010-07-30,302.599
2010-08-31,285.349
2010-09-30,306.905
2010-10-29,311.126
2010-11-30,265.907
2010-12-31,293.464
2011-01-31,295.268
2011-02-28,311.957
2011-03-31,304.145
2011-04-29,337.066
2011-05-31,336.855
2011-06-30,339.94
2011-07-29,324.3
2011-08-31,301.986
2011-09-30,281.091
2011-10-31,312.629
2011-11-30,296.34
2011-12-30,301.228
2012-01-31,321.157
2012-02-29,354.801
2012-03-30,367.046
2012-04-30,358.526
2012-05-31,329.155
2012-06-29,337.898
2012-07-31,327.149
2012-08-31,339.285
2012-09-28,359.782
2012-10-31,363.675
2012-11-30,377.854
2012-12-31,394.128
2013-01-31,420.028
2013-02-28,430.662
2013-03-29,456.57
2013-04-30,462.219
2013-05-31,475.9
2013-06-28,474.304
2013-07-31,514.267
2013-08-30,536.158
2013-09-30,544.478
2013-10-31,589.035
2013-11-29,605.082
2013-12-31,612.637
2014-01-31,616.933
2014-02-28,726.938
2014-03-31,668.247
2014-04-30,646.615
2014-05-30,640.237
2014-06-30,607.177
2014-07-31,605.934
2014-08-29,627.625
2014-09-30,607.247
2014-10-31,591.334
2014-11-28,636.68
2014-12-31,618.015
2015-01-30,596.522
2015-02-27,653.051
2015-03-31,644.504
2015-04-30,678.279
2015-05-29,686.079
2015-06-30,688.975
2015-07-31,722.874
2015-08-31,714.048
2015-09-30,699.741
2015-10-30,724.936
2015-11-30,724.885
2015-12-31,732.784
2016-01-29,699.229
2016-02-29,702.652
2016-03-31,725.302
2016-04-29,713.349
2016-05-31,722.231
2016-06-30,612.041
2016-07-29,631.96
2016-08-31,652.964
2016-09-30,629.873
2016-10-31,580.335
2016-11-30,583.663
2016-12-30,605.003
2017-01-31,624.766
2017-02-28,644.319
2017-03-31,652.477
2017-04-28,679.561
2017-05-31,703.841
2017-06-30,701.739
2017-07-31,707.11
2017-08-31,711.338
2017-09-29,746.002
2017-10-31,747.1
2017-11-30,773.279
2017-12-29,815.254
2018-01-31,831.133
2018-02-28,795.874
2018-03-30,789.062
2018-04-30,806.567
2018-05-31,818.28
2018-06-29,808.563
2018-07-31,811.654
2018-08-31,809.097
2018-09-28,774.736
2018-10-31,719.505
2018-11-30,691.192
2018-12-31,657.515
2019-01-31,687.332
2019-02-28,708.534
2019-03-29,710.943
2019-04-30,741.566
2019-05-31,707.839
2019-06-28,732.468
2019-07-31,700.205
2019-08-30,673.038
2019-09-30,697.128
2019-10-31,742.235
2019-11-29,782.236
2019-12-31,812.2
2020-01-31,785.372
2020-02-28,742.273
2020-03-31,619.994
2020-04-30,667.12
2020-05-29,721.336
2020-06-30,749.458
2020-07-31,798.45
2020-08-31,881.314
2020-09-30,896.109
2020-10-30,880.993
2020-11-30,988.751
2020-12-31,979.0
2021-01-29,959.785
2021-02-26,1006.694
2021-03-31,1103.231
2021-04-30,1192.366
2021-05-31,1267.635
2021-06-30,1218.053
2021-07-30,1292.682
2021-08-31,1366.517
2021-09-30,1249.436
2021-10-29,1317.868
2021-11-30,1252.869
2021-12-31,1331.816
2022-01-31,1236.205
2022-02-28,1224.351
2022-03-31,1181.499
2022-04-29,1136.646
2022-05-31,1092.3
2022-06-30,903.939
2022-07-29,931.968
2022-08-31,899.847
2022-09-30,805.55
2022-10-31,901.96
2022-11-30,974.221
2022-12-30,1046.519
2023-01-31,1172.869
2023-02-28,1166.948
2023-03-31,1150.124
2023-04-28,1187.757
2023-05-31,1125.137
2023-06-30,1127.781
2023-07-31,1277.823
2023-08-31,1294.714
2023-09-29,1181.179
2023-10-31,1101.7
2023-11-30,1233.467
2023-12-29,1274.843
2024-01-31,1275.57
2024-02-29,1313.185
2024-03-29,1390.377
2024-04-30,1395.491
2024-05-31,1486.173
2024-06-28,1373.958
2024-07-31,1509.655
2024-08-30,1523.37
2024-09-30,1547.415
2024-10-31,1432.724
2024-11-29,1356.885
2024-12-31,1357.066
2025-01-31,1421.628
2025-02-28,1562.527
2025-03-31,1533.978
2025-04-30,1605.6
2025-05-30,1759.175
2025-06-30,1796.109
2025-07-31,1688.082
2025-08-29,1721.404
2025-09-30,1827.163
2025-10-31,1810.266
2025-11-28,1976.436
2025-12-31,2023.856
2026-01-30,2084.845
