Date,GERMANY SMID CAP SMID (Small+Mid Cap)
2001-01-01,376.625
2001-01-02,373.431
2001-01-03,368.301
2001-01-04,370.443
2001-01-05,368.372
2001-01-08,361.738
2001-01-09,357.46
2001-01-10,357.45
2001-01-11,366.658
2001-01-12,371.381
2001-01-15,372.085
2001-01-16,369.421
2001-01-17,373.291
2001-01-18,381.088
2001-01-19,379.214
2001-01-22,379.456
2001-01-23,382.323
2001-01-24,379.512
2001-01-25,380.048
2001-01-26,380.02
2001-01-29,380.079
2001-01-30,383.501
2001-01-31,385.743
2001-02-01,388.691
2001-02-02,384.311
2001-02-05,382.711
2001-02-06,383.347
2001-02-07,380.268
2001-02-08,375.644
2001-02-09,376.66
2001-02-12,377.869
2001-02-13,374.534
2001-02-14,369.153
2001-02-15,366.302
2001-02-16,367.49
2001-02-19,366.469
2001-02-20,360.834
2001-02-21,360.153
2001-02-22,355.001
2001-02-23,351.521
2001-02-26,355.652
2001-02-27,359.552
2001-02-28,356.13
2001-03-01,352.877
2001-03-02,357.015
2001-03-05,355.145
2001-03-06,362.294
2001-03-07,363.142
2001-03-08,363.327
2001-03-09,360.123
2001-03-12,353.341
2001-03-13,342.754
2001-03-14,332.762
2001-03-15,333.301
2001-03-16,326.803
2001-03-19,324.06
2001-03-20,329.645
2001-03-21,320.081
2001-03-22,305.419
2001-03-23,312.925
2001-03-26,318.432
2001-03-27,322.466
2001-03-28,317.739
2001-03-29,314.747
2001-03-30,317.284
2001-04-02,313.806
2001-04-03,308.798
2001-04-04,312.884
2001-04-05,315.649
2001-04-06,315.459
2001-04-09,316.374
2001-04-10,316.086
2001-04-11,315.946
2001-04-12,321.163
2001-04-13,321.163
2001-04-16,317.874
2001-04-17,315.488
2001-04-18,319.661
2001-04-19,327.731
2001-04-20,331.873
2001-04-23,329.164
2001-04-24,328.56
2001-04-25,330.34
2001-04-26,335.226
2001-04-27,331.926
2001-04-30,333.285
2001-05-01,335.045
2001-05-02,336.953
2001-05-03,333.083
2001-05-04,334.088
2001-05-07,334.1
2001-05-08,332.219
2001-05-09,330.375
2001-05-10,330.711
2001-05-11,328.529
2001-05-14,325.666
2001-05-15,328.546
2001-05-16,330.827
2001-05-17,333.404
2001-05-18,332.338
2001-05-21,334.331
2001-05-22,333.951
2001-05-23,329.607
2001-05-24,328.987
2001-05-25,329.059
2001-05-28,329.571
2001-05-29,325.908
2001-05-30,323.757
2001-05-31,320.721
2001-06-01,320.555
2001-06-04,322.724
2001-06-05,323.106
2001-06-06,322.225
2001-06-07,323.285
2001-06-08,322.93
2001-06-11,318.763
2001-06-12,317.454
2001-06-13,319.546
2001-06-14,319.527
2001-06-15,318.196
2001-06-18,317.447
2001-06-19,316.76
2001-06-20,312.584
2001-06-21,313.562
2001-06-22,314.735
2001-06-25,314.772
2001-06-26,312.899
2001-06-27,312.12
2001-06-28,310.118
2001-06-29,311.729
2001-07-02,311.174
2001-07-03,310.226
2001-07-04,308.842
2001-07-05,302.714
2001-07-06,300.898
2001-07-09,301.656
2001-07-10,304.455
2001-07-11,302.792
2001-07-12,302.197
2001-07-13,303.228
2001-07-16,302.615
2001-07-17,299.612
2001-07-18,303.128
2001-07-19,304.165
2001-07-20,303.398
2001-07-23,301.495
2001-07-24,301.784
2001-07-25,302.446
2001-07-26,302.844
2001-07-27,304.801
2001-07-30,306.8
2001-07-31,308.089
2001-08-01,310.862
2001-08-02,313.222
2001-08-03,313.015
2001-08-06,308.926
2001-08-07,307.348
2001-08-08,306.208
2001-08-09,306.959
2001-08-10,310.192
2001-08-13,312.127
2001-08-14,312.721
2001-08-15,315.797
2001-08-16,312.136
2001-08-17,311.491
2001-08-20,307.539
2001-08-21,307.694
2001-08-22,311.292
2001-08-23,308.91
2001-08-24,310.534
2001-08-27,310.318
2001-08-28,309.878
2001-08-29,308.506
2001-08-30,304.032
2001-08-31,304.119
2001-09-03,300.926
2001-09-04,296.671
2001-09-05,293.218
2001-09-06,290.068
2001-09-07,290.594
2001-09-10,284.825
2001-09-11,276.36
2001-09-12,275.577
2001-09-13,275.886
2001-09-14,273.619
2001-09-17,271.721
2001-09-18,269.302
2001-09-19,269.679
2001-09-20,258.378
2001-09-21,249.17
2001-09-24,256.015
2001-09-25,259.449
2001-09-26,261.67
2001-09-27,264.624
2001-09-28,267.782
2001-10-01,268.548
2001-10-02,269.85
2001-10-03,272.15
2001-10-04,275.113
2001-10-05,276.513
2001-10-08,276.009
2001-10-09,276.42
2001-10-10,276.08
2001-10-11,278.263
2001-10-12,279.75
2001-10-15,280.605
2001-10-16,284.109
2001-10-17,284.59
2001-10-18,282.636
2001-10-19,280.632
2001-10-22,279.902
2001-10-23,282.137
2001-10-24,284.503
2001-10-25,285.061
2001-10-26,286.957
2001-10-29,288.831
2001-10-30,285.726
2001-10-31,283.99
2001-11-01,286.532
2001-11-02,286.122
2001-11-05,286.828
2001-11-06,287.16
2001-11-07,290.159
2001-11-08,290.17
2001-11-09,290.58
2001-11-12,289.476
2001-11-13,288.905
2001-11-14,291.207
2001-11-15,291.823
2001-11-16,294.403
2001-11-19,295.842
2001-11-20,295.199
2001-11-21,293.339
2001-11-22,295.326
2001-11-23,295.022
2001-11-26,295.732
2001-11-27,295.477
2001-11-28,292.433
2001-11-29,292.607
2001-11-30,296.329
2001-12-03,294.147
2001-12-04,296.276
2001-12-05,298.59
2001-12-06,299.154
2001-12-07,296.799
2001-12-10,295.351
2001-12-11,295.224
2001-12-12,295.456
2001-12-13,293.052
2001-12-14,292.352
2001-12-17,295.987
2001-12-18,296.165
2001-12-19,293.439
2001-12-20,291.836
2001-12-21,288.85
2001-12-24,285.961
2001-12-25,285.961
2001-12-26,286.206
2001-12-27,291.068
2001-12-28,291.272
2001-12-31,294.213
2002-01-01,294.213
2002-01-02,298.855
2002-01-03,302.24
2002-01-04,302.249
2002-01-07,301.789
2002-01-08,301.441
2002-01-09,301.398
2002-01-10,301.892
2002-01-11,300.631
2002-01-14,299.672
2002-01-15,298.067
2002-01-16,293.075
2002-01-17,296.208
2002-01-18,297.264
2002-01-21,297.584
2002-01-22,297.305
2002-01-23,299.381
2002-01-24,298.528
2002-01-25,293.836
2002-01-28,292.958
2002-01-29,291.844
2002-01-30,292.023
2002-01-31,292.439
2002-02-01,292.326
2002-02-04,293.201
2002-02-05,292.306
2002-02-06,290.195
2002-02-07,288.283
2002-02-08,288.538
2002-02-11,293.108
2002-02-12,292.14
2002-02-13,291.434
2002-02-14,290.804
2002-02-15,291.659
2002-02-18,289.049
2002-02-19,287.483
2002-02-20,286.494
2002-02-21,288.33
2002-02-22,289.47
2002-02-25,289.15
2002-02-26,289.496
2002-02-27,289.606
2002-02-28,290.443
2002-03-01,292.623
2002-03-04,296.463
2002-03-05,294.827
2002-03-06,298.138
2002-03-07,300.731
2002-03-08,300.351
2002-03-11,300.914
2002-03-12,298.02
2002-03-13,297.7
2002-03-14,300.428
2002-03-15,301.994
2002-03-18,302.387
2002-03-19,303.564
2002-03-20,304.444
2002-03-21,302.9
2002-03-22,302.134
2002-03-25,300.645
2002-03-26,300.599
2002-03-27,298.792
2002-03-28,300.035
2002-03-29,300.039
2002-04-01,302.496
2002-04-02,301.852
2002-04-03,300.368
2002-04-04,300.279
2002-04-05,300.659
