Date,GERMANY SMID CAP SMID (Small+Mid Cap)
2001-01-01,366.779
2001-01-02,363.668
2001-01-03,358.676
2001-01-04,360.762
2001-01-05,358.745
2001-01-08,352.285
2001-01-09,348.119
2001-01-10,348.109
2001-01-11,357.076
2001-01-12,361.676
2001-01-15,362.361
2001-01-16,359.766
2001-01-17,363.536
2001-01-18,371.129
2001-01-19,369.305
2001-01-22,369.55
2001-01-23,372.342
2001-01-24,369.604
2001-01-25,370.126
2001-01-26,370.098
2001-01-29,370.156
2001-01-30,373.489
2001-01-31,375.672
2001-02-01,378.543
2001-02-02,374.278
2001-02-05,372.719
2001-02-06,373.339
2001-02-07,370.34
2001-02-08,365.837
2001-02-09,366.826
2001-02-12,368.003
2001-02-13,364.756
2001-02-14,359.515
2001-02-15,356.739
2001-02-16,357.902
2001-02-19,356.907
2001-02-20,351.419
2001-02-21,350.756
2001-02-22,345.738
2001-02-23,342.361
2001-02-26,346.384
2001-02-27,350.183
2001-02-28,346.85
2001-03-01,343.681
2001-03-02,347.712
2001-03-05,345.89
2001-03-06,352.853
2001-03-07,353.698
2001-03-08,353.879
2001-03-09,350.758
2001-03-12,344.152
2001-03-13,333.841
2001-03-14,324.108
2001-03-15,324.634
2001-03-16,318.308
2001-03-19,315.636
2001-03-20,321.076
2001-03-21,311.763
2001-03-22,297.483
2001-03-23,304.794
2001-03-26,310.157
2001-03-27,314.086
2001-03-28,309.483
2001-03-29,306.568
2001-03-30,309.039
2001-04-02,305.668
2001-04-03,300.798
2001-04-04,304.784
2001-04-05,307.485
2001-04-06,307.304
2001-04-09,308.214
2001-04-10,307.933
2001-04-11,307.797
2001-04-12,312.893
2001-04-13,312.893
2001-04-16,309.688
2001-04-17,307.364
2001-04-18,311.43
2001-04-19,319.292
2001-04-20,323.341
2001-04-23,320.702
2001-04-24,320.113
2001-04-25,321.847
2001-04-26,326.608
2001-04-27,323.395
2001-04-30,324.723
2001-05-01,326.438
2001-05-02,328.297
2001-05-03,324.527
2001-05-04,325.555
2001-05-07,325.569
2001-05-08,323.736
2001-05-09,321.94
2001-05-10,322.304
2001-05-11,320.205
2001-05-14,317.415
2001-05-15,320.221
2001-05-16,322.448
2001-05-17,325.007
2001-05-18,323.973
2001-05-21,325.916
2001-05-22,325.589
2001-05-23,321.377
2001-05-24,320.784
2001-05-25,320.981
2001-05-28,321.482
2001-05-29,317.918
2001-05-30,315.865
2001-05-31,312.956
2001-06-01,312.813
2001-06-04,314.955
2001-06-05,315.329
2001-06-06,314.469
2001-06-07,315.508
2001-06-08,315.196
2001-06-11,311.141
2001-06-12,309.868
2001-06-13,311.93
2001-06-14,311.93
2001-06-15,310.63
2001-06-18,309.901
2001-06-19,309.23
2001-06-20,305.187
2001-06-21,306.161
2001-06-22,307.315
2001-06-25,307.352
2001-06-26,305.524
2001-06-27,304.766
2001-06-28,302.844
2001-06-29,304.456
2001-07-02,303.944
2001-07-03,303.023
2001-07-04,301.673
2001-07-05,295.691
2001-07-06,293.928
2001-07-09,294.684
2001-07-10,297.419
2001-07-11,295.798
2001-07-12,295.222
2001-07-13,296.25
2001-07-16,295.655
2001-07-17,292.722
2001-07-18,296.228
2001-07-19,297.245
2001-07-20,296.495
2001-07-23,294.657
2001-07-24,294.94
2001-07-25,295.586
2001-07-26,295.975
2001-07-27,297.888
2001-07-30,299.842
2001-07-31,301.102
2001-08-01,303.813
2001-08-02,306.13
2001-08-03,305.927
2001-08-06,301.931
2001-08-07,300.388
2001-08-08,299.274
2001-08-09,300.009
2001-08-10,303.173
2001-08-13,305.065
2001-08-14,305.645
2001-08-15,308.651
2001-08-16,305.074
2001-08-17,304.443
2001-08-20,300.581
2001-08-21,300.732
2001-08-22,304.252
2001-08-23,301.927
2001-08-24,303.515
2001-08-27,303.317
2001-08-28,302.93
2001-08-29,301.589
2001-08-30,297.215
2001-08-31,297.304
2001-09-03,294.183
2001-09-04,290.023
2001-09-05,286.647
2001-09-06,283.568
2001-09-07,284.082
2001-09-10,278.442
2001-09-11,270.167
2001-09-12,269.401
2001-09-13,269.704
2001-09-14,267.488
2001-09-17,265.632
2001-09-18,263.267
2001-09-19,263.635
2001-09-20,252.598
2001-09-21,243.596
2001-09-24,250.288
2001-09-25,253.645
2001-09-26,255.862
2001-09-27,258.751
2001-09-28,261.838
2001-10-01,262.588
2001-10-02,263.86
2001-10-03,266.11
2001-10-04,269.007
2001-10-05,270.376
2001-10-08,269.883
2001-10-09,270.285
2001-10-10,269.952
2001-10-11,272.087
2001-10-12,273.54
2001-10-15,274.377
2001-10-16,277.803
2001-10-17,278.273
2001-10-18,276.363
2001-10-19,274.403
2001-10-22,273.689
2001-10-23,275.875
2001-10-24,278.188
2001-10-25,278.734
2001-10-26,280.588
2001-10-29,282.42
2001-10-30,279.384
2001-10-31,277.686
2001-11-01,280.172
2001-11-02,279.772
2001-11-05,280.462
2001-11-06,280.786
2001-11-07,283.718
2001-11-08,283.729
2001-11-09,284.13
2001-11-12,283.05
2001-11-13,282.493
2001-11-14,284.743
2001-11-15,285.387
2001-11-16,287.91
2001-11-19,289.317
2001-11-20,288.689
2001-11-21,286.87
2001-11-22,288.812
2001-11-23,288.515
2001-11-26,289.21
2001-11-27,288.96
2001-11-28,285.985
2001-11-29,286.193
2001-11-30,289.833
2001-12-03,287.699
2001-12-04,289.781
2001-12-05,292.046
2001-12-06,292.598
2001-12-07,290.295
2001-12-10,288.878
2001-12-11,288.754
