Date,BELGIUM SMID VALUE SMID (Small+Mid Cap)
1994-05-31,132.45
1994-06-30,129.03
1994-07-29,133.094
1994-08-31,136.166
1994-09-30,131.858
1994-10-31,133.607
1994-11-30,130.332
1994-12-30,131.125
1995-01-31,130.127
1995-02-28,132.239
1995-03-31,137.975
1995-04-28,143.479
1995-05-31,146.129
1995-06-30,149.355
1995-07-31,152.191
1995-08-31,142.784
1995-09-29,145.897
1995-10-31,140.867
1995-11-30,138.382
1995-12-29,145.591
1996-01-31,149.253
1996-02-29,148.313
1996-03-29,146.715
1996-04-30,146.669
1996-05-31,149.292
1996-06-28,153.899
1996-07-31,153.842
1996-08-30,153.349
1996-09-30,151.945
1996-10-31,156.214
1996-11-29,162.812
1996-12-31,164.611
1997-01-31,171.012
1997-02-28,171.829
1997-03-31,175.597
1997-04-30,176.218
1997-05-30,191.039
1997-06-30,198.806
1997-07-31,200.005
1997-08-29,188.682
1997-09-30,200.483
1997-10-31,196.939
1997-11-28,195.565
1997-12-31,203.777
1998-01-30,211.206
1998-02-27,223.792
1998-03-31,238.021
1998-04-30,244.516
1998-05-29,281.219
1998-06-30,285.552
1998-07-31,288.291
1998-08-31,256.239
1998-09-30,248.869
1998-10-30,263.76
1998-11-30,272.285
1998-12-31,282.864
1999-01-29,270.04
1999-02-26,266.459
1999-03-31,254.788
1999-04-30,257.204
1999-05-31,249.706
1999-06-30,246.968
1999-07-30,249.825
1999-08-31,253.851
1999-09-30,251.377
1999-10-29,252.449
1999-11-30,239.667
1999-12-31,257.99
2000-01-31,229.7
2000-02-29,247.673
2000-03-31,242.273
2000-04-28,242.463
2000-05-31,247.006
2000-06-30,265.191
2000-07-31,270.27
2000-08-31,265.606
2000-09-29,252.245
2000-10-31,238.844
2000-11-30,243.532
2000-12-29,258.744
2001-01-31,251.798
2001-02-28,273.318
2001-03-30,254.563
2001-04-30,258.081
2001-05-31,254.813
2001-06-29,260.471
2001-07-31,268.877
2001-08-31,271.268
2001-09-28,245.534
2001-10-31,242.778
2001-11-30,253.976
2001-12-31,273.079
2002-01-31,271.8
2002-02-28,280.425
2002-03-29,296.01
2002-04-30,307.115
2002-05-31,319.872
2002-06-28,317.474
2002-07-31,283.778
2002-08-30,276.203
2002-09-30,227.897
2002-10-31,232.668
2002-11-29,251.165
2002-12-31,261.796
2003-01-31,254.766
2003-02-28,238.455
2003-03-31,239.413
2003-04-30,272.269
2003-05-30,315.474
2003-06-30,304.945
2003-07-31,307.153
2003-08-29,316.255
2003-09-30,332.546
2003-10-31,358.069
2003-11-28,371.48
2003-12-31,404.873
2004-01-30,415.717
2004-02-27,427.054
2004-03-31,405.785
2004-04-30,406.878
2004-05-31,413.7
2004-06-30,433.878
2004-07-30,430.632
2004-08-31,452.683
2004-09-30,487.558
2004-10-29,514.579
2004-11-30,586.983
2004-12-31,602.386
2005-01-31,593.88
2005-02-28,637.75
2005-03-31,622.612
2005-04-29,599.906
2005-05-31,573.66
2005-06-30,576.295
2005-07-29,603.235
2005-08-31,613.408
2005-09-30,647.319
2005-10-31,627.071
2005-11-30,632.995
2005-12-30,648.848
2006-01-31,696.408
2006-02-28,693.229
2006-03-31,709.372
2006-04-28,741.14
2006-05-31,709.828
2006-06-30,733.731
2006-07-31,750.319
2006-08-31,764.812
2006-09-29,800.945
2006-10-31,803.279
2006-11-30,835.921
2006-12-29,882.291
2007-01-31,879.827
2007-02-28,868.494
2007-03-30,927.708
2007-04-30,971.296
2007-05-31,1000.0
2007-06-29,1011.114
2007-07-31,970.854
2007-08-31,958.738
2007-09-28,971.247
2007-10-31,971.466
2007-11-30,914.44
2007-12-31,900.419
2008-01-31,836.353
2008-02-29,848.888
2008-03-31,833.748
2008-04-30,898.161
2008-05-30,882.166
2008-06-30,818.141
2008-07-31,756.588
2008-08-29,785.431
2008-09-30,695.211
2008-10-31,543.059
2008-11-28,531.493
2008-12-31,568.481
2009-01-30,585.807
2009-02-27,510.995
2009-03-31,562.027
2009-04-30,650.277
2009-05-29,774.576
2009-06-30,736.959
2009-07-31,802.119
2009-08-31,866.834
2009-09-30,914.185
2009-10-30,892.462
2009-11-30,923.435
2009-12-31,901.176
2010-01-29,882.047
2010-02-26,872.306
2010-03-31,910.16
2010-04-30,870.904
2010-05-31,791.618
2010-06-30,755.248
2010-07-30,836.344
2010-08-31,784.823
2010-09-30,896.628
2010-10-29,935.255
2010-11-30,828.464
2010-12-31,891.706
2011-01-31,946.009
2011-02-28,984.383
2011-03-31,1007.662
2011-04-29,1112.744
2011-05-31,1098.967
2011-06-30,1078.17
2011-07-29,999.708
2011-08-31,918.141
2011-09-30,781.589
2011-10-31,824.801
2011-11-30,749.99
2011-12-30,707.209
2012-01-31,766.899
2012-02-29,816.149
2012-03-30,815.08
2012-04-30,784.374
2012-05-31,686.299
2012-06-29,734.045
2012-07-31,735.987
2012-08-31,771.213
2012-09-28,816.128
2012-10-31,830.848
2012-11-30,873.298
2012-12-31,940.37
2013-01-31,1033.685
2013-02-28,1003.084
2013-03-29,988.622
2013-04-30,1072.63
2013-05-31,1086.739
2013-06-28,1044.274
2013-07-31,1121.884
2013-08-30,1100.335
2013-09-30,1153.212
2013-10-31,1197.058
2013-11-29,1164.191
2013-12-31,1203.053
2014-01-31,1206.985
2014-02-28,1293.716
2014-03-31,1299.859
2014-04-30,1301.293
2014-05-30,1302.345
2014-06-30,1269.836
2014-07-31,1227.801
2014-08-29,1222.844
2014-09-30,1184.84
2014-10-31,1183.518
2014-11-28,1234.5
2014-12-31,1227.124
2015-01-30,1246.405
2015-02-27,1312.873
2015-03-31,1280.508
2015-04-30,1285.308
2015-05-29,1324.398
2015-06-30,1298.039
2015-07-31,1366.611
2015-08-31,1305.909
2015-09-30,1292.666
2015-10-30,1378.772
2015-11-30,1362.732
2015-12-31,1403.462
2016-01-29,1305.492
2016-02-29,1303.145
2016-03-31,1402.89
2016-04-29,1413.884
2016-05-31,1460.392
2016-06-30,1384.737
2016-07-29,1464.167
2016-08-31,1483.766
2016-09-30,1549.261
2016-10-31,1522.337
2016-11-30,1483.831
2016-12-30,1542.921
2017-01-31,1573.409
2017-02-28,1543.563
2017-03-31,1611.373
2017-04-28,1665.795
2017-05-31,1742.639
2017-06-30,1736.634
2017-07-31,1837.526
2017-08-31,1865.442
2017-09-29,1919.058
2017-10-31,1901.028
2017-11-30,1883.85
2017-12-29,1890.547
2018-01-31,2017.016
2018-02-28,1951.093
2018-03-30,1890.953
2018-04-30,1916.916
2018-05-31,1862.275
2018-06-29,1801.733
2018-07-31,1905.754
2018-08-31,1868.022
2018-09-28,1852.76
2018-10-31,1765.755
2018-11-30,1784.278
2018-12-31,1722.918
2019-01-31,1802.721
2019-02-28,1819.243
2019-03-29,1865.273
2019-04-30,1945.67
2019-05-31,1884.675
2019-06-28,1988.491
2019-07-31,2018.995
2019-08-30,2024.995
2019-09-30,2075.355
2019-10-31,2170.659
2019-11-29,2231.907
2019-12-31,2276.302
2020-01-31,2177.874
2020-02-28,1941.903
2020-03-31,1731.925
2020-04-30,1769.691
2020-05-29,1817.225
2020-06-30,1832.713
2020-07-31,1892.035
2020-08-31,2011.19
2020-09-30,1990.707
2020-10-30,1864.332
2020-11-30,2295.684
2020-12-31,2396.066
2021-01-29,2383.418
2021-02-26,2472.751
2021-03-31,2515.462
2021-04-30,2595.751
2021-05-31,2757.403
2021-06-30,2674.082
2021-07-30,2759.038
2021-08-31,2781.768
2021-09-30,2625.638
2021-10-29,2663.326
2021-11-30,2581.455
2021-12-31,2778.623
2022-01-31,2584.334
2022-02-28,2567.237
2022-03-31,2619.669
2022-04-29,2475.81
2022-05-31,2491.663
2022-06-30,2273.902
2022-07-29,2302.035
2022-08-31,2182.603
2022-09-30,1950.759
2022-10-31,2044.499
2022-11-30,2172.48
2022-12-30,2290.016
2023-01-31,2503.766
2023-02-28,2440.093
2023-03-31,2405.874
2023-04-28,2475.731
2023-05-31,2263.705
2023-06-30,2305.191
2023-07-31,2450.751
2023-08-31,2334.76
2023-09-29,2199.404
2023-10-31,2119.543
2023-11-30,2364.244
2023-12-29,2545.133
2024-01-31,2391.833
2024-02-29,2276.034
2024-03-29,2351.725
2024-04-30,2368.827
2024-05-31,2485.084
2024-06-28,2295.975
2024-07-31,2343.734
2024-08-30,2395.709
2024-09-30,2508.041
2024-10-31,2287.884
2024-11-29,2171.449
2024-12-31,2090.691
2025-01-31,2174.918
2025-02-28,2208.156
2025-03-31,2346.914
2025-04-30,2562.781
2025-05-30,2698.329
2025-06-30,2845.731
