Date,BELGIUM SMID VALUE SMID (Small+Mid Cap)
1994-05-31,143.484
1994-06-30,139.526
1994-07-29,143.866
1994-08-31,147.186
1994-09-30,142.53
1994-10-31,144.42
1994-11-30,140.879
1994-12-30,141.722
1995-01-31,140.644
1995-02-28,142.926
1995-03-31,149.125
1995-04-28,155.049
1995-05-31,157.461
1995-06-30,160.569
1995-07-31,163.61
1995-08-31,153.497
1995-09-29,156.843
1995-10-31,151.435
1995-11-30,148.761
1995-12-29,156.491
1996-01-31,160.428
1996-02-29,159.418
1996-03-29,157.7
1996-04-30,157.65
1996-05-31,160.059
1996-06-28,164.635
1996-07-31,164.528
1996-08-30,164.0
1996-09-30,162.5
1996-10-31,167.065
1996-11-29,174.118
1996-12-31,176.023
1997-01-31,182.867
1997-02-28,183.681
1997-03-31,187.71
1997-04-30,188.352
1997-05-30,203.603
1997-06-30,211.24
1997-07-31,212.493
1997-08-29,200.463
1997-09-30,212.655
1997-10-31,208.895
1997-11-28,207.438
1997-12-31,216.149
1998-01-30,224.024
1998-02-27,237.33
1998-03-31,252.355
1998-04-30,259.237
1998-05-29,297.546
1998-06-30,301.599
1998-07-31,304.488
1998-08-31,270.635
1998-09-30,262.851
1998-10-30,278.578
1998-11-30,287.582
1998-12-31,298.756
1999-01-29,285.211
1999-02-26,281.429
1999-03-31,269.103
1999-04-30,271.654
1999-05-31,263.491
1999-06-30,260.325
1999-07-30,263.336
1999-08-31,267.58
1999-09-30,264.972
1999-10-29,266.102
1999-11-30,252.629
1999-12-31,271.943
2000-01-31,242.122
2000-02-29,261.067
2000-03-31,255.376
2000-04-28,255.576
2000-05-31,260.244
2000-06-30,279.023
2000-07-31,284.368
2000-08-31,279.46
2000-09-29,265.402
2000-10-31,251.302
2000-11-30,256.234
2000-12-29,272.24
2001-01-31,264.813
2001-02-28,287.445
2001-03-30,267.72
2001-04-30,271.212
2001-05-31,267.093
2001-06-29,272.28
2001-07-31,281.046
2001-08-31,283.545
2001-09-28,256.647
2001-10-31,253.748
2001-11-30,265.451
2001-12-31,285.138
2002-01-31,283.595
2002-02-28,292.586
2002-03-29,308.781
2002-04-30,320.143
2002-05-31,332.587
2002-06-28,329.422
2002-07-31,294.458
2002-08-30,286.598
2002-09-30,236.474
2002-10-31,241.425
2002-11-29,260.618
2002-12-31,271.649
2003-01-31,264.199
2003-02-28,247.281
2003-03-31,248.275
2003-04-30,281.945
2003-05-30,325.409
2003-06-30,313.402
2003-07-31,315.67
2003-08-29,325.024
2003-09-30,341.767
2003-10-31,367.998
2003-11-28,381.725
2003-12-31,416.038
2004-01-30,426.908
2004-02-27,438.539
2004-03-31,416.659
2004-04-30,417.391
2004-05-31,423.355
2004-06-30,442.564
2004-07-30,439.253
2004-08-31,461.746
2004-09-30,497.318
2004-10-29,524.881
2004-11-30,598.574
2004-12-31,614.251
2005-01-31,605.067
2005-02-28,649.763
2005-03-31,634.227
2005-04-29,610.588
2005-05-31,582.485
2005-06-30,584.017
2005-07-29,611.318
2005-08-31,621.627
2005-09-30,655.993
2005-10-31,635.474
2005-11-30,641.349
2005-12-30,657.187
2006-01-31,705.016
2006-02-28,701.793
2006-03-31,718.056
2006-04-28,749.019
2006-05-31,714.904
2006-06-30,738.008
2006-07-31,754.692
2006-08-31,769.27
2006-09-29,805.614
2006-10-31,807.883
2006-11-30,840.712
2006-12-29,886.823
2007-01-31,883.812
2007-02-28,872.418
2007-03-30,931.825
2007-04-30,974.797
2007-05-31,1000.0
2007-06-29,1009.749
