Date,BELGIUM SMID VALUE SMID (Small+Mid Cap)
2001-01-01,258.744
2001-01-02,259.772
2001-01-03,257.991
2001-01-04,260.22
2001-01-05,262.791
2001-01-08,261.573
2001-01-09,258.524
2001-01-10,258.267
2001-01-11,260.564
2001-01-12,260.468
2001-01-15,258.329
2001-01-16,257.453
2001-01-17,255.457
2001-01-18,258.549
2001-01-19,257.505
2001-01-22,257.981
2001-01-23,257.841
2001-01-24,252.867
2001-01-25,251.385
2001-01-26,252.046
2001-01-29,250.649
2001-01-30,250.598
2001-01-31,251.798
2001-02-01,257.46
2001-02-02,257.368
2001-02-05,265.755
2001-02-06,267.182
2001-02-07,266.929
2001-02-08,259.554
2001-02-09,263.504
2001-02-12,265.487
2001-02-13,267.412
2001-02-14,265.817
2001-02-15,262.27
2001-02-16,265.045
2001-02-19,266.002
2001-02-20,266.003
2001-02-21,267.868
2001-02-22,266.725
2001-02-23,266.78
2001-02-26,268.915
2001-02-27,271.635
2001-02-28,273.318
2001-03-01,276.44
2001-03-02,278.336
2001-03-05,278.784
2001-03-06,280.545
2001-03-07,278.612
2001-03-08,279.652
2001-03-09,278.887
2001-03-12,276.979
2001-03-13,268.727
2001-03-14,262.318
2001-03-15,259.241
2001-03-16,251.326
2001-03-19,251.497
2001-03-20,253.413
2001-03-21,245.55
2001-03-22,234.109
2001-03-23,237.387
2001-03-26,244.535
2001-03-27,248.791
2001-03-28,249.148
2001-03-29,249.118
2001-03-30,254.563
2001-04-02,257.109
2001-04-03,256.678
2001-04-04,260.148
2001-04-05,260.625
2001-04-06,262.74
2001-04-09,263.719
2001-04-10,262.929
2001-04-11,262.455
2001-04-12,263.073
2001-04-13,263.073
2001-04-16,260.379
2001-04-17,259.958
2001-04-18,257.328
2001-04-19,261.184
2001-04-20,261.709
2001-04-23,256.92
2001-04-24,255.126
2001-04-25,255.733
2001-04-26,258.726
2001-04-27,256.149
2001-04-30,258.081
2001-05-01,259.423
2001-05-02,259.454
2001-05-03,258.729
2001-05-04,257.158
2001-05-07,255.892
2001-05-08,255.761
2001-05-09,254.73
2001-05-10,256.167
2001-05-11,253.908
2001-05-14,251.791
2001-05-15,253.382
2001-05-16,254.347
2001-05-17,253.263
2001-05-18,253.755
2001-05-21,251.217
2001-05-22,251.792
2001-05-23,251.345
2001-05-24,249.827
2001-05-25,250.328
2001-05-28,251.622
2001-05-29,251.054
2001-05-30,253.168
2001-05-31,254.813
2001-06-01,253.395
2001-06-04,253.739
2001-06-05,262.039
2001-06-06,266.396
2001-06-07,267.286
2001-06-08,267.745
2001-06-11,264.688
2001-06-12,265.758
2001-06-13,267.354
2001-06-14,267.6
2001-06-15,265.652
2001-06-18,266.006
2001-06-19,265.484
2001-06-20,263.825
2001-06-21,263.65
2001-06-22,265.476
2001-06-25,265.624
2001-06-26,264.408
2001-06-27,264.367
2001-06-28,260.909
2001-06-29,260.471
2001-07-02,258.367
2001-07-03,259.069
2001-07-04,255.768
2001-07-05,255.138
2001-07-06,255.894
2001-07-09,258.633
2001-07-10,260.063
2001-07-11,260.455
2001-07-12,257.887
2001-07-13,260.097
2001-07-16,260.398
2001-07-17,259.281
2001-07-18,265.919
2001-07-19,265.869
2001-07-20,267.728
2001-07-23,266.622
2001-07-24,268.16
2001-07-25,267.692
2001-07-26,266.312
2001-07-27,266.09
2001-07-30,267.988
2001-07-31,268.877
2001-08-01,270.228
2001-08-02,270.244
2001-08-03,270.99
2001-08-06,271.168
2001-08-07,269.765
2001-08-08,269.981
2001-08-09,272.556
2001-08-10,276.129
2001-08-13,276.803
2001-08-14,276.105
2001-08-15,279.37
2001-08-16,277.015
2001-08-17,276.279
2001-08-20,273.929
2001-08-21,273.429
2001-08-22,275.664
2001-08-23,275.434
2001-08-24,276.528
2001-08-27,274.365
2001-08-28,273.735
2001-08-29,272.377
2001-08-30,271.56
2001-08-31,271.268
2001-09-03,269.318
2001-09-04,262.915
2001-09-05,261.945
2001-09-06,261.446
2001-09-07,260.301
2001-09-10,252.527
2001-09-11,247.915
2001-09-12,244.249
2001-09-13,245.388
2001-09-14,242.638
2001-09-17,240.1
2001-09-18,238.884
2001-09-19,238.84
2001-09-20,231.756
2001-09-21,221.233
2001-09-24,229.314
2001-09-25,232.625
2001-09-26,239.123
2001-09-27,242.877
2001-09-28,245.534
2001-10-01,247.64
2001-10-02,248.686
2001-10-03,246.744
2001-10-04,250.074
2001-10-05,252.227
2001-10-08,250.193
2001-10-09,250.851
2001-10-10,250.901
2001-10-11,252.862
2001-10-12,252.449
2001-10-15,248.071
2001-10-16,249.657
2001-10-17,249.807
2001-10-18,248.46
2001-10-19,245.405
2001-10-22,245.0
2001-10-23,246.514
2001-10-24,245.429
2001-10-25,243.711
2001-10-26,245.418
2001-10-29,245.449
2001-10-30,244.698
2001-10-31,242.778
2001-11-01,245.353
2001-11-02,245.641
2001-11-05,244.88
2001-11-06,246.029
2001-11-07,248.033
2001-11-08,248.545
2001-11-09,246.277
2001-11-12,243.613
2001-11-13,242.329
2001-11-14,243.828
2001-11-15,243.045
2001-11-16,243.316
2001-11-19,243.976
2001-11-20,243.466
2001-11-21,241.111
2001-11-22,243.912
2001-11-23,243.742
2001-11-26,242.053
2001-11-27,243.094
2001-11-28,243.942
2001-11-29,246.225
2001-11-30,253.976
2001-12-03,250.946
2001-12-04,252.465
2001-12-05,255.023
2001-12-06,259.073
2001-12-07,260.065
2001-12-10,257.605
2001-12-11,256.938
2001-12-12,258.531
2001-12-13,257.131
2001-12-14,255.639
2001-12-17,258.999
2001-12-18,258.793
2001-12-19,262.17
2001-12-20,264.062
2001-12-21,261.843
2001-12-24,261.419
2001-12-25,261.419
2001-12-26,261.642
2001-12-27,267.822
2001-12-28,270.442
2001-12-31,273.079
2002-01-01,273.079
2002-01-02,276.578
2002-01-03,277.02
2002-01-04,275.656
2002-01-07,275.158
2002-01-08,273.384
2002-01-09,273.745
2002-01-10,273.843
2002-01-11,273.544
2002-01-14,273.436
2002-01-15,270.411
2002-01-16,268.046
2002-01-17,268.253
2002-01-18,273.22
2002-01-21,274.207
2002-01-22,275.405
2002-01-23,277.185
2002-01-24,276.771
2002-01-25,271.344
2002-01-28,272.518
2002-01-29,273.996
2002-01-30,271.92
2002-01-31,271.8
2002-02-01,272.541
2002-02-04,276.393
