Date,ITALY IMI IMI (Large+Mid+Small Cap)
1994-05-31,249.153
1994-06-30,232.912
1994-07-29,241.472
1994-08-31,235.511
1994-09-30,235.273
1994-10-31,224.195
1994-11-30,211.26
1994-12-30,213.244
1995-01-31,225.939
1995-02-28,205.159
1995-03-31,191.918
1995-04-28,209.076
1995-05-31,210.829
1995-06-30,204.078
1995-07-31,220.728
1995-08-31,215.633
1995-09-29,211.663
1995-10-31,201.631
1995-11-30,190.517
1995-12-29,204.988
1996-01-31,213.892
1996-02-29,214.029
1996-03-29,204.305
1996-04-30,231.222
1996-05-31,238.402
1996-06-28,238.607
1996-07-31,221.56
1996-08-30,220.264
1996-09-30,233.173
1996-10-31,221.694
1996-11-29,242.246
1996-12-31,242.811
1997-01-31,269.038
1997-02-28,242.123
1997-03-31,247.13
1997-04-30,249.915
1997-05-30,250.76
1997-06-30,274.346
1997-07-31,290.416
1997-08-29,284.372
1997-09-30,325.042
1997-10-31,309.341
1997-11-28,313.16
1997-12-31,336.086
1998-01-30,374.213
1998-02-27,394.315
1998-03-31,476.491
1998-04-30,460.84
1998-05-29,484.858
1998-06-30,456.732
1998-07-31,498.274
1998-08-31,431.503
1998-09-30,406.099
1998-10-30,431.075
1998-11-30,476.877
1998-12-31,511.494
1999-01-29,492.267
1999-02-26,484.732
1999-03-31,501.868
1999-04-30,491.841
1999-05-31,470.266
1999-06-30,462.296
1999-07-30,452.954
1999-08-31,461.567
1999-09-30,469.332
1999-10-29,454.955
1999-11-30,463.463
1999-12-31,537.562
2000-01-31,514.378
2000-02-29,604.475
2000-03-31,560.18
2000-04-28,523.636
2000-05-31,534.156
2000-06-30,561.343
2000-07-31,542.462
2000-08-31,542.202
2000-09-29,512.677
2000-10-31,510.216
2000-11-30,515.419
2000-12-29,522.655
2001-01-31,535.456
2001-02-28,477.811
2001-03-30,443.405
2001-04-30,466.283
2001-05-31,429.03
2001-06-29,410.643
2001-07-31,416.207
2001-08-31,410.726
2001-09-28,346.713
2001-10-31,359.346
2001-11-30,373.152
2001-12-31,376.707
2002-01-31,364.595
2002-02-28,362.878
2002-03-29,388.073
2002-04-30,391.328
2002-05-31,385.99
2002-06-28,386.335
2002-07-31,350.258
2002-08-30,355.086
2002-09-30,308.001
2002-10-31,331.983
2002-11-29,360.326
2002-12-31,355.148
2003-01-31,350.25
2003-02-28,361.011
2003-03-31,339.417
2003-04-30,384.204
2003-05-30,425.385
2003-06-30,417.673
2003-07-31,416.28
2003-08-29,405.345
2003-09-30,422.148
2003-10-31,441.815
2003-11-28,476.836
2003-12-31,498.456
2004-01-30,507.386
2004-02-27,514.066
2004-03-31,497.845
2004-04-30,504.079
2004-05-31,508.656
2004-06-30,525.831
2004-07-30,513.551
2004-08-31,510.695
