Date,ITALY IMI IMI (Large+Mid+Small Cap)
2001-01-01,491.51
2001-01-02,488.073
2001-01-03,475.066
2001-01-04,482.307
2001-01-05,486.675
2001-01-08,484.035
2001-01-09,479.925
2001-01-10,482.387
2001-01-11,493.987
2001-01-12,501.464
2001-01-15,497.25
2001-01-16,492.997
2001-01-17,498.221
2001-01-18,505.564
2001-01-19,499.531
2001-01-22,500.867
2001-01-23,498.985
2001-01-24,496.348
2001-01-25,495.071
2001-01-26,495.957
2001-01-29,492.343
2001-01-30,497.657
2001-01-31,503.548
2001-02-01,503.36
2001-02-02,495.197
2001-02-05,493.994
2001-02-06,490.506
2001-02-07,484.63
2001-02-08,478.369
2001-02-09,475.585
2001-02-12,484.278
2001-02-13,477.151
2001-02-14,468.807
2001-02-15,463.525
2001-02-16,461.521
2001-02-19,463.216
2001-02-20,450.942
2001-02-21,449.757
2001-02-22,445.532
2001-02-23,440.114
2001-02-26,446.663
2001-02-27,448.377
2001-02-28,449.338
2001-03-01,446.696
2001-03-02,444.192
2001-03-05,440.538
2001-03-06,450.074
2001-03-07,450.196
2001-03-08,452.074
2001-03-09,444.972
2001-03-12,431.537
2001-03-13,425.591
2001-03-14,417.966
2001-03-15,417.236
2001-03-16,407.104
2001-03-19,408.002
2001-03-20,415.506
2001-03-21,409.66
2001-03-22,386.822
2001-03-23,399.274
2001-03-26,409.504
2001-03-27,420.384
2001-03-28,412.729
2001-03-29,414.073
2001-03-30,416.988
2001-04-02,417.097
2001-04-03,409.031
2001-04-04,421.125
2001-04-05,425.115
2001-04-06,426.546
2001-04-09,431.628
2001-04-10,430.301
2001-04-11,425.479
2001-04-12,430.843
2001-04-13,430.843
2001-04-16,426.423
2001-04-17,426.028
2001-04-18,429.036
2001-04-19,434.721
2001-04-20,437.285
2001-04-23,430.362
2001-04-24,432.685
2001-04-25,435.625
2001-04-26,437.442
2001-04-27,436.366
2001-04-30,438.96
2001-05-01,441.322
2001-05-02,441.363
2001-05-03,433.468
2001-05-04,433.924
2001-05-07,433.826
2001-05-08,429.217
2001-05-09,424.962
2001-05-10,427.921
2001-05-11,423.771
2001-05-14,425.414
2001-05-15,425.751
2001-05-16,426.509
2001-05-17,426.406
2001-05-18,425.285
2001-05-21,424.073
2001-05-22,424.943
2001-05-23,421.207
2001-05-24,422.167
2001-05-25,418.251
2001-05-28,421.518
2001-05-29,415.519
2001-05-30,409.012
2001-05-31,404.813
2001-06-01,402.732
2001-06-04,400.295
2001-06-05,402.889
2001-06-06,399.202
2001-06-07,403.323
2001-06-08,404.55
2001-06-11,400.752
2001-06-12,399.527
2001-06-13,402.612
2001-06-14,399.133
2001-06-15,397.618
2001-06-18,393.583
2001-06-19,391.875
2001-06-20,385.998
2001-06-21,384.174
2001-06-22,385.584
2001-06-25,391.946
2001-06-26,386.988
2001-06-27,389.178
2001-06-28,386.292
2001-06-29,388.471
2001-07-02,394.297
2001-07-03,393.98
2001-07-04,391.36
2001-07-05,387.235
2001-07-06,382.991
2001-07-09,386.203
2001-07-10,386.179
2001-07-11,384.595
2001-07-12,380.916
2001-07-13,381.12
2001-07-16,382.128
2001-07-17,375.255
2001-07-18,379.302
2001-07-19,383.452
2001-07-20,383.236
2001-07-23,382.728
2001-07-24,384.608
2001-07-25,384.128
2001-07-26,384.992
2001-07-27,387.847
2001-07-30,392.548
2001-07-31,393.748
2001-08-01,396.9
2001-08-02,397.698
2001-08-03,398.491
2001-08-06,398.969
2001-08-07,398.496
2001-08-08,396.533
2001-08-09,398.42
2001-08-10,395.975
2001-08-13,398.276
2001-08-14,400.227
2001-08-15,406.328
2001-08-16,403.172
2001-08-17,398.131
2001-08-20,395.155
2001-08-21,396.461
2001-08-22,400.873
2001-08-23,398.065
2001-08-24,403.335
2001-08-27,401.08
2001-08-28,396.382
2001-08-29,398.695
2001-08-30,391.333
2001-08-31,388.562
2001-09-03,383.648
2001-09-04,376.698
2001-09-05,365.474
2001-09-06,355.719
2001-09-07,357.446
2001-09-10,351.369
2001-09-11,330.566
2001-09-12,328.781
2001-09-13,332.618
2001-09-14,317.078
2001-09-17,315.781
2001-09-18,310.005
2001-09-19,307.22
2001-09-20,294.464
2001-09-21,277.278
2001-09-24,295.112
2001-09-25,305.952
2001-09-26,312.737
2001-09-27,317.055
2001-09-28,328.003
2001-10-01,322.144
2001-10-02,326.315
2001-10-03,330.972
2001-10-04,336.829
2001-10-05,332.342
2001-10-08,335.951
2001-10-09,335.051
2001-10-10,341.247
2001-10-11,342.613
2001-10-12,339.809
2001-10-15,334.587
2001-10-16,340.318
2001-10-17,345.874
2001-10-18,342.717
2001-10-19,333.911
2001-10-22,338.415
2001-10-23,345.332
2001-10-24,347.945
2001-10-25,341.869
2001-10-26,348.73
2001-10-29,347.895
2001-10-30,336.694
2001-10-31,339.955
2001-11-01,342.458
2001-11-02,338.914
2001-11-05,343.291
2001-11-06,339.507
2001-11-07,343.184
2001-11-08,346.437
2001-11-09,345.061
2001-11-12,335.781
2001-11-13,340.837
2001-11-14,342.576
2001-11-15,344.682
2001-11-16,350.478
2001-11-19,357.696
2001-11-20,354.06
2001-11-21,350.643
2001-11-22,354.108
2001-11-23,354.389
2001-11-26,354.135
2001-11-27,348.252
2001-11-28,348.534
2001-11-29,350.525
2001-11-30,353.035
2001-12-03,348.18
2001-12-04,352.648
2001-12-05,362.635
2001-12-06,365.295
2001-12-07,364.436
2001-12-10,356.902
2001-12-11,357.253
2001-12-12,355.226
2001-12-13,348.475
2001-12-14,348.922
2001-12-17,359.332
2001-12-18,355.293
2001-12-19,350.51
2001-12-20,345.961
2001-12-21,348.685
2001-12-24,345.224
2001-12-25,345.224
2001-12-26,345.519
2001-12-27,353.973
2001-12-28,352.947
2001-12-31,356.399
2002-01-01,356.401
2002-01-02,359.103
2002-01-03,364.222
2002-01-04,360.717
2002-01-07,357.279
2002-01-08,359.238
2002-01-09,359.199
2002-01-10,354.363
2002-01-11,355.561
2002-01-14,349.046
2002-01-15,351.652
2002-01-16,344.566
2002-01-17,347.579
2002-01-18,349.701
2002-01-21,346.659
2002-01-22,348.086
2002-01-23,349.342
2002-01-24,349.141
2002-01-25,345.382
2002-01-28,347.6
2002-01-29,345.569
2002-01-30,343.807
2002-01-31,344.941
2002-02-01,344.663
2002-02-04,342.092
2002-02-05,337.796
2002-02-06,332.717
2002-02-07,334.432
2002-02-08,336.734
2002-02-11,337.679
2002-02-12,334.141
2002-02-13,337.224
2002-02-14,339.691
2002-02-15,337.357
2002-02-18,334.83
2002-02-19,329.499
2002-02-20,327.795
2002-02-21,331.317
2002-02-22,332.452
2002-02-25,333.595
2002-02-26,334.18
2002-02-27,342.046
2002-02-28,343.317
2002-03-01,346.165
2002-03-04,354.768
2002-03-05,353.339
2002-03-06,358.738
2002-03-07,360.364
2002-03-08,362.054
2002-03-11,359.903
2002-03-12,356.394
2002-03-13,360.389
2002-03-14,364.452
2002-03-15,366.629
2002-03-18,364.852
2002-03-19,369.116
2002-03-20,367.025
2002-03-21,367.095
2002-03-22,367.176
2002-03-25,363.357
2002-03-26,364.623
2002-03-27,362.35
2002-03-28,367.156
2002-03-29,367.157
2002-04-01,370.155
2002-04-02,369.075
2002-04-03,369.863
2002-04-04,367.01
2002-04-05,365.921
2002-04-08,356.913
2002-04-09,359.414
2002-04-10,364.582
2002-04-11,362.072
2002-04-12,362.235
2002-04-15,363.586
2002-04-16,372.57
2002-04-17,373.568
2002-04-18,373.671
2002-04-19,374.951
2002-04-22,373.0
2002-04-23,373.05
2002-04-24,374.681
2002-04-25,373.01
2002-04-26,371.405
2002-04-29,372.173
2002-04-30,370.671
2002-05-01,372.757
2002-05-02,365.221
2002-05-03,366.621
2002-05-06,367.923
2002-05-07,364.157
2002-05-08,368.631
2002-05-09,364.535
2002-05-10,362.125
2002-05-13,366.459
2002-05-14,367.621
2002-05-15,370.228
2002-05-16,370.926
2002-05-17,374.3
2002-05-20,371.683
2002-05-21,370.872
2002-05-22,371.781
2002-05-23,368.544
2002-05-24,367.326
2002-05-27,366.751
2002-05-28,370.554
2002-05-29,371.621
2002-05-30,369.228
2002-05-31,367.055
2002-06-03,364.871
2002-06-04,359.107
2002-06-05,357.05
2002-06-06,357.83
2002-06-07,355.923
2002-06-10,357.911
2002-06-11,365.956
2002-06-12,361.837
2002-06-13,355.629
2002-06-14,349.641
2002-06-17,358.251
2002-06-18,360.27
2002-06-19,359.559
2002-06-20,355.051
2002-06-21,356.025
2002-06-24,354.102
2002-06-25,355.536
2002-06-26,360.748
2002-06-27,357.572
2002-06-28,368.497
2002-07-01,370.686
2002-07-02,360.139
2002-07-03,351.871
2002-07-04,353.486
2002-07-05,363.4
2002-07-08,367.67
2002-07-09,369.019
2002-07-10,360.735
2002-07-11,351.238
2002-07-12,347.829
2002-07-15,338.509
2002-07-16,341.379
2002-07-17,345.267
2002-07-18,350.597
2002-07-19,341.0
2002-07-22,326.112
2002-07-23,316.439
2002-07-24,313.782
2002-07-25,321.967
2002-07-26,320.129
2002-07-29,329.726
2002-07-30,333.989
2002-07-31,334.094
2002-08-01,326.647
2002-08-02,326.238
2002-08-05,321.004
2002-08-06,323.811
2002-08-07,323.1
2002-08-08,331.141
2002-08-09,336.505
2002-08-12,333.126
2002-08-13,336.646
2002-08-14,331.216
2002-08-15,328.749
2002-08-16,340.012
2002-08-19,346.308
2002-08-20,343.264
2002-08-21,347.243
2002-08-22,347.775
2002-08-23,345.265
2002-08-26,344.245
2002-08-27,354.595
2002-08-28,344.007
2002-08-29,337.288
2002-08-30,338.701
2002-09-02,335.555
2002-09-03,328.566
2002-09-04,330.917
2002-09-05,327.921
2002-09-06,332.791
2002-09-09,325.955
2002-09-10,331.975
2002-09-11,335.739
2002-09-12,327.968
2002-09-13,324.172
2002-09-16,323.035
2002-09-17,319.691
2002-09-18,313.69
2002-09-19,310.792
2002-09-20,307.308
2002-09-23,293.528
2002-09-24,292.049
2002-09-25,295.441
2002-09-26,302.685
2002-09-27,301.524
2002-09-30,293.795
2002-10-01,294.632
2002-10-02,300.444
2002-10-03,300.784
2002-10-04,291.855
2002-10-07,291.098
2002-10-08,285.217
2002-10-09,284.523
2002-10-10,290.937
2002-10-11,299.782
2002-10-14,296.989
2002-10-15,311.163
2002-10-16,307.133
2002-10-17,309.895
2002-10-18,307.708
2002-10-21,310.501
2002-10-22,309.894
2002-10-23,303.421
2002-10-24,309.17
2002-10-25,308.714
2002-10-28,312.302
2002-10-29,303.871
2002-10-30,311.809
2002-10-31,316.671
2002-11-01,314.949
2002-11-04,326.398
2002-11-05,329.182
2002-11-06,325.201
2002-11-07,321.094
2002-11-08,320.856
2002-11-11,316.654
2002-11-12,320.298
2002-11-13,318.903
2002-11-14,325.321
2002-11-15,325.759
2002-11-18,331.192
2002-11-19,331.943
2002-11-20,329.709
2002-11-21,336.328
2002-11-22,336.093
2002-11-25,334.65
2002-11-26,330.886
2002-11-27,338.751
2002-11-28,343.43
2002-11-29,343.733
2002-12-02,343.527
2002-12-03,336.725
2002-12-04,338.794
2002-12-05,332.435
2002-12-06,333.292
2002-12-09,325.813
