Date,ITALY IMI IMI (Large+Mid+Small Cap)
2001-01-01,522.655
2001-01-02,519.0
2001-01-03,505.17
2001-01-04,512.869
2001-01-05,517.514
2001-01-08,514.707
2001-01-09,510.336
2001-01-10,512.954
2001-01-11,525.29
2001-01-12,533.24
2001-01-15,528.759
2001-01-16,524.237
2001-01-17,529.792
2001-01-18,537.6
2001-01-19,531.185
2001-01-22,532.605
2001-01-23,530.604
2001-01-24,527.8
2001-01-25,526.442
2001-01-26,527.384
2001-01-29,523.542
2001-01-30,529.192
2001-01-31,535.456
2001-02-01,535.257
2001-02-02,526.576
2001-02-05,525.296
2001-02-06,521.588
2001-02-07,515.34
2001-02-08,508.682
2001-02-09,505.721
2001-02-12,514.965
2001-02-13,507.387
2001-02-14,498.514
2001-02-15,492.897
2001-02-16,490.766
2001-02-19,492.568
2001-02-20,479.517
2001-02-21,478.256
2001-02-22,473.764
2001-02-23,468.003
2001-02-26,474.967
2001-02-27,476.789
2001-02-28,477.811
2001-03-01,475.002
2001-03-02,472.338
2001-03-05,468.453
2001-03-06,478.593
2001-03-07,478.723
2001-03-08,480.721
2001-03-09,473.168
2001-03-12,458.882
2001-03-13,452.559
2001-03-14,444.451
2001-03-15,443.675
2001-03-16,432.901
2001-03-19,433.852
2001-03-20,441.833
2001-03-21,435.616
2001-03-22,411.331
2001-03-23,424.571
2001-03-26,435.45
2001-03-27,447.019
2001-03-28,438.879
2001-03-29,440.308
2001-03-30,443.405
2001-04-02,443.52
2001-04-03,434.943
2001-04-04,447.804
2001-04-05,452.047
2001-04-06,453.567
2001-04-09,458.964
2001-04-10,457.553
2001-04-11,452.425
2001-04-12,458.129
2001-04-13,458.129
2001-04-16,453.429
2001-04-17,453.009
2001-04-18,456.207
2001-04-19,462.253
2001-04-20,464.979
2001-04-23,457.15
2001-04-24,459.618
2001-04-25,462.741
2001-04-26,464.671
2001-04-27,463.528
2001-04-30,466.283
2001-05-01,468.792
2001-05-02,468.835
2001-05-03,460.45
2001-05-04,460.933
2001-05-07,460.74
2001-05-08,455.845
2001-05-09,451.326
2001-05-10,454.469
2001-05-11,450.061
2001-05-14,451.806
2001-05-15,452.163
2001-05-16,452.968
2001-05-17,452.859
2001-05-18,451.671
2001-05-21,449.445
2001-05-22,450.366
2001-05-23,446.407
2001-05-24,447.424
2001-05-25,443.275
2001-05-28,446.737
2001-05-29,440.377
2001-05-30,433.48
2001-05-31,429.03
2001-06-01,426.825
2001-06-04,424.234
2001-06-05,426.983
2001-06-06,423.075
2001-06-07,427.443
2001-06-08,428.743
2001-06-11,424.718
2001-06-12,423.419
2001-06-13,426.689
2001-06-14,423.002
2001-06-15,421.396
2001-06-18,416.047
2001-06-19,414.241
2001-06-20,408.029
2001-06-21,406.1
2001-06-22,407.591
2001-06-25,414.316
2001-06-26,409.075
2001-06-27,411.39
2001-06-28,408.339
2001-06-29,410.643
2001-07-02,416.801
2001-07-03,416.466
2001-07-04,413.696
2001-07-05,409.336
2001-07-06,404.85
2001-07-09,408.234
2001-07-10,408.209
2001-07-11,406.534
2001-07-12,402.645
2001-07-13,402.86
2001-07-16,403.927
2001-07-17,396.661
2001-07-18,400.939
2001-07-19,405.326
2001-07-20,405.097
2001-07-23,404.559
2001-07-24,406.546
2001-07-25,406.039
2001-07-26,406.952
2001-07-27,409.97
2001-07-30,414.939
2001-07-31,416.207
2001-08-01,419.539
2001-08-02,420.383
2001-08-03,421.222
2001-08-06,421.726
2001-08-07,421.226
2001-08-08,419.151
2001-08-09,421.146
2001-08-10,418.562
2001-08-13,420.994
2001-08-14,423.057
2001-08-15,429.505
2001-08-16,426.169
2001-08-17,420.841
2001-08-20,417.695
2001-08-21,419.075
2001-08-22,423.739
2001-08-23,420.771
2001-08-24,426.341
2001-08-27,423.958
2001-08-28,418.992
2001-08-29,421.437
2001-08-30,413.655
2001-08-31,410.726
2001-09-03,405.532
2001-09-04,398.185
2001-09-05,386.321
2001-09-06,376.009
2001-09-07,377.835
2001-09-10,371.411
2001-09-11,349.422
2001-09-12,347.535
2001-09-13,351.59
2001-09-14,335.164
2001-09-17,333.794
2001-09-18,327.687
2001-09-19,324.744
2001-09-20,311.26
2001-09-21,293.094
2001-09-24,311.946
2001-09-25,323.404
2001-09-26,330.576
2001-09-27,335.14
2001-09-28,346.713
2001-10-01,340.519
2001-10-02,344.928
2001-10-03,349.851
2001-10-04,356.042
2001-10-05,351.299
2001-10-08,355.114
2001-10-09,354.163
2001-10-10,360.712
2001-10-11,362.155
2001-10-12,359.192
2001-10-15,353.672
2001-10-16,359.73
2001-10-17,365.603
2001-10-18,362.266
2001-10-19,352.958
2001-10-22,357.718
2001-10-23,365.03
2001-10-24,367.792
2001-10-25,361.369
2001-10-26,368.622
2001-10-29,367.739
2001-10-30,355.899
2001-10-31,359.346
2001-11-01,361.992
2001-11-02,358.245
2001-11-05,362.873
2001-11-06,358.873
2001-11-07,362.759
2001-11-08,366.198
2001-11-09,364.744
2001-11-12,354.934
2001-11-13,360.278
2001-11-14,362.117
2001-11-15,364.342
2001-11-16,370.47
2001-11-19,378.078
2001-11-20,374.235
2001-11-21,370.623
2001-11-22,374.286
2001-11-23,374.583
2001-11-26,374.315
2001-11-27,368.096
2001-11-28,368.395
2001-11-29,370.499
2001-11-30,373.152
2001-12-03,368.02
2001-12-04,372.743
2001-12-05,383.299
2001-12-06,386.11
2001-12-07,385.203
2001-12-10,377.239
2001-12-11,377.61
2001-12-12,375.468
2001-12-13,368.332
2001-12-14,368.804
2001-12-17,379.807
2001-12-18,375.539
2001-12-19,370.483
2001-12-20,365.675
2001-12-21,368.554
2001-12-24,364.896
2001-12-25,364.896
2001-12-26,365.207
2001-12-27,374.143
2001-12-28,373.058
2001-12-31,376.707
2002-01-01,376.709
2002-01-02,379.565
2002-01-03,384.976
2002-01-04,381.271
2002-01-07,377.638
2002-01-08,379.708
2002-01-09,379.667
2002-01-10,374.555
2002-01-11,375.822
2002-01-14,368.935
2002-01-15,371.69
2002-01-16,364.201
2002-01-17,367.385
2002-01-18,369.627
2002-01-21,366.412
2002-01-22,367.92
2002-01-23,369.247
2002-01-24,369.035
2002-01-25,365.062
2002-01-28,367.406
2002-01-29,365.259
2002-01-30,363.397
2002-01-31,364.595
2002-02-01,364.302
2002-02-04,361.585
2002-02-05,357.044
2002-02-06,351.675
2002-02-07,353.487
2002-02-08,355.921
2002-02-11,356.92
2002-02-12,353.18
2002-02-13,356.439
2002-02-14,359.046
2002-02-15,356.579
2002-02-18,353.908
