Date,ITALY IMI IMI (Large+Mid+Small Cap)
1994-05-31,226.544
1994-06-30,212.011
1994-07-29,220.149
1994-08-31,214.729
1994-09-30,214.511
1994-10-31,204.418
1994-11-30,192.647
1994-12-30,194.46
1995-01-31,206.037
1995-02-28,187.088
1995-03-31,175.016
1995-04-28,190.691
1995-05-31,192.802
1995-06-30,186.804
1995-07-31,202.352
1995-08-31,197.69
1995-09-29,194.05
1995-10-31,184.854
1995-11-30,174.687
1995-12-29,187.955
1996-01-31,196.119
1996-02-29,196.245
1996-03-29,187.333
1996-04-30,212.022
1996-05-31,219.163
1996-06-28,219.932
1996-07-31,204.529
1996-08-30,203.333
1996-09-30,215.25
1996-10-31,204.654
1996-11-29,223.646
1996-12-31,224.169
1997-01-31,248.381
1997-02-28,223.533
1997-03-31,228.16
1997-04-30,230.761
1997-05-30,232.236
1997-06-30,254.655
1997-07-31,269.849
1997-08-29,264.232
1997-09-30,302.022
1997-10-31,287.433
1997-11-28,291.001
1997-12-31,312.305
1998-01-30,347.734
1998-02-27,366.414
1998-03-31,442.796
1998-04-30,428.319
1998-05-29,451.394
1998-06-30,426.009
1998-07-31,465.177
1998-08-31,402.841
1998-09-30,379.126
1998-10-30,402.443
1998-11-30,445.203
1998-12-31,477.52
1999-01-29,459.571
1999-02-26,452.536
1999-03-31,468.534
1999-04-30,459.205
1999-05-31,439.645
1999-06-30,432.669
1999-07-30,424.288
1999-08-31,432.356
1999-09-30,439.63
1999-10-29,426.162
1999-11-30,434.147
1999-12-31,503.559
2000-01-31,481.841
2000-02-29,566.239
2000-03-31,524.746
2000-04-28,490.806
2000-05-31,501.29
2000-06-30,527.412
2000-07-31,510.119
2000-08-31,509.874
2000-09-29,482.11
2000-10-31,479.796
2000-11-30,484.705
2000-12-29,491.51
2001-01-31,503.548
2001-02-28,449.338
2001-03-30,416.988
2001-04-30,438.96
2001-05-31,404.813
2001-06-29,388.471
2001-07-31,393.748
2001-08-31,388.562
2001-09-28,328.003
2001-10-31,339.955
2001-11-30,353.035
2001-12-31,356.399
2002-01-31,344.941
2002-02-28,343.317
2002-03-29,367.157
2002-04-30,370.671
2002-05-31,367.055
2002-06-28,368.497
2002-07-31,334.094
2002-08-30,338.701
2002-09-30,293.795
2002-10-31,316.671
2002-11-29,343.733
2002-12-31,339.276
2003-01-31,334.596
2003-02-28,344.877
2003-03-31,324.258
2003-04-30,367.195
2003-05-30,407.838
2003-06-30,401.996
2003-07-31,400.657
2003-08-29,390.132
2003-09-30,406.304
2003-10-31,425.233
2003-11-28,458.981
2003-12-31,479.819
2004-01-30,488.415
2004-02-27,494.845
2004-03-31,479.246
2004-04-30,485.375
2004-05-31,492.716
2004-06-30,510.812
2004-07-30,498.883
2004-08-31,496.109
