Date,NEW ZEALAND SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,99.842
2001-01-03,100.652
2001-01-04,101.422
2001-01-05,103.375
2001-01-08,103.361
2001-01-09,103.826
2001-01-10,102.576
2001-01-11,103.745
2001-01-12,103.968
2001-01-15,103.762
2001-01-16,104.73
2001-01-17,104.171
2001-01-18,104.313
2001-01-19,105.789
2001-01-22,105.432
2001-01-23,104.561
2001-01-24,102.504
2001-01-25,102.238
2001-01-26,101.838
2001-01-29,101.013
2001-01-30,102.246
2001-01-31,102.972
2001-02-01,105.059
2001-02-02,103.721
2001-02-05,102.322
2001-02-06,102.334
2001-02-07,103.194
2001-02-08,102.791
2001-02-09,102.739
2001-02-12,103.037
2001-02-13,101.96
2001-02-14,98.814
2001-02-15,97.575
2001-02-16,100.36
2001-02-19,101.023
2001-02-20,102.242
2001-02-21,103.223
2001-02-22,103.439
2001-02-23,103.571
2001-02-26,102.53
2001-02-27,102.813
2001-02-28,101.143
2001-03-01,102.451
2001-03-02,103.661
2001-03-05,103.275
2001-03-06,103.468
2001-03-07,104.124
2001-03-08,102.635
2001-03-09,102.127
2001-03-12,103.188
2001-03-13,102.12
2001-03-14,102.243
2001-03-15,102.6
2001-03-16,103.128
2001-03-19,103.038
2001-03-20,105.117
2001-03-21,104.541
2001-03-22,100.902
2001-03-23,104.086
2001-03-26,101.957
2001-03-27,100.681
2001-03-28,99.673
2001-03-29,99.467
2001-03-30,98.201
2001-04-02,98.068
2001-04-03,98.12
2001-04-04,98.792
2001-04-05,99.054
2001-04-06,98.995
2001-04-09,100.017
2001-04-10,100.085
2001-04-11,100.272
2001-04-12,101.367
2001-04-13,101.367
2001-04-16,101.566
2001-04-17,101.083
2001-04-18,100.174
2001-04-19,102.39
2001-04-20,104.487
2001-04-23,101.633
2001-04-24,100.259
2001-04-25,100.874
2001-04-26,101.472
2001-04-27,101.123
2001-04-30,103.483
2001-05-01,104.063
2001-05-02,105.063
2001-05-03,105.31
2001-05-04,103.903
2001-05-07,103.942
2001-05-08,103.692
2001-05-09,103.845
2001-05-10,105.527
2001-05-11,104.369
2001-05-14,104.085
2001-05-15,104.425
2001-05-16,105.097
2001-05-17,107.093
2001-05-18,108.135
2001-05-21,108.425
2001-05-22,106.833
2001-05-23,105.211
2001-05-24,105.972
2001-05-25,106.184
2001-05-28,106.066
2001-05-29,105.298
2001-05-30,104.035
2001-05-31,102.025
2001-06-01,101.603
2001-06-04,101.343
2001-06-05,103.912
2001-06-06,106.193
2001-06-07,107.171
2001-06-08,107.465
2001-06-11,106.539
2001-06-12,108.83
2001-06-13,110.583
2001-06-14,109.204
2001-06-15,109.558
2001-06-18,108.14
2001-06-19,107.842
2001-06-20,105.991
2001-06-21,106.726
