Date,NEW ZEALAND SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,102.972
2001-02-28,101.143
2001-03-30,98.201
2001-04-30,103.483
2001-05-31,102.025
2001-06-29,106.28
2001-07-31,114.475
2001-08-31,127.334
2001-09-28,111.408
2001-10-31,125.696
2001-11-30,132.645
2001-12-31,131.027
2002-01-31,129.109
2002-02-28,126.737
2002-03-29,133.904
2002-04-30,137.098
2002-05-31,148.914
2002-06-28,146.683
2002-07-31,135.782
2002-08-30,143.778
2002-09-30,145.476
2002-10-31,155.916
2002-11-29,153.165
2002-12-31,167.679
2003-01-31,179.743
2003-02-28,180.516
2003-03-31,174.738
2003-04-30,185.349
2003-05-30,193.782
2003-06-30,215.455
2003-07-31,209.375
2003-08-29,216.659
2003-09-30,228.898
2003-10-31,241.073
2003-11-28,250.951
2003-12-31,266.029
2004-01-30,266.907
2004-02-27,264.291
2004-03-31,273.917
2004-04-30,267.898
2004-05-31,267.539
2004-06-30,275.736
2004-07-30,287.993
2004-08-31,295.358
2004-09-30,320.043
2004-10-29,318.462
2004-11-30,357.434
2004-12-31,376.27
2005-01-31,366.377
2005-02-28,386.734
2005-03-31,360.06
2005-04-29,355.017
2005-05-31,347.546
2005-06-30,375.717
2005-07-29,382.6
2005-08-31,383.578
2005-09-30,405.126
2005-10-31,387.207
2005-11-30,386.443
2005-12-30,374.131
2006-01-31,375.611
2006-02-28,374.987
2006-03-31,383.451
2006-04-28,406.724
2006-05-31,405.377
2006-06-30,397.151
2006-07-31,400.777
2006-08-31,402.101
2006-09-29,413.862
2006-10-31,437.139
2006-11-30,452.823
2006-12-29,476.813
2007-01-31,470.912
2007-02-28,455.34
2007-03-30,462.949
2007-04-30,488.608
2007-05-31,493.164
2007-06-29,503.504
2007-07-31,493.144
2007-08-31,440.483
2007-09-28,497.543
2007-10-31,516.136
2007-11-30,487.979
2007-12-31,493.519
2008-01-31,456.078
2008-02-29,445.99
2008-03-31,428.319
2008-04-30,438.478
2008-05-30,426.422
2008-06-30,384.746
2008-07-31,389.761
2008-08-29,386.914
2008-09-30,340.495
2008-10-31,282.034
2008-11-28,251.452
2008-12-31,268.75
2009-01-30,238.583
2009-02-27,214.137
2009-03-31,244.742
2009-04-30,246.145
2009-05-29,291.152
2009-06-30,290.66
2009-07-31,322.222
2009-08-31,340.55
2009-09-30,365.604
2009-10-30,368.2
2009-11-30,359.396
2009-12-31,382.322
2010-01-29,367.195
2010-02-26,364.14
2010-03-31,378.99
2010-04-30,397.207
2010-05-31,340.226
2010-06-30,338.929
2010-07-30,362.143
2010-08-31,353.356
2010-09-30,389.323
2010-10-29,424.776
2010-11-30,399.477
2010-12-31,430.034
2011-01-31,422.362
2011-02-28,404.978
2011-03-31,418.377
2011-04-29,452.032
2011-05-31,457.394
2011-06-30,449.375
2011-07-29,465.729
2011-08-31,443.278
2011-09-30,402.668
2011-10-31,425.71
2011-11-30,408.742
2011-12-30,407.886
2012-01-31,432.618
2012-02-29,440.219
2012-03-30,451.794
2012-04-30,455.796
2012-05-31,406.455
2012-06-29,433.236
2012-07-31,445.671
2012-08-31,463.05
2012-09-28,508.495
2012-10-31,521.62
2012-11-30,530.451
2012-12-31,527.541
2013-01-31,549.093
2013-02-28,555.367
2013-03-29,570.346
2013-04-30,603.316
2013-05-31,567.28
2013-06-28,540.772
2013-07-31,576.333
2013-08-30,554.055
2013-09-30,617.331
2013-10-31,641.814
2013-11-29,619.544
2013-12-31,619.506
2014-01-31,626.137
2014-02-28,657.678
2014-03-31,703.941
2014-04-30,697.319
2014-05-30,699.565
2014-06-30,716.958
2014-07-31,691.633
2014-08-29,697.425
2014-09-30,660.447
2014-10-31,696.586
2014-11-28,713.603
2014-12-31,732.021
2015-01-30,693.234
2015-02-27,754.421
2015-03-31,749.714
2015-04-30,755.138
2015-05-29,722.611
2015-06-30,669.877
2015-07-31,682.88
2015-08-31,605.366
2015-09-30,617.203
2015-10-30,692.716
2015-11-30,696.753
2015-12-31,760.103
2016-01-29,704.119
2016-02-29,714.991
2016-03-31,814.456
2016-04-29,823.519
2016-05-31,825.64
2016-06-30,853.246
2016-07-29,910.219
2016-08-31,909.317
2016-09-30,902.794
2016-10-31,820.286
2016-11-30,814.099
2016-12-30,800.787
2017-01-31,857.853
2017-02-28,860.688
2017-03-31,864.036
2017-04-28,878.345
2017-05-31,933.622
2017-06-30,995.639
2017-07-31,1024.255
2017-08-31,997.954
2017-09-29,1044.184
2017-10-31,1043.289
2017-11-30,1051.473
2017-12-29,1103.394
2018-01-31,1170.518
2018-02-28,1190.165
2018-03-30,1187.798
2018-04-30,1171.273
2018-05-31,1171.611
2018-06-29,1150.618
2018-07-31,1158.597
2018-08-31,1140.446
2018-09-28,1164.667
2018-10-31,1080.937
2018-11-30,1181.142
2018-12-31,1149.303
2019-01-31,1206.567
2019-02-28,1204.087
2019-03-29,1274.207
2019-04-30,1242.739
2019-05-31,1221.162
2019-06-28,1336.871
2019-07-31,1323.092
2019-08-30,1295.341
2019-09-30,1311.436
2019-10-31,1292.446
2019-11-29,1310.064
2019-12-31,1395.069
2020-01-31,1361.927
2020-02-28,1213.029
2020-03-31,906.715
2020-04-30,1048.143
2020-05-29,1078.092
2020-06-30,1137.893
2020-07-31,1193.048
