Date,NEW ZEALAND SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,102.972
2001-02-28,101.143
2001-03-30,98.3
2001-04-30,103.81
2001-05-31,102.478
2001-06-29,106.829
2001-07-31,115.08
2001-08-31,128.006
2001-09-28,112.345
2001-10-31,126.88
2001-11-30,134.222
2001-12-31,132.63
2002-01-31,130.761
2002-02-28,128.36
2002-03-29,136.006
2002-04-30,139.366
2002-05-31,151.522
2002-06-28,149.466
2002-07-31,138.442
2002-08-30,146.594
2002-09-30,148.614
2002-10-31,159.608
2002-11-29,157.262
2002-12-31,172.434
2003-01-31,184.84
2003-02-28,185.736
2003-03-31,180.732
2003-04-30,191.868
2003-05-30,200.72
2003-06-30,223.502
2003-07-31,217.195
2003-08-29,224.751
2003-09-30,237.956
2003-10-31,251.335
2003-11-28,261.681
2003-12-31,278.231
2004-01-30,279.15
2004-02-27,276.414
2004-03-31,288.295
2004-04-30,282.082
2004-05-31,281.876
2004-06-30,291.267
2004-07-30,304.213
2004-08-31,312.088
2004-09-30,338.861
2004-10-29,338.419
2004-11-30,380.516
2004-12-31,400.568
2005-01-31,390.037
2005-02-28,411.707
2005-03-31,385.384
2005-04-29,380.209
2005-05-31,372.225
2005-06-30,403.001
2005-07-29,410.384
2005-08-31,411.504
2005-09-30,435.437
2005-10-31,416.411
2005-11-30,415.761
2005-12-30,402.707
2006-01-31,404.299
2006-02-28,403.628
2006-03-31,413.346
2006-04-28,438.677
2006-05-31,437.225
2006-06-30,428.831
2006-07-31,432.746
2006-08-31,434.176
2006-09-29,447.63
2006-10-31,472.963
2006-11-30,490.397
2006-12-29,516.473
2007-01-31,510.152
2007-02-28,493.329
2007-03-30,502.287
2007-04-30,530.278
2007-05-31,535.282
2007-06-29,547.298
2007-07-31,536.037
2007-08-31,478.853
2007-09-28,541.24
2007-10-31,561.707
2007-11-30,531.455
2007-12-31,537.974
2008-01-31,497.226
2008-02-29,486.392
2008-03-31,467.536
2008-04-30,478.964
2008-05-30,465.909
2008-06-30,421.149
2008-07-31,426.701
2008-08-29,423.584
2008-09-30,373.394
2008-10-31,309.375
2008-11-28,276.05
2008-12-31,295.475
2009-01-30,262.357
2009-02-27,235.512
2009-03-31,269.452
2009-04-30,271.193
2009-05-29,320.826
2009-06-30,320.836
2009-07-31,355.831
2009-08-31,376.136
2009-09-30,404.293
2009-10-30,407.268
2009-11-30,397.734
2009-12-31,423.761
2010-01-29,407.081
2010-02-26,403.77
2010-03-31,420.79
2010-04-30,441.135
2010-05-31,377.922
2010-06-30,377.197
2010-07-30,403.092
2010-08-31,393.395
2010-09-30,434.189
2010-10-29,473.812
2010-11-30,445.967
2010-12-31,480.522
2011-01-31,472.031
2011-02-28,452.602
2011-03-31,468.287
2011-04-29,506.104
2011-05-31,512.376
2011-06-30,504.011
2011-07-29,522.431
2011-08-31,497.247
2011-09-30,452.852
2011-10-31,478.766
2011-11-30,460.434
2011-12-30,459.541
2012-01-31,487.433
2012-02-29,496.223
2012-03-30,509.763
2012-04-30,514.395
2012-05-31,459.092
2012-06-29,489.778
2012-07-31,503.928
2012-08-31,523.645
2012-09-28,576.421
2012-10-31,591.345
2012-11-30,602.169
2012-12-31,598.954
2013-01-31,623.424
2013-02-28,630.623
2013-03-29,649.021
2013-04-30,686.539
2013-05-31,646.017
2013-06-28,616.235
2013-07-31,656.841
2013-08-30,631.451
2013-09-30,705.013
2013-10-31,732.974
2013-11-29,707.863
2013-12-31,708.158
2014-01-31,715.737
2014-02-28,751.792
2014-03-31,806.266
2014-04-30,798.688
2014-05-30,801.704
2014-06-30,822.183
2014-07-31,793.14
2014-08-29,799.797
2014-09-30,759.938
2014-10-31,801.536
2014-11-28,822.371
2014-12-31,843.956
2015-01-30,799.238
2015-02-27,869.782
2015-03-31,866.091
2015-04-30,872.357
2015-05-29,835.232
2015-06-30,775.021
2015-07-31,790.065
2015-08-31,700.398
2015-09-30,715.712
2015-10-30,803.278
2015-11-30,808.241
2015-12-31,882.342
2016-01-29,817.355
2016-02-29,829.975
2016-03-31,947.518
2016-04-29,958.133
2016-05-31,961.215
2016-06-30,994.033
2016-07-29,1060.407
2016-08-31,1059.379
2016-09-30,1054.571
2016-10-31,958.191
2016-11-30,951.507
2016-12-30,936.499
2017-01-31,1003.236
2017-02-28,1006.883
2017-03-31,1012.501
2017-04-28,1029.27
2017-05-31,1094.524
2017-06-30,1168.324
2017-07-31,1201.904
2017-08-31,1171.455
2017-09-29,1227.624
2017-10-31,1226.571
2017-11-30,1236.732
2017-12-29,1298.172
2018-01-31,1377.146
2018-02-28,1400.261
2018-03-30,1400.387
2018-04-30,1381.178
2018-05-31,1382.197
2018-06-29,1358.394
2018-07-31,1367.813
2018-08-31,1347.871
2018-09-28,1379.429
2018-10-31,1280.63
2018-11-30,1400.152
2018-12-31,1362.848
2019-01-31,1430.752
2019-02-28,1428.322
2019-03-29,1514.218
2019-04-30,1477.222
2019-05-31,1452.44
2019-06-28,1591.379
2019-07-31,1574.977
2019-08-30,1543.759
2019-09-30,1564.774
2019-10-31,1542.549
2019-11-29,1564.668
2019-12-31,1666.743
2020-01-31,1627.147
2020-02-28,1449.803
2020-03-31,1086.004
2020-04-30,1254.83
2020-05-29,1290.817
2020-06-30,1363.114
