Date,EUROPE SMID VALUE SMID (Small+Mid Cap)
1994-05-31,152.967
1994-06-30,150.918
1994-07-29,156.561
1994-08-31,159.121
1994-09-30,154.139
1994-10-31,157.023
1994-11-30,150.795
1994-12-30,151.648
1995-01-31,150.82
1995-02-28,152.817
1995-03-31,157.248
1995-04-28,161.434
1995-05-31,165.415
1995-06-30,166.569
1995-07-31,173.916
1995-08-31,166.511
1995-09-29,169.379
1995-10-31,166.233
1995-11-30,163.146
1995-12-29,167.241
1996-01-31,168.836
1996-02-29,174.664
1996-03-29,176.101
1996-04-30,178.046
1996-05-31,181.901
1996-06-28,183.279
1996-07-31,180.513
1996-08-30,183.913
1996-09-30,182.82
1996-10-31,186.215
1996-11-29,191.991
1996-12-31,197.947
1997-01-31,198.67
1997-02-28,200.736
1997-03-31,204.816
1997-04-30,201.03
1997-05-30,209.549
1997-06-30,214.393
1997-07-31,214.749
1997-08-29,212.79
1997-09-30,227.348
1997-10-31,226.108
1997-11-28,223.753
1997-12-31,226.656
1998-01-30,232.79
1998-02-27,250.041
1998-03-31,272.726
1998-04-30,282.19
1998-05-29,291.735
1998-06-30,280.064
1998-07-31,280.365
1998-08-31,249.19
1998-09-30,238.765
1998-10-30,250.624
1998-11-30,256.203
1998-12-31,259.594
1999-01-29,255.189
1999-02-26,252.695
1999-03-31,256.256
1999-04-30,267.282
1999-05-31,262.618
1999-06-30,264.957
1999-07-30,274.215
1999-08-31,278.3
1999-09-30,275.912
1999-10-29,269.537
1999-11-30,266.123
1999-12-31,281.787
2000-01-31,268.318
2000-02-29,273.587
2000-03-31,275.917
2000-04-28,263.993
2000-05-31,267.15
2000-06-30,279.278
2000-07-31,277.241
2000-08-31,275.576
2000-09-29,268.35
2000-10-31,261.61
2000-11-30,264.598
2000-12-29,285.274
2001-01-31,290.25
2001-02-28,288.925
2001-03-30,266.875
2001-04-30,277.739
2001-05-31,275.379
2001-06-29,266.673
2001-07-31,268.158
2001-08-31,271.593
2001-09-28,234.037
2001-10-31,242.716
2001-11-30,254.222
2001-12-31,258.859
2002-01-31,255.442
2002-02-28,258.905
2002-03-29,275.884
2002-04-30,286.657
2002-05-31,294.407
2002-06-28,286.792
2002-07-31,259.053
2002-08-30,257.806
2002-09-30,229.918
2002-10-31,240.282
2002-11-29,251.313
2002-12-31,246.748
2003-01-31,237.246
2003-02-28,228.932
2003-03-31,226.717
2003-04-30,258.522
2003-05-30,283.253
2003-06-30,288.415
2003-07-31,301.094
2003-08-29,307.278
2003-09-30,315.979
2003-10-31,339.753
2003-11-28,353.566
2003-12-31,375.908
2004-01-30,389.285
2004-02-27,407.368
2004-03-31,399.255
2004-04-30,393.39
2004-05-31,400.36
2004-06-30,412.524
2004-07-30,403.175
2004-08-31,406.37
2004-09-30,424.519
2004-10-29,439.348
2004-11-30,480.681
2004-12-31,508.329
2005-01-31,512.62
2005-02-28,538.585
2005-03-31,523.946
2005-04-29,507.209
2005-05-31,514.077
2005-06-30,521.904
2005-07-29,539.497
2005-08-31,553.246
2005-09-30,566.511
2005-10-31,542.533
2005-11-30,561.131
2005-12-30,588.831
2006-01-31,637.995
2006-02-28,652.316
2006-03-31,683.303
2006-04-28,718.38
2006-05-31,697.208
2006-06-30,698.241
2006-07-31,704.825
2006-08-31,731.136
2006-09-29,749.313
2006-10-31,790.88
2006-11-30,835.945
2006-12-29,873.404
2007-01-31,886.231
2007-02-28,887.923
2007-03-30,933.288
2007-04-30,985.073
2007-05-31,1000.0
2007-06-29,972.467
2007-07-31,954.544
2007-08-31,931.286
2007-09-28,929.169
2007-10-31,975.068
2007-11-30,897.528
2007-12-31,864.071
2008-01-31,789.925
2008-02-29,811.038
2008-03-31,823.202
2008-04-30,836.055
2008-05-30,834.192
2008-06-30,732.573
2008-07-31,699.72
2008-08-29,693.126
2008-09-30,573.77
2008-10-31,426.587
2008-11-28,396.026
2008-12-31,415.319
2009-01-30,379.245
2009-02-27,342.059
2009-03-31,369.003
2009-04-30,455.231
2009-05-29,510.631
2009-06-30,498.622
2009-07-31,555.47
2009-08-31,616.638
2009-09-30,656.16
2009-10-30,637.926
2009-11-30,642.006
2009-12-31,647.833
2010-01-29,631.01
2010-02-26,609.231
2010-03-31,660.131
2010-04-30,656.976
2010-05-31,566.673
2010-06-30,562.344
2010-07-30,637.237
2010-08-31,605.491
2010-09-30,683.882
2010-10-29,715.813
2010-11-30,652.055
2010-12-31,723.814
2011-01-31,757.394
2011-02-28,778.505
2011-03-31,776.89
2011-04-29,834.654
2011-05-31,809.226
2011-06-30,778.687
2011-07-29,736.821
2011-08-31,656.485
2011-09-30,568.205
2011-10-31,626.897
2011-11-30,581.678
2011-12-30,563.417
2012-01-31,617.341
2012-02-29,661.986
2012-03-30,661.231
2012-04-30,637.817
2012-05-31,547.006
2012-06-29,589.916
2012-07-31,589.523
2012-08-31,621.634
2012-09-28,652.283
2012-10-31,667.01
2012-11-30,682.016
2012-12-31,720.343
2013-01-31,767.842
2013-02-28,754.713
2013-03-29,744.34
2013-04-30,788.543
2013-05-31,804.183
2013-06-28,767.196
2013-07-31,842.921
2013-08-30,841.194
2013-09-30,909.639
2013-10-31,963.307
2013-11-29,969.844
2013-12-31,1001.205
2014-01-31,987.711
2014-02-28,1070.787
2014-03-31,1062.258
2014-04-30,1073.772
2014-05-30,1081.556
2014-06-30,1077.381
2014-07-31,1029.935
2014-08-29,1023.258
2014-09-30,969.492
2014-10-31,946.463
2014-11-28,970.927
2014-12-31,952.09
2015-01-30,956.188
2015-02-27,1028.225
2015-03-31,1003.188
2015-04-30,1052.792
2015-05-29,1052.956
2015-06-30,1031.512
2015-07-31,1054.927
2015-08-31,1002.391
2015-09-30,959.945
2015-10-30,1017.038
2015-11-30,997.46
2015-12-31,981.938
2016-01-29,909.999
