Date,EUROPE SMID VALUE SMID (Small+Mid Cap)
2001-01-01,293.641
2001-01-02,295.651
2001-01-03,293.108
2001-01-04,295.208
2001-01-05,297.228
2001-01-08,296.717
2001-01-09,294.136
2001-01-10,293.829
2001-01-11,296.79
2001-01-12,296.268
2001-01-15,295.19
2001-01-16,293.732
2001-01-17,294.041
2001-01-18,297.444
2001-01-19,295.497
2001-01-22,294.588
2001-01-23,295.997
2001-01-24,292.435
2001-01-25,293.161
2001-01-26,293.605
2001-01-29,293.689
2001-01-30,296.237
2001-01-31,298.73
2001-02-01,302.526
2001-02-02,300.108
2001-02-05,301.635
2001-02-06,300.51
2001-02-07,300.31
2001-02-08,297.157
2001-02-09,297.54
2001-02-12,299.761
2001-02-13,298.397
2001-02-14,297.488
2001-02-15,294.876
2001-02-16,297.254
2001-02-19,298.385
2001-02-20,295.852
2001-02-21,295.599
2001-02-22,294.423
2001-02-23,293.859
2001-02-26,294.302
2001-02-27,297.362
2001-02-28,297.356
2001-03-01,298.779
2001-03-02,301.091
2001-03-05,300.027
2001-03-06,301.653
2001-03-07,301.073
2001-03-08,302.599
2001-03-09,301.687
2001-03-12,298.402
2001-03-13,291.329
2001-03-14,285.294
2001-03-15,285.384
2001-03-16,279.962
2001-03-19,278.906
2001-03-20,280.218
2001-03-21,275.101
2001-03-22,264.684
2001-03-23,269.243
2001-03-26,273.16
2001-03-27,276.337
2001-03-28,274.197
2001-03-29,273.143
2001-03-30,274.577
2001-04-02,273.693
2001-04-03,271.951
2001-04-04,274.839
2001-04-05,276.293
2001-04-06,277.92
2001-04-09,279.45
2001-04-10,278.674
2001-04-11,277.982
2001-04-12,280.681
2001-04-13,280.679
2001-04-16,278.314
2001-04-17,277.398
2001-04-18,276.927
2001-04-19,281.249
2001-04-20,284.528
2001-04-23,283.207
2001-04-24,282.75
2001-04-25,283.686
2001-04-26,285.556
2001-04-27,284.741
2001-04-30,285.456
2001-05-01,286.726
2001-05-02,287.016
2001-05-03,286.301
2001-05-04,287.081
2001-05-07,286.999
2001-05-08,285.914
2001-05-09,284.554
2001-05-10,285.672
2001-05-11,284.688
2001-05-14,283.604
2001-05-15,285.683
2001-05-16,287.251
2001-05-17,288.744
2001-05-18,289.151
2001-05-21,289.714
2001-05-22,288.494
2001-05-23,286.443
2001-05-24,284.922
2001-05-25,284.926
2001-05-28,285.903
2001-05-29,284.139
2001-05-30,284.395
2001-05-31,282.61
2001-06-01,282.436
2001-06-04,283.193
2001-06-05,284.055
2001-06-06,282.892
2001-06-07,283.54
2001-06-08,282.903
2001-06-11,279.436
2001-06-12,279.095
2001-06-13,280.03
2001-06-14,280.13
2001-06-15,279.029
2001-06-18,278.651
2001-06-19,277.829
2001-06-20,274.283
2001-06-21,275.432
2001-06-22,275.577
2001-06-25,276.781
2001-06-26,275.01
2001-06-27,274.662
2001-06-28,272.69
2001-06-29,273.467
2001-07-02,274.136
2001-07-03,273.915
2001-07-04,273.463
2001-07-05,269.807
2001-07-06,269.589
2001-07-09,269.937
2001-07-10,271.533
2001-07-11,271.262
2001-07-12,269.922
2001-07-13,269.619
2001-07-16,269.44
2001-07-17,267.72
2001-07-18,272.131
2001-07-19,273.268
2001-07-20,273.888
2001-07-23,272.635
2001-07-24,272.62
2001-07-25,272.153
2001-07-26,271.898
2001-07-27,272.533
2001-07-30,273.867
2001-07-31,274.922
2001-08-01,277.783
2001-08-02,279.951
2001-08-03,280.234
2001-08-06,278.272
2001-08-07,276.71
2001-08-08,275.354
2001-08-09,276.545
2001-08-10,278.383
2001-08-13,279.513
2001-08-14,279.818
2001-08-15,283.47
2001-08-16,282.961
2001-08-17,282.536
2001-08-20,280.768
2001-08-21,281.83
2001-08-22,283.871
2001-08-23,281.881
2001-08-24,283.1
2001-08-27,282.277
2001-08-28,281.946
2001-08-29,281.43
2001-08-30,278.955
2001-08-31,278.422
2001-09-03,276.188
2001-09-04,273.08
2001-09-05,271.241
2001-09-06,268.991
2001-09-07,269.306
2001-09-10,264.147
2001-09-11,256.566
2001-09-12,253.624
2001-09-13,255.212
2001-09-14,251.615
2001-09-17,248.132
2001-09-18,245.24
2001-09-19,245.221
2001-09-20,236.062
2001-09-21,225.606
2001-09-24,231.415
2001-09-25,235.896
2001-09-26,237.926
2001-09-27,237.976
2001-09-28,239.895
2001-10-01,240.709
2001-10-02,240.008
2001-10-03,241.385
2001-10-04,244.186
2001-10-05,245.957
2001-10-08,244.35
2001-10-09,245.097
2001-10-10,244.287
2001-10-11,246.112
2001-10-12,248.078
2001-10-15,247.097
2001-10-16,249.134
2001-10-17,251.297
2001-10-18,248.762
2001-10-19,246.123
2001-10-22,244.395
2001-10-23,245.639
2001-10-24,246.894
2001-10-25,247.329
2001-10-26,248.814
2001-10-29,250.675
2001-10-30,248.593
2001-10-31,248.777
2001-11-01,250.814
2001-11-02,250.822
2001-11-05,251.147
2001-11-06,251.766
2001-11-07,253.488
2001-11-08,254.53
2001-11-09,254.766
2001-11-12,252.809
2001-11-13,252.785
2001-11-14,255.143
2001-11-15,255.726
2001-11-16,257.336
2001-11-19,258.457
2001-11-20,258.244
2001-11-21,256.271
2001-11-22,257.757
2001-11-23,256.952
2001-11-26,258.364
2001-11-27,258.138
2001-11-28,258.085
2001-11-29,257.85
2001-11-30,260.537
2001-12-03,258.247
2001-12-04,260.084
2001-12-05,262.785
2001-12-06,265.543
2001-12-07,265.543
2001-12-10,263.254
2001-12-11,262.553
2001-12-12,262.882
2001-12-13,260.875
2001-12-14,261.599
2001-12-17,263.962
2001-12-18,263.748
2001-12-19,261.804
2001-12-20,260.498
2001-12-21,259.138
2001-12-24,257.685
2001-12-25,257.685
2001-12-26,258.267
2001-12-27,262.238
2001-12-28,262.866
2001-12-31,265.277
2002-01-01,265.279
2002-01-02,268.05
2002-01-03,270.438
2002-01-04,271.385
2002-01-07,271.307
2002-01-08,270.408
2002-01-09,270.064
2002-01-10,270.014
2002-01-11,270.101
2002-01-14,269.386
2002-01-15,268.491
2002-01-16,265.13
2002-01-17,265.871
2002-01-18,266.715
2002-01-21,266.638
2002-01-22,266.442
2002-01-23,266.767
2002-01-24,266.25
2002-01-25,262.242
2002-01-28,262.191
2002-01-29,261.647
2002-01-30,260.309
2002-01-31,261.745
2002-02-01,262.273
2002-02-04,262.955
2002-02-05,261.829
2002-02-06,261.058
2002-02-07,261.101
2002-02-08,262.444
2002-02-11,264.468
2002-02-12,264.894
2002-02-13,264.591
2002-02-14,265.066
2002-02-15,266.253
2002-02-18,264.98
2002-02-19,263.774
2002-02-20,262.557
2002-02-21,263.557
2002-02-22,263.908
2002-02-25,263.736
2002-02-26,264.724
2002-02-27,265.156
2002-02-28,265.289
2002-03-01,267.187
2002-03-04,271.705
2002-03-05,271.643
2002-03-06,273.758
2002-03-07,277.696
2002-03-08,278.018
2002-03-11,278.503
2002-03-12,276.07
2002-03-13,277.136
2002-03-14,279.482
2002-03-15,280.589
2002-03-18,281.672
2002-03-19,282.86
2002-03-20,283.189
2002-03-21,282.705
2002-03-22,282.914
2002-03-25,281.898
2002-03-26,281.931
2002-03-27,281.21
2002-03-28,282.581
2002-03-29,282.585
2002-04-01,285.21
2002-04-02,285.577
2002-04-03,285.205
2002-04-04,284.675
2002-04-05,284.827
2002-04-08,281.835
2002-04-09,282.789
2002-04-10,284.899
2002-04-11,285.544
2002-04-12,285.131
2002-04-15,285.797
2002-04-16,287.501
2002-04-17,289.974
2002-04-18,290.937
2002-04-19,291.383
2002-04-22,291.256
2002-04-23,291.368
2002-04-24,292.303
2002-04-25,291.817
2002-04-26,291.732
2002-04-29,292.644
2002-04-30,293.322
2002-05-01,294.931
2002-05-02,295.46
2002-05-03,298.206
2002-05-06,298.556
2002-05-07,295.871
2002-05-08,297.224
2002-05-09,296.906
2002-05-10,297.937
2002-05-13,298.01
2002-05-14,296.226
2002-05-15,298.194
2002-05-16,299.095
2002-05-17,302.417
2002-05-20,302.061
2002-05-21,300.862
2002-05-22,301.537
2002-05-23,299.317
2002-05-24,299.664
2002-05-27,298.946
2002-05-28,300.895
2002-05-29,300.514
2002-05-30,300.763
2002-05-31,300.849
2002-06-03,301.062
2002-06-04,299.804
2002-06-05,297.313
2002-06-06,298.469
2002-06-07,296.28
2002-06-10,296.753
2002-06-11,297.762
2002-06-12,296.135
2002-06-13,293.867
2002-06-14,287.067
2002-06-17,290.127
2002-06-18,290.721
2002-06-19,289.749
2002-06-20,287.095
2002-06-21,287.613
2002-06-24,285.473
2002-06-25,286.559
2002-06-26,286.664
2002-06-27,287.775
2002-06-28,292.919
2002-07-01,293.794
2002-07-02,289.02
2002-07-03,282.385
2002-07-04,283.776
2002-07-05,287.275
2002-07-08,290.992
2002-07-09,291.064
2002-07-10,285.517
2002-07-11,278.438
2002-07-12,277.419
2002-07-15,272.879
2002-07-16,271.201
2002-07-17,274.802
2002-07-18,278.583
2002-07-19,274.202
2002-07-22,264.544
2002-07-23,257.352
2002-07-24,251.246
2002-07-25,257.959
2002-07-26,254.426
2002-07-29,260.682
2002-07-30,264.088
2002-07-31,264.56
2002-08-01,258.973
2002-08-02,258.927
2002-08-05,252.532
2002-08-06,250.387
2002-08-07,251.066
2002-08-08,254.067
2002-08-09,256.509
2002-08-12,256.089
2002-08-13,257.572
2002-08-14,257.829
2002-08-15,259.911
2002-08-16,260.851
2002-08-19,262.961
2002-08-20,261.757
2002-08-21,265.986
2002-08-22,268.118
2002-08-23,266.687
2002-08-26,266.45
2002-08-27,270.111
2002-08-28,265.324
2002-08-29,263.097
2002-08-30,263.281
2002-09-02,262.295
2002-09-03,259.258
2002-09-04,258.292
2002-09-05,255.373
2002-09-06,257.453
2002-09-09,255.029
2002-09-10,257.41
2002-09-11,259.028
2002-09-12,256.156
2002-09-13,253.818
2002-09-16,251.333
