Date,CANADA SMALL VALUE Small Cap
2021-06-30,1691.771
2021-07-30,1675.176
2021-08-31,1665.562
2021-09-30,1693.54
2021-10-29,1810.323
2021-11-30,1697.555
2021-12-31,1788.983
2022-01-31,1807.814
2022-02-28,1895.452
2022-03-31,2002.5
2022-04-29,1902.158
2022-05-31,1936.533
2022-06-30,1671.644
2022-07-29,1805.92
2022-08-31,1743.536
2022-09-30,1548.203
2022-10-31,1660.901
2022-11-30,1780.654
2022-12-30,1729.906
2023-01-31,1888.435
2023-02-28,1785.216
2023-03-31,1815.997
2023-04-28,1813.89
2023-05-31,1749.961
2023-06-30,1818.492
2023-07-31,1949.163
2023-08-31,1875.34
2023-09-29,1805.093
2023-10-31,1699.356
2023-11-30,1767.83
2023-12-29,1897.155
2024-01-31,1863.862
2024-02-29,1830.442
2024-03-29,1951.015
2024-04-30,1900.982
2024-05-31,1978.911
2024-06-28,1944.216
2024-07-31,2044.04
2024-08-30,2076.937
2024-09-30,2174.088
2024-10-31,2104.987
2024-11-29,2146.936
2024-12-31,2018.958
2025-01-31,1999.359
2025-02-28,2016.432
2025-03-31,2066.803
2025-04-30,2093.495
2025-05-30,2258.757
2025-06-30,2379.655
2025-07-31,2362.624
2025-08-29,2561.957
2025-09-30,2760.189
2025-10-31,2758.854
2025-11-28,2907.934
