Date,CANADA SMALL VALUE Small Cap
2001-01-01,264.166
2001-01-02,263.113
2001-01-03,262.147
2001-01-04,259.197
2001-01-05,259.145
2001-01-08,259.664
2001-01-09,260.265
2001-01-10,260.565
2001-01-11,264.298
2001-01-12,262.27
2001-01-15,262.509
2001-01-16,263.409
2001-01-17,262.352
2001-01-18,258.903
2001-01-19,261.724
2001-01-22,263.103
2001-01-23,263.726
2001-01-24,263.376
2001-01-25,264.101
2001-01-26,264.985
2001-01-29,266.846
2001-01-30,267.743
2001-01-31,267.045
2001-02-01,269.06
2001-02-02,271.702
2001-02-05,271.83
2001-02-06,270.622
2001-02-07,268.637
2001-02-08,269.672
2001-02-09,269.27
2001-02-12,267.766
2001-02-13,268.158
2001-02-14,266.801
2001-02-15,266.578
2001-02-16,264.959
2001-02-19,265.517
2001-02-20,264.164
2001-02-21,258.82
2001-02-22,259.44
2001-02-23,257.92
2001-02-26,260.194
2001-02-27,262.118
2001-02-28,261.344
2001-03-01,258.828
2001-03-02,258.953
2001-03-05,262.864
2001-03-06,266.393
2001-03-07,266.424
2001-03-08,268.621
2001-03-09,269.129
2001-03-12,265.379
2001-03-13,265.878
2001-03-14,263.658
2001-03-15,261.95
2001-03-16,259.281
2001-03-19,264.415
2001-03-20,263.17
2001-03-21,258.542
2001-03-22,254.39
2001-03-23,255.0
2001-03-26,258.121
2001-03-27,257.111
2001-03-28,254.019
2001-03-29,254.076
2001-03-30,257.798
2001-04-02,259.383
2001-04-03,256.161
2001-04-04,258.215
2001-04-05,258.347
2001-04-06,259.405
2001-04-09,261.049
2001-04-10,265.555
2001-04-11,266.183
2001-04-12,267.85
2001-04-13,267.884
2001-04-16,268.563
2001-04-17,270.135
2001-04-18,270.45
2001-04-19,272.018
2001-04-20,274.217
2001-04-23,272.255
2001-04-24,273.036
2001-04-25,274.719
2001-04-26,275.691
2001-04-27,277.236
2001-04-30,279.12
2001-05-01,279.809
2001-05-02,280.459
2001-05-03,279.201
2001-05-04,280.04
2001-05-07,280.972
2001-05-08,280.34
2001-05-09,282.447
2001-05-10,285.441
2001-05-11,283.582
2001-05-14,282.856
2001-05-15,284.178
2001-05-16,288.346
2001-05-17,290.551
2001-05-18,291.892
2001-05-21,292.524
2001-05-22,294.019
2001-05-23,292.53
2001-05-24,292.182
2001-05-25,290.463
2001-05-28,290.247
2001-05-29,290.665
2001-05-30,287.884
2001-05-31,290.029
2001-06-01,294.494
2001-06-04,294.958
2001-06-05,294.512
2001-06-06,293.975
2001-06-07,293.826
2001-06-08,292.903
2001-06-11,294.281
2001-06-12,293.928
2001-06-13,295.325
2001-06-14,293.073
2001-06-15,292.909
2001-06-18,290.432
2001-06-19,287.864
2001-06-20,287.123
2001-06-21,284.858
2001-06-22,284.116
2001-06-25,285.028
2001-06-26,284.362
2001-06-27,282.435
2001-06-28,281.989
2001-06-29,283.417
2001-07-02,283.879
2001-07-03,287.142
2001-07-04,285.779
2001-07-05,288.312
2001-07-06,286.969
2001-07-09,285.46
2001-07-10,284.864
2001-07-11,281.788
2001-07-12,283.548
2001-07-13,284.407
2001-07-16,281.909
2001-07-17,283.658
