Date,CANADA SMALL VALUE Small Cap
1998-05-29,302.499
1998-06-30,282.765
1998-07-31,258.981
1998-08-31,203.107
1998-09-30,215.176
1998-10-30,218.366
1998-11-30,220.274
1998-12-31,227.126
1999-01-29,224.905
1999-02-26,214.9
1999-03-31,222.93
1999-04-30,248.576
1999-05-31,241.714
1999-06-30,246.783
1999-07-30,247.535
1999-08-31,250.167
1999-09-30,253.799
1999-10-29,241.502
1999-11-30,236.733
1999-12-31,257.053
2000-01-31,249.785
2000-02-29,264.517
2000-03-31,255.636
2000-04-28,257.337
2000-05-31,257.885
2000-06-30,266.446
2000-07-31,257.896
2000-08-31,279.826
2000-09-29,275.544
2000-10-31,262.899
2000-11-30,251.499
2000-12-29,271.19
2001-01-31,274.079
2001-02-28,268.137
2001-03-30,264.353
2001-04-30,286.173
2001-05-31,297.231
2001-06-29,290.272
2001-07-31,290.271
2001-08-31,281.96
2001-09-28,251.702
2001-10-31,249.269
2001-11-30,265.052
2001-12-31,279.755
2002-01-31,288.891
2002-02-28,297.005
2002-03-29,315.617
2002-04-30,321.763
2002-05-31,342.9
2002-06-28,324.661
2002-07-31,285.016
2002-08-30,286.594
2002-09-30,267.624
2002-10-31,276.674
2002-11-29,287.324
2002-12-31,287.283
2003-01-31,291.663
2003-02-28,291.57
2003-03-31,280.701
2003-04-30,305.985
2003-05-30,335.699
2003-06-30,355.979
2003-07-31,365.836
2003-08-29,388.783
2003-09-30,395.7
2003-10-31,427.333
2003-11-28,443.124
2003-12-31,470.095
2004-01-30,464.702
2004-02-27,472.254
2004-03-31,472.677
2004-04-30,438.064
2004-05-31,447.719
2004-06-30,465.903
2004-07-30,458.183
2004-08-31,453.524
2004-09-30,486.033
2004-10-29,501.435
2004-11-30,540.766
2004-12-31,563.584
2005-01-31,545.798
2005-02-28,584.818
2005-03-31,581.856
2005-04-29,543.366
2005-05-31,564.442
2005-06-30,579.043
2005-07-29,603.902
2005-08-31,634.245
2005-09-30,668.411
2005-10-31,629.219
2005-11-30,659.227
2005-12-30,687.898
2006-01-31,745.481
2006-02-28,739.289
2006-03-31,756.127
2006-04-28,808.519
2006-05-31,788.265
2006-06-30,750.653
2006-07-31,750.349
2006-08-31,784.645
2006-09-29,754.831
2006-10-31,798.611
2006-11-30,824.881
2006-12-29,823.057
2007-01-31,828.084
2007-02-28,849.246
2007-03-30,872.608
