Date,SPAIN SMID CAP SMID (Small+Mid Cap)
2013-08-30,537.633
2013-09-30,603.339
2013-10-31,647.904
2013-11-29,651.137
2013-12-31,684.747
2014-01-31,704.688
2014-02-28,754.638
2014-03-31,760.325
2014-04-30,763.525
2014-05-30,770.93
2014-06-30,779.948
2014-07-31,734.855
2014-08-29,726.264
2014-09-30,694.134
2014-10-31,675.968
2014-11-28,685.893
2014-12-31,655.361
2015-01-30,643.597
2015-02-27,686.464
2015-03-31,687.991
2015-04-30,709.07
2015-05-29,688.298
2015-06-30,675.881
2015-07-31,688.474
2015-08-31,659.942
2015-09-30,626.365
2015-10-30,671.376
2015-11-30,648.703
2015-12-31,633.49
2016-01-29,592.097
2016-02-29,581.932
2016-03-31,633.05
2016-04-29,662.029
2016-05-31,641.371
2016-06-30,593.608
2016-07-29,632.071
2016-08-31,628.953
2016-09-30,637.774
2016-10-31,619.629
2016-11-30,572.594
2016-12-30,605.234
2017-01-31,621.934
2017-02-28,623.304
2017-03-31,669.123
2017-04-28,698.087
2017-05-31,747.724
2017-06-30,719.017
2017-07-31,738.343
2017-08-31,736.547
2017-09-29,720.526
2017-10-31,727.407
2017-11-30,728.602
2017-12-29,738.305
2018-01-31,794.84
2018-02-28,746.278
2018-03-30,752.62
2018-04-30,773.46
2018-05-31,724.408
2018-06-29,732.647
2018-07-31,743.003
2018-08-31,728.091
2018-09-28,722.333
2018-10-31,654.074
2018-11-30,655.633
2018-12-31,629.931
2019-01-31,666.499
2019-02-28,668.804
2019-03-29,664.223
2019-04-30,686.034
2019-05-31,653.628
2019-06-28,672.785
2019-07-31,644.504
2019-08-30,627.239
2019-09-30,639.618
2019-10-31,676.677
2019-11-29,687.715
2019-12-31,708.297
2020-01-31,680.637
2020-02-28,641.004
2020-03-31,521.937
2020-04-30,560.548
2020-05-29,564.474
2020-06-30,592.132
2020-07-31,620.0
2020-08-31,647.683
2020-09-30,618.463
2020-10-30,589.798
2020-11-30,730.301
2020-12-31,771.87
2021-01-29,759.937
2021-02-26,804.606
2021-03-31,821.579
2021-04-30,836.461
2021-05-31,873.357
2021-06-30,827.355
2021-07-30,814.322
2021-08-31,832.851
2021-09-30,834.257
2021-10-29,844.98
2021-11-30,781.366
2021-12-31,822.484
2022-01-31,804.466
2022-02-28,817.735
2022-03-31,823.089
2022-04-29,814.886
2022-05-31,863.773
2022-06-30,788.903
2022-07-29,746.879
2022-08-31,726.902
2022-09-30,653.597
2022-10-31,711.5
2022-11-30,781.041
2022-12-30,803.504
2023-01-31,877.463
2023-02-28,865.998
2023-03-31,840.085
2023-04-28,837.568
2023-05-31,790.907
2023-06-30,844.813
2023-07-31,886.301
2023-08-31,867.366
2023-09-29,854.663
2023-10-31,816.451
2023-11-30,909.31
2023-12-29,919.804
2024-01-31,890.972
2024-02-29,877.152
2024-03-29,942.934
2024-04-30,950.813
2024-05-31,1031.666
2024-06-28,980.475
2024-07-31,1008.242
2024-08-30,1030.393
2024-09-30,1043.464
2024-10-31,989.789
2024-11-29,966.459
2024-12-31,956.309
2025-01-31,1014.614
2025-02-28,1082.062
2025-03-31,1133.622
2025-04-30,1187.759
2025-05-30,1283.003
2025-06-30,1343.519
2025-07-31,1415.755
2025-08-29,1480.27
2025-09-30,1523.255
2025-10-31,1535.435
2025-11-28,1548.439
2025-12-31,1625.667
2026-01-30,1700.379
