Date,SPAIN SMID CAP SMID (Small+Mid Cap)
2001-01-01,181.652
2001-01-02,185.45
2001-01-03,185.963
2001-01-04,189.055
2001-01-05,189.848
2001-01-08,189.33
2001-01-09,186.716
2001-01-10,187.072
2001-01-11,190.659
2001-01-12,192.345
2001-01-15,190.662
2001-01-16,190.03
2001-01-17,190.173
2001-01-18,193.401
2001-01-19,190.882
2001-01-22,191.809
2001-01-23,193.712
2001-01-24,191.104
2001-01-25,192.337
2001-01-26,193.489
2001-01-29,192.022
2001-01-30,195.586
2001-01-31,197.961
2001-02-01,201.474
2001-02-02,197.131
2001-02-05,197.957
2001-02-06,196.787
2001-02-07,196.086
2001-02-08,195.584
2001-02-09,196.637
2001-02-12,200.511
2001-02-13,198.677
2001-02-14,195.588
2001-02-15,193.613
2001-02-16,195.511
2001-02-19,197.432
2001-02-20,194.481
2001-02-21,194.217
2001-02-22,192.546
2001-02-23,191.625
2001-02-26,192.132
2001-02-27,194.142
2001-02-28,195.358
2001-03-01,194.96
2001-03-02,197.415
2001-03-05,197.206
2001-03-06,199.963
2001-03-07,199.694
2001-03-08,199.877
2001-03-09,199.768
2001-03-12,196.911
2001-03-13,193.54
2001-03-14,190.421
2001-03-15,189.855
2001-03-16,185.71
2001-03-19,186.037
2001-03-20,187.99
2001-03-21,182.537
2001-03-22,173.717
2001-03-23,179.576
2001-03-26,182.62
2001-03-27,183.454
2001-03-28,180.726
2001-03-29,179.598
2001-03-30,181.517
2001-04-02,181.996
2001-04-03,179.607
2001-04-04,184.842
2001-04-05,185.099
2001-04-06,185.524
2001-04-09,187.231
2001-04-10,185.234
2001-04-11,183.896
2001-04-12,185.219
2001-04-13,185.219
2001-04-16,183.323
2001-04-17,182.462
2001-04-18,183.269
2001-04-19,186.344
2001-04-20,187.811
2001-04-23,186.336
2001-04-24,187.691
2001-04-25,189.213
2001-04-26,190.978
2001-04-27,189.725
2001-04-30,190.273
2001-05-01,191.282
2001-05-02,191.458
2001-05-03,191.042
2001-05-04,190.624
2001-05-07,190.159
2001-05-08,189.518
2001-05-09,189.967
2001-05-10,190.562
2001-05-11,189.311
2001-05-14,188.733
2001-05-15,189.56
2001-05-16,190.267
2001-05-17,190.756
2001-05-18,190.665
2001-05-21,189.782
2001-05-22,187.682
2001-05-23,186.497
2001-05-24,185.885
2001-05-25,184.684
2001-05-28,186.233
2001-05-29,184.291
2001-05-30,185.425
2001-05-31,184.283
2001-06-01,183.531
2001-06-04,185.492
2001-06-05,186.898
2001-06-06,186.233
2001-06-07,187.047
2001-06-08,187.8
2001-06-11,186.643
2001-06-12,185.996
2001-06-13,186.371
2001-06-14,187.861
2001-06-15,188.536
2001-06-18,185.934
2001-06-19,185.258
2001-06-20,183.781
2001-06-21,183.474
2001-06-22,183.234
2001-06-25,185.073
2001-06-26,184.236
2001-06-27,184.962
2001-06-28,182.66
2001-06-29,182.024
2001-07-02,182.797
2001-07-03,182.819
2001-07-04,182.721
2001-07-05,179.219
2001-07-06,177.824
2001-07-09,178.49
2001-07-10,180.698
2001-07-11,179.68
2001-07-12,176.352
2001-07-13,177.201
2001-07-16,177.854
2001-07-17,178.267
2001-07-18,181.42
2001-07-19,181.941
2001-07-20,182.55
2001-07-23,182.515
2001-07-24,184.194
2001-07-25,182.91
2001-07-26,183.2
2001-07-27,183.597
2001-07-30,186.302
2001-07-31,186.308
2001-08-01,187.939
2001-08-02,189.655
2001-08-03,190.951
2001-08-06,190.325
2001-08-07,189.222
2001-08-08,188.387
2001-08-09,190.113
2001-08-10,191.28
2001-08-13,193.053
2001-08-14,193.366
2001-08-15,196.318
2001-08-16,195.45
2001-08-17,195.222
2001-08-20,194.412
2001-08-21,194.894
2001-08-22,196.844
2001-08-23,195.045
2001-08-24,195.921
2001-08-27,194.234
2001-08-28,193.29
2001-08-29,193.816
2001-08-30,191.466
2001-08-31,191.696
2001-09-03,189.582
2001-09-04,186.533
2001-09-05,184.222
2001-09-06,183.276
2001-09-07,183.898
2001-09-10,181.034
2001-09-11,172.367
2001-09-12,171.86
2001-09-13,172.525
2001-09-14,169.734
2001-09-17,166.684
2001-09-18,166.735
2001-09-19,167.667
2001-09-20,161.949
2001-09-21,154.865
2001-09-24,159.829
2001-09-25,164.467
2001-09-26,166.37
2001-09-27,167.758
2001-09-28,168.012
2001-10-01,168.73
2001-10-02,170.524
2001-10-03,171.904
2001-10-04,172.445
2001-10-05,172.227
2001-10-08,172.332
2001-10-09,172.014
2001-10-10,173.271
2001-10-11,172.962
2001-10-12,173.729
2001-10-15,173.937
2001-10-16,175.783
2001-10-17,177.383
2001-10-18,175.008
2001-10-19,172.251
2001-10-22,172.502
2001-10-23,172.479
2001-10-24,173.735
2001-10-25,172.179
2001-10-26,172.965
2001-10-29,175.25
2001-10-30,174.791
2001-10-31,175.922
2001-11-01,176.888
2001-11-02,175.827
2001-11-05,175.762
2001-11-06,176.313
2001-11-07,176.612
2001-11-08,177.23
2001-11-09,176.757
2001-11-12,174.204
2001-11-13,174.559
2001-11-14,176.27
2001-11-15,176.025
2001-11-16,176.875
2001-11-19,178.963
2001-11-20,178.493
2001-11-21,176.477
2001-11-22,179.179
2001-11-23,178.813
2001-11-26,180.344
2001-11-27,179.987
2001-11-28,179.872
2001-11-29,179.824
2001-11-30,183.079
2001-12-03,181.425
2001-12-04,184.368
2001-12-05,185.685
2001-12-06,186.323
2001-12-07,184.938
2001-12-10,183.746
2001-12-11,184.55
2001-12-12,184.431
2001-12-13,182.442
2001-12-14,182.9
2001-12-17,186.395
2001-12-18,184.578
2001-12-19,183.547
2001-12-20,182.454
2001-12-21,181.489
2001-12-24,179.678
2001-12-25,179.678
2001-12-26,179.832
2001-12-27,182.42
2001-12-28,181.0
2001-12-31,182.78
2002-01-01,182.78
2002-01-02,185.597
2002-01-03,186.836
2002-01-04,185.13
2002-01-07,182.751
2002-01-08,183.592
2002-01-09,181.974
2002-01-10,181.608
2002-01-11,181.668
2002-01-14,182.106
2002-01-15,181.794
2002-01-16,180.183
2002-01-17,181.852
2002-01-18,182.953
2002-01-21,181.751
2002-01-22,182.551
2002-01-23,183.329
2002-01-24,183.66
2002-01-25,180.236
2002-01-28,180.853
2002-01-29,180.809
2002-01-30,180.135
2002-01-31,181.391
2002-02-01,181.999
2002-02-04,182.695
2002-02-05,182.221
2002-02-06,181.279
2002-02-07,182.157
2002-02-08,182.783
2002-02-11,183.592
2002-02-12,183.428
2002-02-13,183.777
2002-02-14,185.089
2002-02-15,185.491
2002-02-18,184.654
2002-02-19,184.563
2002-02-20,183.95
2002-02-21,183.659
2002-02-22,184.748
2002-02-25,184.275
2002-02-26,184.523
2002-02-27,185.651
2002-02-28,185.755
2002-03-01,187.246
2002-03-04,189.497
2002-03-05,189.24
2002-03-06,190.903
2002-03-07,193.604
2002-03-08,193.994
2002-03-11,194.625
2002-03-12,192.855
2002-03-13,193.129
2002-03-14,195.848
2002-03-15,196.834
2002-03-18,198.041
2002-03-19,199.007
2002-03-20,198.701
2002-03-21,198.238
2002-03-22,198.157
2002-03-25,195.694
2002-03-26,195.903
2002-03-27,195.803
2002-03-28,197.2
2002-03-29,197.2
2002-04-01,198.816
2002-04-02,198.62
2002-04-03,198.476
2002-04-04,197.844
2002-04-05,197.986
2002-04-08,195.227
2002-04-09,196.408
2002-04-10,198.53
2002-04-11,198.543
2002-04-12,198.419
2002-04-15,199.203
2002-04-16,202.239
2002-04-17,203.418
2002-04-18,203.774
2002-04-19,205.474
2002-04-22,205.486
2002-04-23,205.796
2002-04-24,207.02
2002-04-25,208.142
2002-04-26,208.686
2002-04-29,209.256
2002-04-30,209.41
2002-05-01,210.595
2002-05-02,208.093
2002-05-03,210.392
2002-05-06,211.154
2002-05-07,209.984
2002-05-08,210.259
2002-05-09,211.259
2002-05-10,211.317
2002-05-13,211.884
2002-05-14,211.278
2002-05-15,212.306
2002-05-16,211.756
2002-05-17,214.443
2002-05-20,213.741
2002-05-21,213.824
2002-05-22,216.002
2002-05-23,216.111
2002-05-24,217.507
2002-05-27,216.578
2002-05-28,219.487
2002-05-29,220.517
2002-05-30,219.919
2002-05-31,219.389
2002-06-03,219.876
2002-06-04,217.777
2002-06-05,215.209
2002-06-06,218.044
2002-06-07,218.591
2002-06-10,217.842
2002-06-11,219.102
2002-06-12,219.874
2002-06-13,218.453
2002-06-14,215.352
2002-06-17,215.432
2002-06-18,215.509
2002-06-19,215.769
2002-06-20,214.415
2002-06-21,214.286
2002-06-24,211.47
2002-06-25,211.56
2002-06-26,213.306
2002-06-27,211.961
2002-06-28,217.758
2002-07-01,217.738
2002-07-02,215.986
2002-07-03,212.765
2002-07-04,213.478
2002-07-05,216.677
2002-07-08,218.9
2002-07-09,219.919
2002-07-10,216.236
2002-07-11,210.137
2002-07-12,211.653
2002-07-15,210.209
2002-07-16,210.35
2002-07-17,210.656
2002-07-18,212.814
2002-07-19,208.492
2002-07-22,202.672
2002-07-23,197.145
2002-07-24,194.944
2002-07-25,199.064
2002-07-26,196.915
2002-07-29,201.304
2002-07-30,202.053
2002-07-31,202.393
2002-08-01,201.251
2002-08-02,200.254
2002-08-05,197.955
2002-08-06,195.802
2002-08-07,194.71
2002-08-08,196.828
2002-08-09,197.671
2002-08-12,196.973
2002-08-13,198.164
2002-08-14,198.812
2002-08-15,197.331
2002-08-16,199.82
2002-08-19,200.874
2002-08-20,197.659
2002-08-21,199.539
2002-08-22,200.456
2002-08-23,199.101
2002-08-26,199.148
2002-08-27,201.777
2002-08-28,198.412
2002-08-29,197.288
2002-08-30,197.526
2002-09-02,197.527
2002-09-03,197.213
2002-09-04,198.15
2002-09-05,195.177
2002-09-06,197.068
2002-09-09,194.949
2002-09-10,194.718
2002-09-11,196.467
2002-09-12,195.03
2002-09-13,192.863
2002-09-16,191.078
2002-09-17,190.285
2002-09-18,188.963
2002-09-19,188.743
2002-09-20,189.089
2002-09-23,185.475
2002-09-24,180.13
2002-09-25,180.356
2002-09-26,181.928
2002-09-27,182.684
2002-09-30,183.211
2002-10-01,181.529
2002-10-02,184.74
2002-10-03,184.466
2002-10-04,183.374
2002-10-07,182.837
2002-10-08,182.345
2002-10-09,181.066
2002-10-10,181.665
2002-10-11,185.845
2002-10-14,186.534
