Date,SPAIN SMID CAP SMID (Small+Mid Cap)
1994-05-31,127.388
1994-06-30,123.414
1994-07-29,126.837
1994-08-31,127.851
1994-09-30,122.524
1994-10-31,121.999
1994-11-30,119.302
1994-12-30,114.146
1995-01-31,110.434
1995-02-28,112.123
1995-03-31,109.283
1995-04-28,120.974
1995-05-31,126.626
1995-06-30,128.004
1995-07-31,135.655
1995-08-31,129.545
1995-09-29,128.861
1995-10-31,124.979
1995-11-30,127.292
1995-12-29,130.543
1996-01-31,128.017
1996-02-29,133.752
1996-03-29,132.799
1996-04-30,133.822
1996-05-31,133.333
1996-06-28,138.817
1996-07-31,134.697
1996-08-30,136.801
1996-09-30,136.765
1996-10-31,141.058
1996-11-29,145.313
1996-12-31,162.192
1997-01-31,156.822
1997-02-28,151.193
1997-03-31,155.016
1997-04-30,158.095
1997-05-30,171.979
1997-06-30,185.544
1997-07-31,177.53
1997-08-29,175.474
1997-09-30,192.537
1997-10-31,181.566
1997-11-28,188.761
1997-12-31,189.748
1998-01-30,200.175
1998-02-27,218.222
1998-03-31,246.304
1998-04-30,250.379
1998-05-29,253.872
1998-06-30,249.279
1998-07-31,250.834
1998-08-31,226.267
1998-09-30,225.608
1998-10-30,243.023
1998-11-30,256.739
1998-12-31,270.815
1999-01-29,259.445
1999-02-26,254.069
1999-03-31,234.044
1999-04-30,227.884
1999-05-31,224.352
1999-06-30,220.285
1999-07-30,217.72
1999-08-31,226.423
1999-09-30,222.183
1999-10-29,213.518
1999-11-30,210.741
1999-12-31,232.594
2000-01-31,210.159
2000-02-29,240.118
2000-03-31,235.417
2000-04-28,219.404
2000-05-31,209.849
2000-06-30,210.53
2000-07-31,201.087
2000-08-31,199.859
2000-09-29,196.411
2000-10-31,186.422
2000-11-30,178.687
2000-12-29,185.887
2001-01-31,202.421
2001-02-28,199.754
2001-03-30,185.583
2001-04-30,194.51
2001-05-31,188.32
2001-06-29,185.85
2001-07-31,189.998
2001-08-31,195.49
2001-09-28,171.317
2001-10-31,179.302
2001-11-30,186.556
2001-12-31,186.231
2002-01-31,184.717
2002-02-28,189.152
2002-03-29,200.77
2002-04-30,213.131
2002-05-31,223.24
2002-06-28,221.473
2002-07-31,205.628
2002-08-30,200.679
2002-09-30,186.107
2002-10-31,194.745
2002-11-29,205.712
2002-12-31,205.303
2003-01-31,210.463
2003-02-28,215.241
2003-03-31,218.34
2003-04-30,236.793
2003-05-30,260.701
2003-06-30,259.811
2003-07-31,260.394
2003-08-29,254.452
2003-09-30,268.881
2003-10-31,277.19
2003-11-28,291.521
2003-12-31,315.788
2004-01-30,326.236
2004-02-27,343.137
2004-03-31,336.929
2004-04-30,333.261
2004-05-31,337.19
2004-06-30,343.533
2004-07-30,339.885
2004-08-31,346.268
2004-09-30,367.137
2004-10-29,383.135
2004-11-30,414.694
2004-12-31,447.908
2005-01-31,463.461
2005-02-28,488.929
2005-03-31,478.954
2005-04-29,470.131
2005-05-31,489.546
2005-06-30,507.864
2005-07-29,521.709
2005-08-31,532.661
2005-09-30,559.852
2005-10-31,538.207
2005-11-30,537.966
2005-12-30,543.844
2006-01-31,589.089
2006-02-28,616.743
2006-03-31,648.612
2006-04-28,685.008
2006-05-31,664.312
2006-06-30,663.351
2006-07-31,681.373
2006-08-31,701.795
2006-09-29,739.319
2006-10-31,780.9
2006-11-30,837.515
2006-12-29,864.196
2007-01-31,900.554
2007-02-28,920.9
2007-03-30,973.28
2007-04-30,978.479
2007-05-31,1000.0
2007-06-29,966.716
2007-07-31,962.05
2007-08-31,918.123
2007-09-28,938.113
2007-10-31,1022.025
2007-11-30,993.576
2007-12-31,921.934
2008-01-31,822.505
2008-02-29,854.071
2008-03-31,911.38
2008-04-30,911.798
2008-05-30,907.625
2008-06-30,799.204
2008-07-31,740.821
2008-08-29,723.001
2008-09-30,614.811
2008-10-31,478.234
2008-11-28,459.478
2008-12-31,493.65
2009-01-30,437.94
2009-02-27,393.502
2009-03-31,405.152
2009-04-30,479.85
2009-05-29,548.661
2009-06-30,534.981
2009-07-31,566.928
2009-08-31,602.388
2009-09-30,646.076
2009-10-30,591.842
2009-11-30,600.947
2009-12-31,594.964
2010-01-29,561.43
2010-02-26,521.248
2010-03-31,550.41
2010-04-30,512.244
2010-05-31,415.687
2010-06-30,407.182
2010-07-30,481.676
2010-08-31,453.561
2010-09-30,504.996
2010-10-29,533.543
2010-11-30,442.191
2010-12-31,488.903
2011-01-31,536.937
2011-02-28,546.454
2011-03-31,567.63
2011-04-29,608.054
2011-05-31,572.845
2011-06-30,560.389
2011-07-29,530.512
2011-08-31,492.555
2011-09-30,434.0
2011-10-31,476.534
2011-11-30,439.747
2011-12-30,434.469
2012-01-31,448.318
2012-02-29,455.403
2012-03-30,436.54
2012-04-30,409.689
2012-05-31,327.376
2012-06-29,372.918
2012-07-31,362.789
2012-08-31,403.069
2012-09-28,420.273
2012-10-31,425.629
2012-11-30,428.537
2012-12-31,451.167
2013-01-31,484.399
2013-02-28,473.51
2013-03-29,452.006
2013-04-30,489.742
2013-05-31,484.819
2013-06-28,465.798
2013-07-31,522.298
2013-08-30,515.895
2013-09-30,578.882
2013-10-31,621.571
2013-11-29,624.67
2013-12-31,656.303
2014-01-31,675.039
2014-02-28,722.878
2014-03-31,728.32
2014-04-30,731.292
2014-05-30,738.279
2014-06-30,746.642
2014-07-31,702.608
2014-08-29,694.364
2014-09-30,663.592
2014-10-31,646.159
2014-11-28,655.619
2014-12-31,626.056
2015-01-30,614.65
2015-02-27,655.581
2015-03-31,656.978
2015-04-30,677.013
2015-05-29,657.05
2015-06-30,644.933
2015-07-31,656.308
2015-08-31,629.088
2015-09-30,597.031
2015-10-30,639.815
2015-11-30,618.2
2015-12-31,603.292
2016-01-29,563.712
2016-02-29,554.025
2016-03-31,602.616
2016-04-29,630.039
2016-05-31,610.275
2016-06-30,563.736
2016-07-29,600.006
2016-08-31,597.035
2016-09-30,605.313
2016-10-31,587.984
2016-11-30,543.328
2016-12-30,573.705
2017-01-31,589.332
2017-02-28,590.619
2017-03-31,633.935
2017-04-28,660.568
2017-05-31,707.25
2017-06-30,679.404
2017-07-31,696.887
2017-08-31,695.176
2017-09-29,679.936
2017-10-31,686.277
2017-11-30,687.37
2017-12-29,695.673
2018-01-31,748.699
2018-02-28,702.942
2018-03-30,708.707
2018-04-30,727.802
2018-05-31,681.509
2018-06-29,688.253
2018-07-31,697.342
2018-08-31,683.324
2018-09-28,677.795
2018-10-31,613.616
2018-11-30,615.006
2018-12-31,590.35
2019-01-31,624.401
2019-02-28,626.537
2019-03-29,622.101
2019-04-30,642.022
2019-05-31,611.568
2019-06-28,628.572
2019-07-31,601.757
2019-08-30,585.613
2019-09-30,597.053
2019-10-31,631.512
2019-11-29,641.814
2019-12-31,660.508
2020-01-31,634.546
2020-02-28,597.576
2020-03-31,486.197
2020-04-30,521.991
2020-05-29,525.599
2020-06-30,550.372
2020-07-31,575.587
2020-08-31,601.238
2020-09-30,574.078
2020-10-30,547.391
2020-11-30,677.674
2020-12-31,715.575
2021-01-29,704.241
2021-02-26,745.43
2021-03-31,761.135
2021-04-30,774.822
2021-05-31,808.838
2021-06-30,765.52
2021-07-30,752.051
2021-08-31,769.119
2021-09-30,770.25
2021-10-29,780.057
2021-11-30,721.122
2021-12-31,758.55
2022-01-31,741.047
2022-02-28,753.175
2022-03-31,757.759
2022-04-29,750.118
2022-05-31,794.905
2022-06-30,725.419
2022-07-29,685.189
2022-08-31,666.437
2022-09-30,599.133
2022-10-31,652.187
2022-11-30,715.67
2022-12-30,735.602
2023-01-31,802.179
2023-02-28,791.561
2023-03-31,767.496
