Date,SPAIN SMID CAP SMID (Small+Mid Cap)
2001-01-01,185.887
2001-01-02,189.743
2001-01-03,190.268
2001-01-04,193.415
2001-01-05,194.217
2001-01-08,193.672
2001-01-09,190.991
2001-01-10,191.348
2001-01-11,195.017
2001-01-12,196.741
2001-01-15,194.992
2001-01-16,194.345
2001-01-17,194.491
2001-01-18,197.793
2001-01-19,195.216
2001-01-22,196.165
2001-01-23,198.111
2001-01-24,195.444
2001-01-25,196.68
2001-01-26,197.85
2001-01-29,196.348
2001-01-30,199.992
2001-01-31,202.421
2001-02-01,206.014
2001-02-02,201.572
2001-02-05,202.418
2001-02-06,201.221
2001-02-07,200.504
2001-02-08,199.991
2001-02-09,201.067
2001-02-12,205.025
2001-02-13,203.15
2001-02-14,199.992
2001-02-15,197.972
2001-02-16,199.913
2001-02-19,201.877
2001-02-20,198.86
2001-02-21,198.589
2001-02-22,196.881
2001-02-23,195.94
2001-02-26,196.458
2001-02-27,198.513
2001-02-28,199.754
2001-03-01,199.347
2001-03-02,201.857
2001-03-05,201.644
2001-03-06,204.463
2001-03-07,204.187
2001-03-08,204.374
2001-03-09,204.263
2001-03-12,201.334
2001-03-13,197.887
2001-03-14,194.698
2001-03-15,194.111
2001-03-16,189.873
2001-03-19,190.208
2001-03-20,192.204
2001-03-21,186.63
2001-03-22,177.612
2001-03-23,183.602
2001-03-26,186.715
2001-03-27,187.567
2001-03-28,184.778
2001-03-29,183.622
2001-03-30,185.583
2001-04-02,186.073
2001-04-03,183.631
2001-04-04,188.983
2001-04-05,189.239
2001-04-06,189.671
2001-04-09,191.409
2001-04-10,189.368
2001-04-11,188.001
2001-04-12,189.353
2001-04-13,189.353
2001-04-16,187.414
2001-04-17,186.534
2001-04-18,187.359
2001-04-19,190.503
2001-04-20,192.003
2001-04-23,190.494
2001-04-24,191.88
2001-04-25,193.436
2001-04-26,195.24
2001-04-27,193.959
2001-04-30,194.51
2001-05-01,195.541
2001-05-02,195.715
2001-05-03,195.265
2001-05-04,194.838
2001-05-07,194.358
2001-05-08,193.702
2001-05-09,194.161
2001-05-10,194.769
2001-05-11,193.481
2001-05-14,192.889
2001-05-15,193.732
2001-05-16,194.448
2001-05-17,194.948
2001-05-18,194.853
2001-05-21,193.943
2001-05-22,191.796
2001-05-23,190.584
2001-05-24,189.959
2001-05-25,188.732
2001-05-28,190.315
2001-05-29,188.33
2001-05-30,189.489
2001-05-31,188.32
2001-06-01,187.471
2001-06-04,189.474
2001-06-05,190.903
2001-06-06,190.224
2001-06-07,191.056
2001-06-08,191.825
2001-06-11,190.635
2001-06-12,189.954
