Date,UNITED KINGDOM GROWTH Standard (Large+Mid Cap)
2001-01-01,4966.979
2001-01-02,4946.751
2001-01-03,4862.536
2001-01-04,4839.868
2001-01-05,4823.265
2001-01-08,4829.569
2001-01-09,4755.185
2001-01-10,4755.949
2001-01-11,4807.485
2001-01-12,4795.993
2001-01-15,4850.858
2001-01-16,4767.17
2001-01-17,4846.968
2001-01-18,4881.178
2001-01-19,4853.42
2001-01-22,4858.791
2001-01-23,4869.766
2001-01-24,4824.939
2001-01-25,4832.825
2001-01-26,4869.177
2001-01-29,4849.563
2001-01-30,4822.939
2001-01-31,4828.34
2001-02-01,4870.383
2001-02-02,4855.905
2001-02-05,4901.45
2001-02-06,4865.656
2001-02-07,4832.366
2001-02-08,4746.407
2001-02-09,4741.347
2001-02-12,4802.262
2001-02-13,4814.248
2001-02-14,4808.344
2001-02-15,4761.555
2001-02-16,4679.179
2001-02-19,4692.355
2001-02-20,4597.72
2001-02-21,4657.893
2001-02-22,4673.674
2001-02-23,4632.061
2001-02-26,4603.437
2001-02-27,4640.8
2001-02-28,4648.808
2001-03-01,4679.518
2001-03-02,4707.361
2001-03-05,4711.923
2001-03-06,4716.687
2001-03-07,4687.238
2001-03-08,4706.79
2001-03-09,4668.378
2001-03-12,4563.258
2001-03-13,4458.449
2001-03-14,4384.535
2001-03-15,4460.069
2001-03-16,4264.456
2001-03-19,4237.483
2001-03-20,4315.588
2001-03-21,4248.171
2001-03-22,4011.591
2001-03-23,4154.327
2001-03-26,4286.592
2001-03-27,4406.312
2001-03-28,4310.526
2001-03-29,4293.824
2001-03-30,4318.408
2001-04-02,4295.763
2001-04-03,4188.8
2001-04-04,4239.162
2001-04-05,4293.243
2001-04-06,4281.748
2001-04-09,4329.343
2001-04-10,4396.776
2001-04-11,4352.789
2001-04-12,4360.765
2001-04-13,4360.765
2001-04-16,4342.448
2001-04-17,4364.741
2001-04-18,4452.619
2001-04-19,4431.381
2001-04-20,4458.426
2001-04-23,4446.269
2001-04-24,4409.628
2001-04-25,4423.119
2001-04-26,4469.111
2001-04-27,4546.257
2001-04-30,4559.211
2001-05-01,4533.842
2001-05-02,4548.547
2001-05-03,4468.465
2001-05-04,4541.149
2001-05-07,4549.838
2001-05-08,4564.675
2001-05-09,4503.405
2001-05-10,4604.158
2001-05-11,4524.399
2001-05-14,4366.011
2001-05-15,4494.052
2001-05-16,4551.151
2001-05-17,4551.486
2001-05-18,4556.822
2001-05-21,4602.233
2001-05-22,4619.213
2001-05-23,4556.038
2001-05-24,4520.898
2001-05-25,4505.402
2001-05-28,4504.609
2001-05-29,4496.136
2001-05-30,4470.239
2001-05-31,4465.94
2001-06-01,4479.965
2001-06-04,4520.965
2001-06-05,4550.379
2001-06-06,4501.109
2001-06-07,4511.377
2001-06-08,4481.495
2001-06-11,4377.741
2001-06-12,4349.561
2001-06-13,4379.841
2001-06-14,4379.504
2001-06-15,4367.654
2001-06-18,4336.788
2001-06-19,4330.052
2001-06-20,4327.169
2001-06-21,4381.318
2001-06-22,4400.619
2001-06-25,4397.4
2001-06-26,4300.397
2001-06-27,4344.334
2001-06-28,4358.193
2001-06-29,4372.374
2001-07-02,4444.395
2001-07-03,4358.27
2001-07-04,4318.147
2001-07-05,4224.775
2001-07-06,4205.132
2001-07-09,4210.138
2001-07-10,4223.149
2001-07-11,4181.922
2001-07-12,4211.901
